TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge,FRS_ID_Issues
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110040971491.0,CMC STEEL NEW JERSEY,N CROSSMAN RD,SAYREVILLE,NJ,8872,40.479262,-74.321207,MIDDLESEX,331110,nan,08872NWJRSNORTH,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000325050.0,NUCOR STEEL AUBURN INC,25 QUARRY RD,AUBURN,NY,13021,42.9509,-76.57055,CAYUGA,331110,nan,13021BRNSTQUARR,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000328734.0,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,100 RIVER RD,BRACKENRIDGE,PA,15014,40.6081,-79.7291,ALLEGHENY,331110,nan,15014LLGHNRIVER,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000582977.0,UNION ELECTRIC STEEL CORP,RT 18,BURGETTSTOWN,PA,15021,40.4077,-80.4053,WASHINGTON,333519,nan,15021NNLCTPOBOX,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110022522279.0,JEWEL ACQUISITION LLC - MIDLAND PLANT,950 TENTH ST,MIDLAND,PA,15059,40.63537,-80.44903,BEAVER,331110,nan,15059JLSPC12THS,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000330188.0,LATROBE SPECIALTY METALS,2626 LIGONIER ST,LATROBE,PA,15650,40.302598,-79.372804,WESTMORELAND,331110,nan,15650LTRBS2626L,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000330650.0,NORTH AMERICAN HOGANAS,111 HOGANAS WAY,HOLLSOPPLE,PA,15935,40.192646,-78.933994,SOMERSET,331110,nan,15935FRSTMRTE60,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000583574.0,IPSCO KOPPEL TUBULARS CORP,6403 6TH AVE,KOPPEL,PA,16136,40.839508,-80.320897,BEAVER,331110,nan,16136BBCCKMOUNT,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110000331374.0,ELLWOOD NATIONAL FORGE CO,1 FRONT ST,IRVINE,PA,16329,41.841555,-79.27005,WARREN,332111,nan,16329NTNLF1FRON,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110040907392.0,STANDARD STEEL LLC,500 N WALNUT ST,BURNHAM,PA,17009,40.636944,-77.571944,MIFFLIN,331110,nan,17009STNDR500WA,TRI,right_only,False
