FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID,CO2Amount,CO2Source,TotalFlowAmountminusCO2,Total_Flue_Gas_Amount,Concentration,FlowChemIdentifier
110000422392.0,Mercury,air,0.86182556,206064913.7773157,kg,4.1823013156491685e-09,TRI,2017,FLAMBEAU RIVER PAPERS,WI,45.93657,-90.44776,PRICE,322110,,54552FLMBP200NO,56946100.0,GHGRP,149118813.7773157,206064919.47192627,4.182301200071141e-09,7439-97-6
110000422392.0,Methanol,air,53524.3567924,206064913.7773157,kg,0.0002597451250252,TRI,2017,FLAMBEAU RIVER PAPERS,WI,45.93657,-90.44776,PRICE,322110,,54552FLMBP200NO,56946100.0,GHGRP,149118813.7773157,206064919.47192627,0.0002597451178471,54841-71-3
110000422392.0,Biogenic CO2,air,149040000.0,206064913.7773157,kg,0.7232672329703845,GHGRP,2017,"PARK FALLS INDUSTRIAL MANAGEMENT, LLC",WI,45.93657,-90.44776,PRICE COUNTY,322110,,1007644,56946100.0,GHGRP,149118813.7773157,206064919.47192627,0.7232672129828717,
110000589612.0,"2,4-Dinitrophenol",air,0.27686643235482,2563719132.1939173,kg,1.079940578817969e-10,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,1.0799405718024464e-10,51-28-5
110000589612.0,2-Methylnaphthalene,air,0.031441571592816,2563719132.1939173,kg,1.2264046867688543e-11,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,1.2264046788018699e-11,7419-61-6
110000589612.0,4-Nitrophenol,air,0.168756682578176,2563719132.1939173,kg,6.582494956604762e-11,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,6.582494913843483e-11,100-02-7
110000589612.0,Acenaphthene,air,0.188649429556896,2563719132.1939173,kg,7.358428120613127e-11,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,7.358428072811221e-11,83-32-9
110000589612.0,Acenaphthylene,air,1.0480523864272,2563719132.1939173,kg,4.088015622562847e-10,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,4.0880155960062334e-10,208-96-8
110000589612.0,Acetophenone,air,0.005273646330568,2563719132.1939173,kg,2.057029673938989e-12,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,2.0570296605760885e-12,98-86-2
110000589612.0,Acrolein,air,6157.783685180387,2563719132.1939173,kg,2.401894812834208e-06,NEI,2017,GP Cellulose Alabama River Cellulose LLC,AL,31.580112,-87.490073,Monroe,322121,,1019211,166544600.0,GHGRP,2397174532.1939173,2563719148.848379,2.4018947972309917e-06,25314-61-8
