does_fac_have_agr_unit,facility_name,GHGRP ID,industry_segment,missing_data_procedures_used,reporting_year,acid_gas_removal_co2_emissions,Facility Id,FRS Id,Facility Name,City_x,State_x,Zip Code,Address_x,County_x,Latitude_x,Longitude_x,Primary NAICS Code,FRS_ID,FacilityName,Address_y,City_y,State_y,Zip,Latitude_y,Longitude_y,County_y,NAICS,SIC,FacilityID,Source,FRS_ID_Issues
Yes,SOUTHWEST OZONA GAS PLANT,1002378,Onshore natural gas processing [98.230(a)(3)],No,2017,1406.3,1002378,110043793570.0,SOUTHWEST OZONA GAS PLANT,OZONA,TX,76943,nan,CROCKETT COUNTY,30.4462,-101.4674,211130,110007180647.0,SOUTHWEST OZONA GAS PLANT,None,OZONA,TX,76943.0,30.4462,-101.4674,CROCKETT COUNTY,211130,nan,1002378,GHGRP,True
Yes,FAIN GAS PLANT,1002528,Onshore natural gas processing [98.230(a)(3)],No,2017,3835.4,1002528,110035782285.0,FAIN GAS PLANT,MASTERSON,TX,79058,32540 Fain Plant Rd.,POTTER COUNTY,35.538056,-101.895556,211112,110071160037.0,FAIN GAS PLANT,32540 Fain Plant Rd.,MASTERSON,TX,79058.0,35.598158,-101.877766,POTTER COUNTY,211112,nan,1002528,GHGRP,True
Yes,Hatters Pond Gas Plant,1007657,Onshore natural gas processing [98.230(a)(3)],No,2017,11153.8,1007657,110020489924.0,Hatters Pond Gas Plant,Creola,AL,36525,1340 Radcliff Road,MOBILE COUNTY,30.892209,-88.067121,211111,110010381256.0,Hatters Pond Gas Plant,1340 Radcliff Road,Creola,AL,36525.0,30.892209,-88.067121,MOBILE COUNTY,211111,nan,1007657,GHGRP,True
Yes,Buffalo Creek Processing Plant,1010777,Onshore natural gas processing [98.230(a)(3)],Yes,2017,698.9,1010777,110055521993.0,Buffalo Creek Processing Plant,Sayre,OK,73662,11348 E 1170 Rd,BECKHAM COUNTY,35.320621,-99.784754,211112,110071160286.0,Buffalo Creek Processing Plant,11348 E 1170 Rd,Sayre,OK,73662.0,35.320621,-99.784754,BECKHAM COUNTY,211112,nan,1010777,GHGRP,True
Yes,Newberry Gas Plant,1013052,Onshore natural gas processing [98.230(a)(3)],No,2017,2790.7,1013052,110070209406.0,Newberry Gas Plant,Midland,TX,79706,nan,MIDLAND COUNTY,31.852716,-101.777816,211112,110070394014.0,Newberry Gas Plant,None,Midland,TX,79706.0,31.852716,-101.777816,MIDLAND COUNTY,211112,nan,1013052,GHGRP,True
Yes,Maljamar Gas Plant,1008432,Onshore natural gas processing [98.230(a)(3)],No,2017,189.9,1008432,110055513369.0,Maljamar Gas Plant,Maljamar,NM,88264,1001 Conoco Road,LEA COUNTY,32.813792,-103.771877,211112,110000534020.0,Maljamar Gas Plant,1001 Conoco Road,Maljamar,NM,88264.0,32.813889,-103.771944,LEA COUNTY,211112,nan,1008432,GHGRP,True
Yes,"Southern Energy Operating, LLC MidGulf Coast Basin",1012984,Onshore petroleum and natural gas production [98.230(a)(2)],No,2017,11328.4,1012984,nan,"Southern Energy Operating, LLC MidGulf Coast Basin",New Hebron,MS,39140,8970 Highway 13 North,nan,31.640174993,-89.8839972189999,211111,110071162031.0,"Southern Energy Operating, LLC MidGulf Coast Basin",8970 Highway 13 North,New Hebron,MS,39140.0,31.640174993,-89.8839972189999,None,211111,nan,1012984,GHGRP,True
Yes,APPLEBY TREATER,1010353,Onshore natural gas processing [98.230(a)(3)],No,2017,21328.2,1010353,110055520547.0,APPLEBY TREATER,Appleby,TX,75965,nan,NACOGDOCHES COUNTY,31.6912,-94.5833,211112,110071159680.0,APPLEBY TREATER,None,Appleby,TX,75965.0,31.6912,-94.5833,NACOGDOCHES COUNTY,211112,nan,1010353,GHGRP,True
Yes,"Indigo Minerals, LLC",1007599,Onshore petroleum and natural gas production [98.230(a)(2)],No,2017,3277.6,1007599,nan,"Indigo Minerals, LLC",Houston,TX,77002,"600 Travis Street, Suite 5500",nan,29.76012,-95.3638,211111,110071161246.0,"Indigo Minerals, LLC","600 Travis Street, Suite 5500",Houston,TX,77002.0,29.76012,-95.3638,None,211111,nan,1007599,GHGRP,True
Yes,Arrowhead Gas Plant,1012906,Onshore natural gas processing [98.230(a)(3)],No,2017,3473.0,1012906,nan,Arrowhead Gas Plant,Coyanosa,TX,79730,2387 Hwy 1450,nan,31.2403011,-103.065333,211112,110071161867.0,Arrowhead Gas Plant,2387 Hwy 1450,Coyanosa,TX,79730.0,31.2403011,-103.065333,None,211112,nan,1012906,GHGRP,True
Yes,CHISHOLM PLANT,1010732,Onshore natural gas processing [98.230(a)(3)],No,2017,18005.3,1010732,110070082105.0,CHISHOLM PLANT,La Grange,TX,78945,nan,FAYETTE COUNTY,30.001888,-96.888858,211112,110071162216.0,CHISHOLM PLANT,None,La Grange,TX,78945.0,30.001888,-96.888858,FAYETTE COUNTY,211112,nan,1010732,GHGRP,True
Yes,Goliad Gas Plant,1010223,Onshore natural gas processing [98.230(a)(3)],No,2017,41727.9,1010223,110055519915.0,Goliad Gas Plant,Goliad,TX,77963,nan,GOLIAD COUNTY,28.6181,-97.6381,211130,110071160800.0,Goliad Gas Plant,None,Goliad,TX,77963.0,28.6181,-97.6381,GOLIAD COUNTY,211130,nan,1010223,GHGRP,True
Yes,BECKVILLE GAS PROCESSING PLANT,1012062,Onshore natural gas processing [98.230(a)(3)],No,2017,40124.0,1012062,110067543484.0,BECKVILLE GAS PROCESSING PLANT,BECKVILLE,TX,75631,329 COUNTY ROAD 257,PANOLA COUNTY,32.235649,-94.486066,211111,110037976955.0,BECKVILLE GAS PROCESSING PLANT,329 COUNTY ROAD 257,BECKVILLE,TX,75631.0,32.235649,-94.486066,PANOLA COUNTY,211111,nan,1012062,GHGRP,True
Yes,TARGA EDWARD GAS PROCESSING PLANT,1011459,Onshore natural gas processing [98.230(a)(3)],No,2017,44136.8,1011459,110063697290.0,TARGA EDWARD GAS PROCESSING PLANT,Midkiff,TX,79755,1757 County Road 250,UPTON COUNTY,31.33891,-101.80057,211112,110071159694.0,TARGA EDWARD GAS PROCESSING PLANT,1757 County Road 250,Midkiff,TX,79755.0,31.33891,-101.80057,UPTON COUNTY,211112,nan,1011459,GHGRP,True
