,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
11301,77651RLQDP2121P,AIR LIQUIDE LARGE INDUSTRIES US LP PORT NECHES,325120,issues,issues,issues,issues,issues,AIR LIQUIDE LARGE INDUSTRIES US LP,110014407846.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11313,7735WCMBSG345FM,COOLGAS INC DBA A-GAS,325120,issues,issues,issues,issues,issues,A-GAS US HOLDINGS INC,110055506796.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11314,3175WMDRND32EDW,MODERN DISPERSIONS SOUTH INC.,325211,issues,issues,issues,issues,issues,issues,110070046153.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11325,94553RPRDSTRACT,AIR PRODUCTS & CHEMICALS INC MARTINEZ SOLANO WAY,325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110070131948.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11358,70734RHNPL10810,INNOPHOS INC,325180,issues,issues,issues,issues,issues,INNOPHOS INC,110000743385.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11360,0410WMNSTN51ING,MAINE STANDARD BIOFUELS,325199,issues,issues,issues,issues,issues,issues,110069220738.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11366,30721PLSTR207BR,SANCO INC,325211,issues,issues,issues,issues,issues,issues,110000359200.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11370,3000WSLVYS45MCG,SOLVAY SPECIALTY POLYMERS USA LLC-ALPHARETTA,325211,541715.0,issues,issues,issues,issues,AUSIMONT INDUSTRIES INC.,110000856538.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11372,7522WRRWMG2646R,ARROW MAGNOLIA INTERNATIONAL,325199,issues,issues,issues,issues,issues,issues,110005033454.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11379,7706WTWPLY1255C,ITW POLYMERS SEALANTS NA,325211,issues,issues,issues,issues,issues,ILLINOIS TOOL WORKS INC,110060261746.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11386,77651CLBRN5500H,INEOS CALABRIAN CORP,325180,issues,issues,issues,issues,issues,issues,110000746499.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11401,7220WTWGLB7511S,ITW GLOBAL TIRE REPAIR,325199,issues,issues,issues,issues,issues,issues,110070071008.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11408,3547WHRBXL12982,HERO BX ALABAMA,325199,issues,issues,issues,issues,issues,issues,110070071273.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11409,9211WNWLFB2285B,NEW LEAF BIOFUEL,325199,issues,issues,issues,issues,issues,issues,110056970247.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11416,02840NWPRT312CN,NEWPORT BIODIESEL INC,325199,issues,issues,issues,issues,issues,issues,110055218438.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11423,7163WPNNCL117MA,DELEK RENEWABLES LLC,325199,issues,issues,issues,issues,issues,DELEK US HOLDINGS INC,110033168471.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11424,31907RCPLYONERU,STEPAN CO,325211,issues,issues,issues,issues,issues,STEPAN CO,110000361448.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11442,37055WBSHLSOUTH,ZOCHEM LLC,325180,issues,issues,issues,issues,issues,issues,110000370027.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11445,44087LBMRL1664E,ALBEMARLE CORP,325199,issues,issues,issues,issues,issues,ALBEMARLE CORP,110038365382.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11449,7163WLVRRS141MA,ALVAR RESINS INC.,325211,issues,issues,issues,issues,issues,issues,110043510830.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11453,90745BFGDR2104E,GEON PERFORMANCE SOLUTIONS,325211,issues,issues,issues,issues,issues,GEON PERFORMANCE SOLUTIONS,110000476100.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11458,7066WTDCLL28LDS,TDC LLC - WESTLAKE PLANT,325180,issues,issues,issues,issues,issues,GENESIS ENERGY LP,110000540175.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11459,78704STHWS821EW,SACHEM INC,325199,issues,issues,issues,issues,issues,SACHEM INC,110000465390.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11468,4589WMDWST32KRE,MIDWEST COMPOSITES LLC,325211,issues,issues,issues,issues,issues,issues,110057510331.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11472,77418WSTRN7173H,WESTERN INTERNATIONAL GAS & CYLINDERS INC.,325120,issues,issues,issues,issues,issues,MATHESON TRI-GAS INC,110000728491.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
11473,3659WNTDNT421EB,UNITED INITIATORS,325199,issues,issues,issues,issues,issues,UNITED INITIATORS INC,110064460701.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
