,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
0,79008SDRCHPODRA,BORGER CARBON BLACK PLANT,325180,issues,issues,issues,issues,issues,TOKAI CARBON CB,110043804764.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
72,98221SHLLLWESTM,TESORO REFINING & MARKETING CO LLC,324110,issues,issues,issues,issues,issues,MARATHON PETROLEUM CORP,110000537250.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
103,77536DRPRK5900H,DEER PARK REFINING LP,324110,issues,issues,issues,issues,issues,DEER PARK REFINING LP,110031267064.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
147,53223HYDRT7300W,HYDRITE CHEMICAL CO.,325180,issues,issues,issues,issues,issues,HYDRITE CHEMICAL CO,110000419039.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
158,71009PNCXXHIGHW,UOP-SHREVEPORT PLANT,325180,issues,issues,issues,issues,issues,HONEYWELL INTERNATIONAL INC,110010653257.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
170,15061RCCHMFRANK,BVPV STYRENICS LLC,325211,326199.0,326140.0,issues,issues,issues,STYROPEK USA INC.,110059344473.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
174,92335KMRNP1400E,KEMIRA WATER SOLUTIONS INC,325180,issues,issues,issues,issues,issues,KEMIRA WATER SOLUTIONS INC,110000747381.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
177,28402FRTRNHWY42,FORTRON INDUSTRIES LLC,325211,issues,issues,issues,issues,issues,CELANESE CORP,110009842536.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
181,70583CBTCRSTATE,CABOT CORP CANAL PLANT,325180,issues,issues,issues,issues,issues,CABOT CORP,110012818442.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
194,67215VLCNC6200S,OCCIDENTAL CHEMICAL CORP,325180,325199.0,325320.0,issues,issues,issues,OCCIDENTAL CHEMICAL HOLDING CORP,110017424312.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
214,01721NYCLPMEGUN,NYACOL NANOTECHNOLOGIES INC,325180,issues,issues,issues,issues,issues,issues,110013868840.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
319,77541SHNTC5672H,SHINTECH INC,325211,325991.0,issues,issues,issues,issues,issues,110000743839.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
330,41008MTCHM2316H,PMC ORGANOMETALLIX INC.,325180,325998.0,325199.0,325320.0,issues,issues,PMC GROUP INC,110000379563.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
342,06492CYRNDSOUTH,ROEHM AMERICA LLC,325211,issues,issues,issues,issues,issues,ROEHM US HOLDING LLC,110043236281.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
476,43113PPGNDPITTS,PPG INDUSTRIES OHIO INC CIRCLEVILLE OH,325211,562211.0,issues,issues,issues,issues,PPG INDUSTRIES INC,110007158128.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
503,84087PHLLP393SO,HOLLYFRONTIER WOODS CROSS REFINING LLC,324110,issues,issues,issues,issues,issues,HOLLYFRONTIER CORP,110000469136.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
529,70791GRNTCHWY61,BASF CORP,325199,issues,issues,issues,issues,issues,BASF CORP,110000449934.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
543,32501RCHHL407SO,REICHHOLD LLC2,325211,issues,issues,issues,issues,issues,REICHHOLD LLC 2,110000362385.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
594,72206PRCLC10000,POROCEL INDUSTRIES LLC,325180,issues,issues,issues,issues,issues,EVONIK CORP,110001711568.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
600,79008PHLLPSTATE,PHILLLIPS 66 CO BORGER REFINERY,324110,issues,issues,issues,issues,issues,PHILLIPS 66 CO,110042005843.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
639,19061BPLCMPOSTR,MONROE ENERGY LLC-TRAINER REFINERY,324110,issues,issues,issues,issues,issues,DELTA AIR LINES INC,110000336440.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
709,77501THYLC1000N,ETHYL CORP,325199,325998.0,issues,issues,issues,issues,ETHYL CORP,110070135413.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
774,40216BRDNN6200C,BAKELITE SYNTHETICS,325211,325199.0,issues,issues,issues,issues,BAKELITE LLC,110000378467.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
790,47620GPLSTLEXAN,SABIC INNOVATIVE PLASTICS MT. VERNON LLC,325211,issues,issues,issues,issues,issues,SABIC US HOLDINGS LP,110000403670.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
867,74107SNRFN1700S,HOLLYFRONTIER TULSA REFINING WEST FACILITY,324110,issues,issues,issues,issues,issues,HOLLYFRONTIER CORP,110000454981.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
889,07036XXNCH1400P,INFINEUM USA LP-BAYWAY CHEMICAL PLANT,325199,issues,issues,issues,issues,issues,INFINEUM USA LP,110067001871.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
903,16503CLSCT1707G,BASF CORP,325180,issues,issues,issues,issues,issues,BASF CORP,110000818045.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
919,31606STRLN5700H,ERCO WORLDWIDE INC,325180,issues,issues,issues,issues,issues,ERCO WORLDWIDE INC,110000360877.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
976,42301DRTPL2400H,DART POLYMERS INC,325211,issues,issues,issues,issues,issues,DART CONTAINER CORP,110000380793.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
980,60435CPNRG10IND,BLUESTONE SPECIALTY CHEMICALS LLC,325180,issues,issues,issues,issues,issues,issues,110018283034.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
996,90749RCPRD1801E,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,324110,issues,issues,issues,issues,issues,TESORO CORP,110017428988.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1116,70051PSLNP1EPSI,PINNACLE POLYMERS,325211,issues,issues,issues,issues,issues,POLYCHIM USA INC,110000547953.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1118,70734VLCNMASHLA,OCCIDENTAL CHEMICAL HOLDING CORP - GEISMAR PLANT,325199,issues,issues,issues,issues,issues,OCCIDENTAL CHEMICAL HOLDING CORP,110000449774.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1140,30916MCPRF3702C,SOLVAY SPECIALTY POLYMERS USA L.L.C.,325211,issues,issues,issues,issues,issues,SOLVAY HOLDING INC,110000359763.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1145,77720BMNTMHWY34,OCI BEAUMONT LLC,325199,325311.0,issues,issues,issues,issues,OCI BEAUMONT LLC,110000743900.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1149,39168GRGPCHIGHW,GEORGIA-PACIFIC LLC,325211,325199.0,issues,issues,issues,issues,KOCH INDUSTRIES INC,110000590691.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1155,29673RTCNC465LD,ORTEC INC PIEDMONT,325199,325411.0,issues,issues,issues,issues,ORTEC INC,110002371068.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1158,77640TXCRFNORTH,MOTIVA-PORT ARTHUR REFINERY,324110,issues,issues,issues,issues,issues,MOTIVA ENTERPRISES LLC,110000464024.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1191,78359CCDNTHWY36,OCCIDENTAL CHEMICAL CORP,325199,issues,issues,issues,issues,issues,OCCIDENTAL CHEMICAL HOLDING CORP,110000599807.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1233,9024WSTBND1722W,STABOND CORP,325199,issues,issues,issues,issues,issues,issues,110066597542.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1238,26050DTCNV2567C,CAMPBELL TRANSPORTATION CO INC,325199,488390.0,488310.0,483211.0,488330.0,issues,BLUE DANUBE INC,110007886109.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1242,33805LPHRS4620N,AOC LLC,325211,issues,issues,issues,issues,issues,ALPHA CORP,110000364891.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1252,40209RLNCN4730C,ALLNEX USA INC.,325211,issues,issues,issues,issues,issues,ALLNEX USA INC,110000378172.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1268,53527HYDRT150WD,HYDRITE CHEMICAL CO.,325199,issues,issues,issues,issues,issues,HYDRITE CHEMICAL CO,110000419609.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1298,77511SLTNCFM291,ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,325199,issues,issues,issues,issues,issues,ASCEND PERFORMANCE MATERIALS HOLDINGS INC,110000503722.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1300,77511SLTNCFM291,ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,325199,325180.0,issues,issues,issues,issues,ASCEND PERFORMANCE MATERIALS HOLDINGS INC,110000503722.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1313,77511SLTNCFM291,ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,325180,issues,issues,issues,issues,issues,ASCEND PERFORMANCE MATERIALS HOLDINGS INC,110000503722.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1391,79065CBTCR3MLSW,CABOT CORP PAMPA PLANT,325180,issues,issues,issues,issues,issues,CABOT CORP,110070149424.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1392,75607TXSSTOFFHI,EASTMAN CHEMICAL CO TEXAS OPERATIONS,325199,issues,issues,issues,issues,issues,EASTMAN CHEMICAL CO,110000743704.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1433,98248MBLLC3901U,PHILLIPS 66 FERNDALE REFINERY,324110,issues,issues,issues,issues,issues,PHILLIPS 66 CO,110000490139.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1466,70094KMRWT18RIV,KEMIRA CHEMICALS INC,325199,issues,issues,issues,issues,issues,KEMIRA CHEMICALS INC,110049249076.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
