FlowName,FlowChemIdentifier
"2,4,5-Trichlorophenol",95-95-4
"2,4,6-Trichlorophenol",88-06-2
"2,4-Dinitrotoluene",121-14-2
4-Nitrophenol,100-02-7
"7H-Dibenzo[c,g]carbazole",28641-62-5
Benzo[j]fluoranthene,205-82-3
Benzofluoranthenes,
"Dibenz[a,h]acridine",226-36-8
"Dibenzo[a,j]Acridine",224-42-0
Methylchrysene,3351-28-8
2-Chloroacetophenone,532-27-4
Bromoform,75-25-2
Dimethyl Sulfate,139443-72-4
Methylhydrazine,60-34-4
Ethylbenzene,70955-17-8
Ethylene,9002-88-4
Hydrogen cyanide,191234-22-7
Hydrogen sulfide,11144-15-3
Propylene,115-07-1
Xylene (mixed isomers),
Carbon disulfide,355120-85-3
Cresol (mixed isomers),
Cyanide compounds,
Formic acid,15907-03-6
Sodium nitrite,82998-40-1
Butyraldehyde,123-72-8
"1,2-Dibromoethane",624-61-3
Carbonyl sulfide,20684-88-2
Hydrogen fluoride,
Vinyl acetate,220713-36-0
"1,1,1,2-Tetrachloroethane",630-20-6
"1,2-Dichloroethylene",156-60-5
"2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)",
"2,3-Dichloropropene",78-88-6
"4,4'-Isopropylidenediphenol",27100-33-0
Bromine,10097-32-2
Cumene hydroperoxide,79568-78-8
Glycidol,98913-54-3
Pentachlorobenzene,608-93-5
Pentachloroethane,76-01-7
Diethyl Sulfate,98503-29-8
Chlorine dioxide,93085-22-4
"1,2-Epoxybutane",55555-96-9
Hydrazine,31886-26-7
"3,3-Dichlorobenzidine",
"3,3-Dimethoxybenzidine",
"3,3-Dimethylbenzidine",119-93-7
"4,4-Methylenediphenyl Diisocyanate",
Hexachlorocyclopentadiene,77-47-4
N-Nitrosodimethylamine,62-75-9
Methyl isobutyl ketone,108-10-1
Methyl tert-butyl ether,1634-04-4
Ozone,74087-86-8
"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",113962-65-5
Dicyclopentadiene,1755-01-7
1-Bromopropane,106-94-5
Allyl alcohol,107-18-6
Epichlorohydrin,56227-39-5
Methyl Iodide,147937-07-3
5-Methylchrysene,3697-24-3
"2,4,4-Trichlorobiphenyl (PCB-28)",
2-Chlorobiphenyl (PCB-1),
2-Chloronaphthalene,91-58-7
Decachlorobiphenyl (PCB-209),
Heptachlorobiphenyl,68194-16-1
Hexachlorobiphenyl,26601-64-9
Pentachlorobiphenyl,25429-29-2
Tetrachlorobiphenyl,33284-53-6
