FlowName,FlowChemIdentifier
Carbon Dioxide,18923-20-1
Methane,74-82-8
Nitrous Oxide,126386-65-0
Biogenic CO2,
Benzene,27271-55-2
Carbon Monoxide,50-00-0
Formaldehyde,50-00-0
Hexane,92112-69-1
Naphthalene,72931-45-4
Nickel,21595-53-9
Nitrogen Oxides,
PM10-PM2.5,
PM2.5 Primary (Filt + Cond),
Sulfur Dioxide,12396-99-5
Toluene,8/4/01
Volatile Organic Compounds,
"1,4-Dichlorobenzene",106-46-7
Acetaldehyde,75-07-0
Acrolein,25314-61-8
Antimony,35734-21-5
Arsenic,7784-42-1
Beryllium,7440-41-7
Cadmium,81271-94-5
Carbonyl Sulfide,20684-88-2
Chromium (VI),18540-29-9
Chromium III,
Cobalt,7440-48-4
Ethyl Benzene,70955-17-8
Hydrochloric Acid,113962-65-5
Hydrogen Cyanide,191234-22-7
Hydrogen Fluoride,
Lead,15875-18-0
Manganese,22325-60-6
Mercury,7439-97-6
PAH/POM - Unspecified,
Phosphorus,13967-14-1
Selenium,7/5/83
Xylenes (Mixed Isomers),
Anthracene,120-12-7
Benz[a]Anthracene,56-55-3
Chlorine,22537-15-1
Chrysene,218-01-9
Fluoranthene,76774-50-0
Fluorene,2299-68-5
Phenanthrene,85-01-8
Pyrene,129-00-0
2-Methylnaphthalene,7419-61-6
Methanol,54841-71-3
"1,3-Butadiene",130983-70-9
Acenaphthene,83-32-9
Acenaphthylene,208-96-8
Benzo[a]Pyrene,6699-27-0
Benzo[b]Fluoranthene,205-99-2
"Benzo[g,h,i,]Perylene",
Benzo[k]Fluoranthene,207-08-9
Cyanide,57-12-5
"Dibenzo[a,h]Anthracene",56-56-4
Hydrogen Sulfide,11144-15-3
"Indeno[1,2,3-c,d]Pyrene",
Phenol,1336-35-2
Propylene Oxide,16033-71-9
"1,1,2,2-Tetrachloroethane",79-34-5
Dibutyl Phthalate,84-74-2
Methylene Chloride,1605-72-7
Ammonia,15194-15-7
Ethylene Glycol,37221-95-7
"2,2,4-Trimethylpentane",31921-36-5
Cumene,51609-83-7
Hydroquinone,57534-13-1
"PAH, total",
Acetonitrile,54841-72-4
Biphenyl,81846-81-3
Catechol,37349-32-9
Dibenzofuran,132-64-9
Quinoline,91-22-5
m-Cresol,108-39-4
o-Cresol,95-48-7
p-Cresol,72269-62-6
"1,1,2-Trichloroethane",79-00-5
"1,3-Dichloropropene",10061-01-5
Benzo[e]Pyrene,192-97-2
Chlorobenzene,68411-45-0
Chloroform,67-66-3
Ethyl Chloride,75-00-3
Ethylene Dichloride,107-06-2
Ethylidene Dichloride,75-34-3
Perylene,198-55-0
Propylene Dichloride,78-87-5
Styrene,79637-11-9
Vinyl Chloride,75-01-4
Chromium compounds (except for chromite ore mined in the Transvaal Region),
Copper compounds,
Nickel compounds,21595-53-9
Nitrate compounds (water dissociable; reportable only when in aqueous solution),14797-55-8
Nitric acid,7697-37-2
Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),
Lead compounds,
Manganese compounds,22325-60-6
Mercury compounds,
Aluminum oxide (fibrous forms),
Zinc compounds,
Cobalt compounds,
Molybdenum trioxide,114316-51-7
Vanadium compounds,
Cadmium compounds,81271-94-5
Dioxin and dioxin-like compounds,
"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",
Arsenic compounds,7784-42-1
Polycyclic aromatic compounds,
Selenium compounds,7/5/83
Methyl Chloride,74-87-3
Chromium Trioxide,1333-82-0
Ethylene Dibromide,624-61-3
Methyl Tert-Butyl Ether,1634-04-4
Propionaldehyde,123-38-6
Glycol Ethers,
"1,2,4-Trichlorobenzene",63697-18-7
3-Methylcholanthrene,56-49-5
"7,12-Dimethylbenz[a]Anthracene",57-97-6
Benzyl Chloride,27987-13-9
Carbon Tetrachloride,56-23-5
Hexachlorobutadiene,87-68-3
Methyl Bromide,74-83-9
Methyl Chloroform,74552-83-3
Polychlorinated Biphenyls,
Tetrachloroethylene,127-18-4
Trichloroethylene,52037-46-4
Vinylidene Chloride,9002-85-1
m-Xylene,108-38-3
o-Xylene,95-47-6
Bis(2-Ethylhexyl)Phthalate,82208-43-3
Carbon Disulfide,355120-85-3
p-Xylene,106-42-3
Acetophenone,98-86-2
Isophorone,78-59-1
"N,N-Dimethylaniline",121-69-7
Dichloroethyl Ether,1191-17-9
Diethanolamine,61791-44-4
Vinyl Acetate,220713-36-0
Benzidine,56481-94-8
Dimethyl Phthalate,131-11-3
Methyl Methacrylate,11/6/65
Nitrobenzene,98-95-3
Pentachloronitrobenzene,82-68-8
Pentachlorophenol,101802-54-4
"Benzo[g,h,i]perylene",191-24-2
Chromium,195161-82-1
"1,2,4-Trimethylbenzene",95-36-3
Antimony compounds,
Diphenylamine,122-39-4
Pyridine,152758-95-7
Styrene oxide,62497-63-6
n-Butyl alcohol,107569-51-7
sec-Butyl alcohol,4221-99-2
tert-Butyl alcohol,75-65-0
Aluminum (fume or dust),113962-66-6
"1,2,3-Trichloropropane",96-18-4
"1,2-Dichlorobenzene",95-50-1
Barium,7440-39-3
Benzal chloride,98-87-3
Butyl acrylate,126492-54-4
Certain glycol ethers,
Cyclohexane,25012-93-5
Cyclohexanol,108-93-0
Dichlorobenzene (mixed isomers),95-50-1
Ethylene glycol,37221-95-7
Isobutyraldehyde,26140-46-5
Isoprene,68441-58-7
Methyl acrylate,102256-29-1
N-Methyl-2-pyrrolidone,26138-58-9
Nonylphenol,136-83-4
Propargyl alcohol,107-19-7
alpha-Naphthylamine,25168-10-9
p-Chloroaniline,106-47-8
Aluminum phosphide,1302-45-0
Boron trichloride,37226-51-0
Boron trifluoride,15875-25-9
Creosote,
Thallium compounds,
Copper,7440-50-8
"2,6-Xylidine",87-62-7
n-Hexane,92112-69-1
"2,6-Dinitrotoluene",606-20-2
N-Nitrosodi-n-propylamine,621-64-7
p-Nitroaniline,38013-32-0
Zinc (fume or dust),19229-95-9
2-Methoxyethanol,109-86-4
"1,1,1-Trichloroethane",74552-83-3
Vanadium (except when contained in an alloy),
"2,4-Dimethylphenol",105-67-9
Aniline,62-53-3
Di(2-ethylhexyl) phthalate,82208-43-3
N-Nitrosodiphenylamine,86-30-6
Lithium carbonate,554-13-2
Silver compounds,
Cresol/Cresylic Acid (Mixed Isomers),
Triethylamine,121-44-8
Methyl Isobutyl Ketone,108-10-1
Acrylonitrile,63908-52-1
Cellosolve Solvent,110-80-5
Phthalic Anhydride,85-44-9
"N,N-Dimethylformamide",68-12-2
Titanium Tetrachloride,11130-18-0
Ethylene Glycol Methyl Ether,109-86-4
Styrene Oxide,62497-63-6
Hexachlorobenzene,118-74-1
Polycyclic aromatic compounds (includes 25 specific compounds),
"2,4-Toluene Diisocyanate",59539-76-3
p-Dioxane,28347-88-8
Chloromethyl Methyl Ether,107-30-2
p-Phenylenediamine,106-50-3
Acrylic Acid,29862-29-1
Ethyl Acrylate,140-88-5
Phosphorus (yellow or white),
Sulfur Hexafluoride,2551-62-4
Asbestos,
o-Toluidine,95-53-4
Hexamethylene Diisocyanate,822-06-0
2-Nitropropane,79-46-9
"Benzo(g,h,i)Fluoranthene",
"2,4-Dinitrophenol",51-28-5
"4,6-Dinitro-o-Cresol",53240-95-2
Hexachloroethane,67-72-1
1-Methylnaphthalene,78900-94-4
