does_fac_have_agr_unit,facility_name,GHGRP ID,industry_segment,missing_data_procedures_used,reporting_year,acid_gas_removal_co2_emissions,Facility Id,FRS Id,Facility Name,City_x,State_x,Zip Code,Address_x,County_x,Latitude_x,Longitude_x,Primary NAICS Code,FRS_ID,FacilityName,Address_y,City_y,State_y,Zip,Latitude_y,Longitude_y,County_y,NAICS,SIC,FacilityID,Source
Yes,SOUTHWEST OZONA GAS PLANT,1002378,Onshore natural gas processing [98.230(a)(3)],No,2017,1406.3,1002378,110043793570.0,SOUTHWEST OZONA GAS PLANT,OZONA,TX,76943,nan,CROCKETT COUNTY,30.45,-101.47,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,FAIN GAS PLANT,1002528,Onshore natural gas processing [98.230(a)(3)],No,2017,3835.4,1002528,110071160037.0,FAIN GAS PLANT,MASTERSON,TX,79058,32540 Fain Plant Rd.,POTTER COUNTY,35.6,-101.88,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Hatters Pond Gas Plant,1007657,Onshore natural gas processing [98.230(a)(3)],No,2017,11153.8,1007657,110020489924.0,Hatters Pond Gas Plant,Creola,AL,36525,1340 Radcliff Road,MOBILE COUNTY,30.89,-88.07,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Buffalo Creek Processing Plant,1010777,Onshore natural gas processing [98.230(a)(3)],Yes,2017,698.9,1010777,110071160286.0,Buffalo Creek Processing Plant,Sayre,OK,73662,11348 E 1170 Rd,BECKHAM COUNTY,35.32,-99.78,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Newberry Gas Plant,1013052,Onshore natural gas processing [98.230(a)(3)],No,2017,2790.7,1013052,110071161823.0,Newberry Gas Plant,Midland,TX,79706,nan,MIDLAND COUNTY,31.85,-101.78,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,"KH Plantation West Gas Treating Facility Coushatta, LA",1009776,Onshore natural gas processing [98.230(a)(3)],No,2017,18488.4,1009776,nan,"KH Plantation West Gas Treating Facility Coushatta, LA",Coushatta,LA,71019,170 Yearwood Rd,nan,32.0,-93.3,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Maljamar Gas Plant,1008432,Onshore natural gas processing [98.230(a)(3)],No,2017,189.9,1008432,110000534020.0,Maljamar Gas Plant,Maljamar,NM,88264,1001 Conoco Road,LEA COUNTY,32.81,-103.77,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,ContangoResources_LOST CABIN,1002265,Onshore natural gas processing [98.230(a)(3)],No,2017,642513.5,1002265,110000569803.0,ContangoResources_LOST CABIN,Lysite,WY,82642,165 LOST CABIN Road,FREMONT COUNTY,43.28,-107.6,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,APPLEBY TREATER,1010353,Onshore natural gas processing [98.230(a)(3)],No,2017,21328.2,1010353,110071159680.0,APPLEBY TREATER,Appleby,TX,75965,nan,NACOGDOCHES COUNTY,31.69,-94.58,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Lancaster Ranch Treater,1010032,Onshore natural gas processing [98.230(a)(3)],No,2017,8880.9,1010032,110055518863.0,Lancaster Ranch Treater,Derby,TX,78017,9322 East Hwy 85,FRIO COUNTY,28.73,-99.04,486210,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Yellowhammer Gas Plant,1002385,Onshore natural gas processing [98.230(a)(3)],No,2017,27665.2,1002385,110043814085.0,Yellowhammer Gas Plant,CODEN,AL,36523,13700 DAUPHIN ISLAND PARKWAY,MOBILE COUNTY,30.4,-88.13,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,INDIAN BASIN GAS PLANT,1003130,Onshore natural gas processing [98.230(a)(3)],No,2017,0.0,1003130,110007020856.0,INDIAN BASIN GAS PLANT,LAKEWOOD,NM,88254,329 MARATHON ROAD,EDDY COUNTY,32.47,-104.57,211120,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Arrowhead Gas Plant,1012906,Onshore natural gas processing [98.230(a)(3)],No,2017,3473.0,1012906,nan,Arrowhead Gas Plant,Coyanosa,TX,79730,2387 Hwy 1450,nan,31.24,-103.07,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,CHISHOLM PLANT,1010732,Onshore natural gas processing [98.230(a)(3)],No,2017,18005.3,1010732,110071162216.0,CHISHOLM PLANT,La Grange,TX,78945,nan,FAYETTE COUNTY,30.0,-96.89,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Goliad Gas Plant,1010223,Onshore natural gas processing [98.230(a)(3)],No,2017,41727.9,1010223,110071160800.0,Goliad Gas Plant,Goliad,TX,77963,nan,GOLIAD COUNTY,28.62,-97.64,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,BECKVILLE GAS PROCESSING PLANT,1012062,Onshore natural gas processing [98.230(a)(3)],No,2017,40124.0,1012062,110039115472.0,BECKVILLE GAS PROCESSING PLANT,BECKVILLE,TX,75631,329 COUNTY ROAD 257,PANOLA COUNTY,32.24,-94.49,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Chico Gas Plant,1003764,Onshore natural gas processing [98.230(a)(3)],No,2017,43563.0,1003764,110009003078.0,Chico Gas Plant,Chico,TX,76431,383 County Road 1745,WISE COUNTY,33.31,-97.88,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Cliffside Crude Helium Enrichment Unit,1010750,Onshore natural gas processing [98.230(a)(3)],No,2017,2401.7,1010750,110034702132.0,Cliffside Crude Helium Enrichment Unit,Amarillo,TX,79124,13301 Brick Road,POTTER COUNTY,35.35,-101.99,325120,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Monument Gas Plant,1004893,Onshore natural gas processing [98.230(a)(3)],No,2017,37409.4,1004893,110007973933.0,Monument Gas Plant,Monument,NM,84265,8201 W Hwy 322,LEA COUNTY,32.63,-103.29,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Delaware Basin Gas Plant,1012519,Onshore natural gas processing [98.230(a)(3)],No,2017,1389.8,1012519,nan,Delaware Basin Gas Plant,Coyanosa,TX,79730,1220 Conty Road 101,nan,31.24,-103.07,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Velma Gas Plant,1007903,Onshore natural gas processing [98.230(a)(3)],No,2017,32449.8,1007903,110071160975.0,Velma Gas Plant,VELMA,OK,73491,nan,STEPHENS COUNTY,34.46,-97.69,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,"KM Tejas Fandango Plant, TX",1004109,Onshore natural gas processing [98.230(a)(3)],No,2017,31541.9,1004109,110007193811.0,"KM Tejas Fandango Plant, TX",ZAPATA,TX,78076,nan,ZAPATA COUNTY,27.03,-98.97,486210,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,BENEDUM GAS PLANT,1002325,Onshore natural gas processing [98.230(a)(3)],No,2017,4790.7,1002325,110025328795.0,BENEDUM GAS PLANT,MIDKIFF,TX,79755,10501 HIGHWAY 1555,UPTON COUNTY,31.36,-101.78,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,West Frenchie Draw Amine Plant,1004110,Onshore natural gas processing [98.230(a)(3)],No,2017,22499.4,1004110,110043796416.0,West Frenchie Draw Amine Plant,Lysite,WY,82642,150 Deer Creek Rd. / North of Highway 20-26,FREMONT COUNTY,43.29,-107.62,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,GORDON GAS PROCESSING PLANT,1006709,Onshore natural gas processing [98.230(a)(3)],No,2017,2718.0,1006709,110056530801.0,GORDON GAS PROCESSING PLANT,GORDON,TX,76453,1160 Hwy. 193 East,PALO PINTO COUNTY,32.54,-98.34,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,"Scissortail Energy Featherston Station Quinton, OK",1006483,Onshore natural gas processing [98.230(a)(3)],No,2017,19454.5,1006483,110071159931.0,"Scissortail Energy Featherston Station Quinton, OK",Quinton,OK,74561,17890 E State Hwy 31,PITTSBURG COUNTY,35.07,-95.51,486210,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Bethel Gas Treating Facility,1002298,Onshore natural gas processing [98.230(a)(3)],No,2017,19150.5,1002298,110043793419.0,Bethel Gas Treating Facility,Tennessee Colony,TX,75861,1760 Anderson County Rd 2608,FREESTONE COUNTY,31.8,-96.11,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Patrick Draw Gas Plant,1001866,Onshore natural gas processing [98.230(a)(3)],No,2017,34409.6,1001866,110071161803.0,Patrick Draw Gas Plant,Green River,WY,82935,nan,SWEETWATER COUNTY,41.58,-108.52,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,"KH Plantation South Gas Treating Facility Coushatta, LA",1009775,Onshore natural gas processing [98.230(a)(3)],No,2017,61269.3,1009775,110055517846.0,"KH Plantation South Gas Treating Facility Coushatta, LA",Coushatta,LA,71019,171 Yearwood Rd,RED RIVER PARISH,32.19,-93.49,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,OFS GPRP Maysville,1006184,Onshore natural gas processing [98.230(a)(3)],No,2017,8963.4,1006184,110007385409.0,OFS GPRP Maysville,MAYSVILLE,OK,73057,nan,GARVIN COUNTY,34.82,-97.44,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,BRIDGEPORT GAS PROCESSING PLANT,1006373,Onshore natural gas processing [98.230(a)(3)],No,2017,75391.9,1006373,110028052354.0,BRIDGEPORT GAS PROCESSING PLANT,BRIDGEPORT,TX,76426,"415 PRIVATE RD, 3502",WISE COUNTY,33.2,-97.8,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Deadwood Cryo Plant,1010634,Onshore natural gas processing [98.230(a)(3)],No,2017,4196.6,1010634,110071160746.0,Deadwood Cryo Plant,Garden City,TX,79739,"31.952174, -101.484553",GLASSCOCK COUNTY,31.81,-101.56,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Meeker Gas Plant,1004822,Onshore natural gas processing [98.230(a)(3)],No,2017,335836.2,1004822,110031262069.0,Meeker Gas Plant,Rifle,CO,81650,27991 County Rd 5,RIO BLANCO COUNTY,39.91,-108.29,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Keatchie Gas Plant,1004837,Onshore natural gas processing [98.230(a)(3)],No,2017,13132.9,1004837,110062554409.0,Keatchie Gas Plant,Keatchie,LA,71046,317 Marshall Road,DE SOTO PARISH,32.14,-93.99,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Brookeland Gas Plant,1002169,Onshore natural gas processing [98.230(a)(3)],No,2017,42019.1,1002169,110017348226.0,Brookeland Gas Plant,Brookeland,TX,75931,428 County Road 200,JASPER COUNTY,31.06,-93.96,486210,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Woodsboro Gas Plant,1010643,Onshore natural gas processing [98.230(a)(3)],No,2017,53182.2,1010643,110046120149.0,Woodsboro Gas Plant,Woodsboro,TX,78393,224 Levien Rd.,REFUGIO COUNTY,28.18,-97.28,486210,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,"Scissortail Energy Cable Compressor Station McAlester, OK",1012284,Onshore natural gas processing [98.230(a)(3)],No,2017,34933.8,1012284,110071162441.0,"Scissortail Energy Cable Compressor Station McAlester, OK",McAlester,OK,74501,nan,PITTSBURG COUNTY,35.07,-95.47,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,"KH North Elm Grove Gas Treating Facility Haughton, LA",1009772,Onshore natural gas processing [98.230(a)(3)],No,2017,9972.2,1009772,110055517819.0,"KH North Elm Grove Gas Treating Facility Haughton, LA",Haughton,LA,71037,3008 Johnson Koran Rd,BOSSIER PARISH,32.46,-93.49,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Rock Creek Gas Plant,1006799,Onshore natural gas processing [98.230(a)(3)],No,2017,6184.4,1006799,110043808984.0,Rock Creek Gas Plant,BORGER,TX,79007,nan,HUTCHINSON COUNTY,35.67,-101.41,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Springridge South Compressor Station,1004400,Onshore natural gas processing [98.230(a)(3)],No,2017,44955.6,1004400,110043797781.0,Springridge South Compressor Station,Keatchie,LA,71046,686 Hwy 789,DE SOTO PARISH,32.2,-93.9,211120,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Mt. Olive Gas Plant,1012151,Onshore natural gas processing [98.230(a)(3)],No,2017,43954.2,1012151,110071161820.0,Mt. Olive Gas Plant,Ruston,LA,71268,792-842 Woods Rd.,LINCOLN PARISH,32.57,-92.68,486210,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,PITTSBURG GAS PLANT,1007489,Onshore natural gas processing [98.230(a)(3)],No,2017,18412.6,1007489,110062249954.0,PITTSBURG GAS PLANT,PITTSBURG,TX,75686,1088 CR 1140,CAMP COUNTY,32.94,-94.89,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,WEATHERFORD PLANT,1003317,Onshore natural gas processing [98.230(a)(3)],No,2017,10251.0,1003317,110031262489.0,WEATHERFORD PLANT,Weatherford,TX,76088,451 Jones Road,PARKER COUNTY,32.73,-97.87,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Onshore Treating Facility,1006148,Onshore natural gas processing [98.230(a)(3)],No,2017,70768.6,1006148,110008998709.0,Onshore Treating Facility,THEODORE,AL,36582,6000 DEAKLE ROAD,MOBILE COUNTY,30.43,-88.18,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
Yes,Brasada Gas Plant,1010120,Onshore natural gas processing [98.230(a)(3)],No,2017,54386.6,1010120,110055376196.0,Brasada Gas Plant,Cotulla,TX,78014,"28.410804, -99.268295",LA SALLE COUNTY,28.42,-99.26,211130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues
