,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
0,7971WFLLRT751NF,FULLERTON GAS PLANT,211130,issues,issues,issues,issues,issues,DCP MIDSTREAM LLC,110041034234,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1,70734LLDSGHWY31,HONEYWELL INTERNATIONAL INC GEISMAR PLANT,325120,325211.0,issues,issues,issues,issues,HONEYWELL INTERNATIONAL INC,110033659878,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2,78362DPNTCHIGHW,THE CHEMOURS CO,325120,issues,issues,issues,issues,issues,THE CHEMOURS CO,110000746532,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3,74015SLKTR1115K,VERSUM MATERIALS US LLC CATOOSA SITE,325120,issues,issues,issues,issues,issues,EMD HOLDING CORP,110000454525,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4,77506RPRDC1423H,AIR PRODUCTS LLC,325120,325199.0,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110043799958,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
5,37210PLRTC136FS,HUDSON TECHNOLOGIES CO,325120,issues,issues,issues,issues,issues,HUDSON TECHNOLOGIES INC,110024836203,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
7,39042BCGSS159AN,MESSER BRANDON MS,325120,issues,issues,issues,issues,issues,MESSER N.A. INC,110038352083,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
9,61821HDSNT342NM,HUDSON TECHNOLOGIES CO,325120,issues,issues,issues,issues,issues,HUDSON TECHNOLOGIES INC,110005926338,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
26,90245RLQDL131EE,AIR LIQUIDE LARGE INDUSTRIES U.S. LP - EL SEGUNDO,325120,issues,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110018885731,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
27,35601MDMNFSTATE,MDA MANUFACTURING INC,325120,issues,issues,issues,issues,issues,DAIKIN AMERICA INC,110045447469,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
37,77640RPRDS1801S,AIR PRODUCTS LLC,325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110043802819,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
38,43402RMTCN11HAS,A-GAS US INC,325120,issues,issues,issues,issues,issues,A-GAS US HOLDINGS INC,110009423203,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
40,18252RPRDCPOBOX,VERSUM MATERIALS US LLC,325120,issues,issues,issues,issues,issues,EMD HOLDING CORP,110000584449,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
42,94553RPRDS110WA,AIR PRODUCTS & CHEMICALS INC (MARTINEZ-WATERFRONT ROAD),325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110000483227,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
48,28302DPNTFHIGHW,CHEMOURS CO - FAYETTEVILLE WORKS,325120,326130.0,issues,issues,issues,issues,THE CHEMOURS CO,110000559609,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
50,97503BCDWR470WA,LINDE GAS & EQUIPMENT INC.,325120,issues,issues,issues,issues,issues,LINDE INC,110001658331,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
55,40216DPNTL4200C,CHEMOURS LOUISVILLE PLANT,325120,325180.0,issues,issues,issues,issues,THE CHEMOURS CO,110000378494,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
58,71730DPNTL322SU,CHEMOURS EL DORADO,325120,issues,issues,issues,issues,issues,THE CHEMOURS CO,110033151540,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
60,70776CMRCS4990B,MEXICHEM FLUOR INC,325120,issues,issues,issues,issues,issues,issues,110043796023,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
61,77580NTRPR10207,ENTERPRISE PRODUCTS OPERATING LLC,211130,325199.0,issues,issues,issues,issues,ENTERPRISE PRODUCTS OPERATING LLC,110056961480,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
68,77541RLQDFFM523,AIR LIQUIDE FREEPORT HPU PLANT,325120,issues,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110056955647,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
77,70129RPRDC14700,AIR PRODUCTS & CHEMICALS INC ( NEW ORLEANS LA FACILITY),325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110000449113,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
79,7080WRPRDC2GULF,AIR PRODUCTS-BATON ROUGE SMR,325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110041624472,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
87,90503RCCGR2535D,MESSER LLC,325120,issues,issues,issues,issues,issues,MESSER N.A. INC,110070931644,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
105,08876RMTCT197ME,AIR LIQUIDE ADVANCED MATERIALS INC,325120,325180.0,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110004173625,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
119,77642PRXRN21HUS,LINDE PORT ARTHUR HYDROGEN FACILITY 497,325120,issues,issues,issues,issues,issues,LINDE INC,110016761823,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
120,72118WLSCN9301C,WELSCO INC.,325120,issues,issues,issues,issues,issues,issues,110000451742,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
122,7035WGRNDS18838,GRAND ISLE SHIPYARD INC,213112,332312.0,issues,issues,issues,issues,issues,110028005138,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
