,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
31,77507BCGSS952BA,LINDE GAS NORTH AMERICA LLC,325120,issues,issues,issues,issues,issues,LINDE GAS N.A. LLC,110067040703,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
54,90744RPRDS700HE,AIR PRODUCTS & CHEMICALS INC.,325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110000476084,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
57,70734LQDCRPOBOX,LINDE GEISMAR FACILITY,325120,325199.0,issues,issues,issues,issues,LINDE INC,110046264760,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
85,70669RPRDC12TRU,AIR PRODUCTS & CHEMICALS INC,325120,issues,issues,issues,issues,issues,AIR PRODUCTS & CHEMICALS INC,110017619861,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
127,90503RGSDR3535D,AIRGAS DRY ICE,325120,issues,issues,issues,issues,issues,AIRGAS USA LLC,110067041953,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
131,46312PRXRNFOOTO,LINDE INC,325120,issues,issues,issues,issues,issues,LINDE INC,110002321381,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
142,35616RCCRBPOBOX,MESSER LLC,325120,issues,issues,issues,issues,issues,MESSER N.A. INC,110000367647,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
149,77541FRPRT2398V,AIR LIQUIDE FREEPORT HYCO PLANT,325120,issues,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110005184497,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
152,94804RCCRB731WC,MESSER LLC,325120,issues,issues,issues,issues,issues,issues,110000483931,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
170,39167CRBNCANDRE,AIRGAS CARBONIC,325120,issues,issues,issues,issues,issues,AIRGAS INC,110000708618,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
202,90744RLQDC1502W,AIRGAS USA LLC,325120,issues,issues,issues,issues,issues,AMERICAN AIR LIQUIDE HOLDINGS INC,110000758207,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
228,77590PRXRN172GR,LINDE INC TEXAS CITY SMR,325120,issues,issues,issues,issues,issues,LINDE INC,110022411530,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
