TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge,FRS_ID_Issues
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110056959929.0,POET BIOREFINING-FOSTORIA,2111 SAND US KY ST,FOSTORIA,OH,44830,41.17562,-83.3806,SENECA,325194,nan,4483WPTBRF2111S,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110017436130.0,CARGILL CORN MILLING,17540 MONROE-WAPELLO ROAD,EDDYVILLE,IA,52553,41.16226,-92.6361,MONROE,311221,nan,52553CRGLLRR1CO,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110059765696.0,CARGILL CORN MILLING NORTH AMERICA,650 INDUSTRIAL PARK DRIVE,BLAIR,NE,680082649,41.53397,-96.0979,WASHINGTON,311221,nan,68008CRGLL650IN,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,110059765696.0,CARGILL CORN MILLING NORTH AMERICA,650 INDUSTRIAL PARK DRIVE,BLAIR,NE,680082649,41.53397,-96.0979,WASHINGTON,325211,nan,68008CRGLL650IN,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,CHEMAID LABORATORIES INC.,100 MAYHILL ST,SADDLE BROOK,NJ,7663,40.89923,-74.08892,BERGEN,325620,nan,0766WCHMDL1MAYH,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,ZEUS CO INC BNJ,134 CHUBB WAY,SOMERVILLE,NJ,8876,40.556792,-74.705768,SOMERSET,326121,nan,0887WZSNDS134CH,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,BLOMMER CHOCOLATE CO/E GREENVILLE PLT,1101 BLOMMER DR,EAST GREENVILLE,PA,18041,40.41568,-75.51236,MONTGOMERY,311351,nan,1804WBLMMR111BL,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,ZEUS CO INC GSC,201 ZEUS LN,GASTON,SC,29053,33.844495,-81.023743,CALHOUN,326121,nan,2905WZSCMP21ZEU,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,OCEANAGOLD HAILE GOLD MINE,6911 SNOWY OWL RD,KERSHAW,SC,29067,34.597431,-80.532552,LANCASTER,212221,nan,2906WCNGLD6911S,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,ZEUS CO INC OSC,646 MAGNOLIA STREET,ORANGEBURG,SC,29115,33.48712,-80.85432,ORANGEBURG,326121,nan,2911WZSNDS646MA,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,GITI TIRE MANUFACTURING CO (USA) LTD,1000 GITI DRIVE,RICHBURG,SC,29729,34.748817,-81.047644,CHESTER,326211,nan,2972WGTTRM1GITI,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,ZEUS CO INC ASC,2499 LEVELS CHURCH RD,AIKEN,SC,29801,33.544633,-81.681224,AIKEN,326121,nan,2980WZSCMP2499L,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,EBROFROST N.A. INC.,2360 PROSPECT,MEMPHIS,TN,38106,35.08205,-90.03704,SHELBY,311212,nan,3810WBRFRS236PR,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,RIVIANA FOODS,2314 S. LAUDERDALE STREET,MEMPHIS,TN,38106,35.08368,-90.04458,SHELBY,311212,nan,3810WRVNFD2314S,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,AMERICAN HOOD SYSTEMS INC.,172 REASER CT,ELYRIA,OH,44035,41.36746,-82.07405,LORAIN,332322,nan,4403WMRCNH172RE,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,MODERN FORGE INDIANA LLC,8757 COLORADO ST,MERRILLVILLE,IN,46410,41.45912,-87.29698,LAKE,332111,nan,4641WMDRNF8757C,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,LGC GENOMICS LLC,2434 BISHOP CIR E,DEXTER,MI,48130,42.32499,-83.877,WASHTENAW,325199,nan,4813WLGCGN2434B,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,GEA FARM TECHNOLOGIES INC.,20903 W GALE AVE,GALESVILLE,WI,54630,44.08239,-91.37045,TREMPEALEAU,333111,nan,5463WGFRMT293WG,TRI,right_only,False
issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,nan,CITYSERVICEVALCON LLC BILLINGS BULK FACILITY,2100 1ST AVE S,BILLINGS,MT,59101,45.783698,-108.494111,YELLOWSTONE,424710,nan,5910WCTYSR211ST,TRI,right_only,False
