FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier_x,FlowChemIdentifier_y
Carbon Dioxide,air,47107600.0,kg,2.6929327751785275,GHGRP,2017.0,110000504525.0,Old Ocean Gas Plant,200 Refinery Road,Sweeny,TX,77208.0,29.047183,-95.747683,BRAZORIA COUNTY,211130,,1000390,18923-20-1,18923-20-1
Methane,air,86980.00000000001,kg,4.976546332490227,GHGRP,2017.0,110000504525.0,Old Ocean Gas Plant,200 Refinery Road,Sweeny,TX,77208.0,29.047183,-95.747683,BRAZORIA COUNTY,211130,,1000390,74-82-8,74-82-8
Nitrous Oxide,air,78.0,kg,2.3846153846153846,GHGRP,2017.0,110000504525.0,Old Ocean Gas Plant,200 Refinery Road,Sweeny,TX,77208.0,29.047183,-95.747683,BRAZORIA COUNTY,211130,,1000390,126386-65-0,126386-65-0
Carbon Dioxide,air,98707900.0,kg,2.245141472972275,GHGRP,2017.0,110015736907.0,BLOCK 31 GAS PLANT,1501 FM 1601,CRANE,TX,79731.0,31.6467,-102.52869,CRANE COUNTY,211111,,1001132,18923-20-1,18923-20-1
Methane,air,118400.0,kg,4.956672297297297,GHGRP,2017.0,110015736907.0,BLOCK 31 GAS PLANT,1501 FM 1601,CRANE,TX,79731.0,31.6467,-102.52869,CRANE COUNTY,211111,,1001132,74-82-8,74-82-8
Nitrous Oxide,air,184.0,kg,2.2119565217391304,GHGRP,2017.0,110015736907.0,BLOCK 31 GAS PLANT,1501 FM 1601,CRANE,TX,79731.0,31.6467,-102.52869,CRANE COUNTY,211111,,1001132,126386-65-0,126386-65-0
Carbon Dioxide,air,223235700.0,kg,2.7472151631661066,GHGRP,2017.0,110071161194.0,Cana Gas Plant,None,Calumet,OK,73014.0,35.535,-98.099,CANADIAN COUNTY,211111,,1001589,18923-20-1,18923-20-1
Methane,air,277980.0,kg,4.965896827109864,GHGRP,2017.0,110071161194.0,Cana Gas Plant,None,Calumet,OK,73014.0,35.535,-98.099,CANADIAN COUNTY,211111,,1001589,74-82-8,74-82-8
Nitrous Oxide,air,337.0,kg,2.1869436201780417,GHGRP,2017.0,110071161194.0,Cana Gas Plant,None,Calumet,OK,73014.0,35.535,-98.099,CANADIAN COUNTY,211111,,1001589,126386-65-0,126386-65-0
Carbon Dioxide,air,188453400.0,kg,3.222167920557549,GHGRP,2017.0,110043792429.0,Midkiff Gas Plant,17400 E FM 2401,MIDKIFF,TX,79755.0,31.502598,-101.911987,UPTON COUNTY,211112,,1001638,18923-20-1,18923-20-1
Methane,air,1578130.0,kg,4.996007933440211,GHGRP,2017.0,110043792429.0,Midkiff Gas Plant,17400 E FM 2401,MIDKIFF,TX,79755.0,31.502598,-101.911987,UPTON COUNTY,211112,,1001638,74-82-8,74-82-8
Nitrous Oxide,air,311.0,kg,2.974276527331189,GHGRP,2017.0,110043792429.0,Midkiff Gas Plant,17400 E FM 2401,MIDKIFF,TX,79755.0,31.502598,-101.911987,UPTON COUNTY,211112,,1001638,126386-65-0,126386-65-0
Carbon Dioxide,air,251368700.0,kg,3.9954226600209175,GHGRP,2017.0,110071159542.0,Arkansas Loop & Simpson Treating Plants,None,DURANGO,CO,81303.0,37.0532,-107.7855,LA PLATA COUNTY,211111,,1001760,18923-20-1,18923-20-1
Methane,air,208020.0,kg,4.977069512546871,GHGRP,2017.0,110071159542.0,Arkansas Loop & Simpson Treating Plants,None,DURANGO,CO,81303.0,37.0532,-107.7855,LA PLATA COUNTY,211111,,1001760,74-82-8,74-82-8
Nitrous Oxide,air,159.0,kg,2.0,GHGRP,2017.0,110071159542.0,Arkansas Loop & Simpson Treating Plants,None,DURANGO,CO,81303.0,37.0532,-107.7855,LA PLATA COUNTY,211111,,1001760,126386-65-0,126386-65-0
