,mean,median,emissions,sector,minimum,maximum
0,2.9915E-4,1.4051E-4,Volatile Organic Compounds,w/o outliers,1.8602E-6,2.4362E-3
0,3.8281E-4,1.4051E-4,Volatile Organic Compounds,w. outliers,1.8602E-6,4.9094E-3
0,8.6185E-5,3.5235E-5,Sulfur Dioxide,w/o outliers,7.8047E-8,9.4579E-4
0,1.2812E-4,3.5235E-5,Sulfur Dioxide,w. outliers,7.8047E-8,2.7850E-3
0,3.0409E-4,2.7805E-4,Nitrogen Oxides,w/o outliers,8.6188E-6,9.4622E-4
0,3.4783E-4,2.9881E-4,Nitrogen Oxides,w. outliers,8.6188E-6,1.6274E-3
0,7.2499E-6,9.9754E-7,PM10-PM2.5,w/o outliers,0.0000E+4,4.1829E-5
0,2.2277E-5,1.0859E-6,PM10-PM2.5,w. outliers,0.0000E+4,1.2858E-3
0,1.7130E-4,1.0765E-4,Methane,w/o outliers,3.2708E-8,1.4226E-3
0,2.0269E-4,1.0956E-4,Methane,w. outliers,3.2708E-8,2.1983E-3
0,9.9892E-1,NaN,Carbon Dioxide,w/o outliers,9.9437E-1,1.0000E+0
0,9.9844E-1,NaN,Carbon Dioxide,w. outliers,9.7623E-1,1.0000E+0
0,5.8333E-6,6.0316E-6,Nitrous Oxide,w/o outliers,3.2708E-9,2.9324E-5
0,2.8605E-4,6.1266E-6,Nitrous Oxide,w. outliers,3.2708E-9,2.1862E-2
