,mean,median,emissions,sector,minimum,maximum
0,8.8143E-5,6.2505E-5,Volatile Organic Compounds,w/o outliers,0.0000E+4,7.2821E-4
0,1.0372E-4,6.2505E-5,Volatile Organic Compounds,w. outliers,0.0000E+4,1.0418E-3
0,2.2501E-4,1.5360E-4,Sulfur Dioxide,w/o outliers,1.2570E-5,1.1965E-3
0,2.6912E-4,1.5360E-4,Sulfur Dioxide,w. outliers,1.2570E-5,3.9411E-3
0,5.2399E-4,3.6704E-4,Nitrogen Oxides,w/o outliers,5.8502E-7,4.4881E-3
0,6.4820E-4,3.7277E-4,Nitrogen Oxides,w. outliers,5.8502E-7,8.3677E-3
0,4.0289E-5,1.6282E-5,PM10-PM2.5,w/o outliers,0.0000E+4,5.7708E-4
0,2.3107E-4,1.7784E-5,PM10-PM2.5,w. outliers,0.0000E+4,1.8383E-2
0,3.2237E-5,3.5101E-6,Methane,w/o outliers,2.5244E-8,2.8888E-3
0,7.6806E-5,3.5942E-6,Methane,w. outliers,2.5244E-8,3.0551E-3
0,3.5068E-1,3.5077E-1,Carbon Dioxide,w/o outliers,3.4538E-1,3.5150E-1
0,3.5049E-1,3.5075E-1,Carbon Dioxide,w. outliers,3.4061E-1,3.5150E-1
0,3.6650E-7,3.5054E-7,Nitrous Oxide,w/o outliers,3.7866E-9,1.1427E-6
0,4.5504E-7,3.5882E-7,Nitrous Oxide,w. outliers,3.7866E-9,4.5074E-6
