,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
1924,01960GGRGT55RUS,AGGREGATE INDUSTRIES NORTHEAST REGION INC,324121,212319.0,issues,issues,issues,issues,HOLCIM (US) INC,110001956401.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2033,9343WCLPRT468SA,CALPORTLAND CO GAREY PLANT,324121,issues,issues,issues,issues,issues,TAIHEIYO CEMENT USA INC,110067124490.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2036,7350WRGNSP931SW,ERGON ASPHALT & EMULSIONS INC. - LAWTON,324121,issues,issues,issues,issues,issues,ERGON INC.,110013866432.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2038,2290WSLWLL123RI,SL WILLIAMSON CO INC SHOP,324121,issues,issues,issues,issues,issues,issues,110060257680.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2055,38363KCHMTHWY41,ERGON ASPHALT & EMULSIONS INC. - PARSONS,324121,issues,issues,issues,issues,issues,ERGON INC.,110008056897.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2080,00851HSSLVLIMET,LIMETREE BAY REFINING LLC & LIMETREE BAY TERMINALS LLC,324110,issues,issues,issues,issues,issues,issues,110000307864.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2152,92335KCHMT14929,ERGON ASPHALT & EMULSIONS INC. - FONTANA,324121,issues,issues,issues,issues,issues,ERGON INC,110001133130.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2183,85226RGNSP694WC,ERGON ASPHALT & EMULSIONS INC. - CHANDLER,324121,issues,issues,issues,issues,issues,ERGON INC,110020516164.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2257,66115MPRBL450FU,ERGON ARMOR INC-KANSAS CITY,324121,issues,issues,issues,issues,issues,ERGON INC,110015679764.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2432,8408WSPHLT7961S,ASPHALT MATERIALS INC,324121,issues,issues,issues,issues,issues,issues,110001880849.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2449,31717RGNTR161SP,BKEP MATERIALS LLC - BAINBRIDGE GA,324121,issues,issues,issues,issues,issues,BLUEKNIGHT ENERGY PARTNERS LP,110009140081.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2481,6704WRGNSP8EAST,ERGON ASPHALT & EMULSIONS INC. - EL DORADO,324121,issues,issues,issues,issues,issues,ERGON INC.,110001240595.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2855,89118KCHPR3901W,ERGON ASPHALT & EMULSIONS INC. - LAS VEGAS,324121,issues,issues,issues,issues,issues,ERGON INC.,110009460145.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2891,37210RGNTR1114V,ERGON ASPHALT & EMULSIONS INC. - NASHVILLE,324121,issues,issues,issues,issues,issues,ERGON INC,110001860576.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2938,2789WBLCKC252WI,ERGON ASPHALT & EMULSIONS INC. - WILSON,324121,issues,issues,issues,issues,issues,ERGON INC,110043968418.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3236,18103CRFCN1680E,CRAFCO INC-ALLENTOWN,324121,issues,issues,issues,issues,issues,ERGON INC,110001085904.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3698,44509WLKRW912SA,CRAFCO INC-YOUNGSTOWN,324121,issues,issues,issues,issues,issues,ERGON INC.,110000390112.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3774,78064RGNSP972ND,ERGON ASPHALT & EMULSIONS INC. - PLEASANTON,324121,issues,issues,issues,issues,issues,ERGON INC.,110012491151.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3991,6740WRGNSP11WGR,ERGON ASPHALT & EMULSIONS INC. - SALINA,324121,issues,issues,issues,issues,issues,ERGON INC.,110017507795.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
3993,06810TLCNC5PLUM,TILCON CONNECTICUT INC,324121,issues,issues,issues,issues,issues,CRH AMERICAS INC,110008053890.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4116,06040TLCNC569NM,TILCON CONNECTICUT INC,324121,issues,issues,issues,issues,issues,CRH AMERICAS INC,110008053792.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4167,73117WNSCR3400N,OWENS CORNING ROOFING & ASPHALT L.L.C OKLAHOMA CITY,324121,issues,issues,issues,issues,issues,OWENS CORNING,110008060043.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4236,7565WTRNTY8621B,TRINITY ASPHALT INC.-HENDERSON,324121,issues,issues,issues,issues,issues,ERGON INC,110070232573.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4307,35118RGNTR789BI,ERGON ASPHALT & EMULSIONS INC. - BIRMINGPORT,324121,issues,issues,issues,issues,issues,ERGON INC.,110001715467.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4612,7545WRGNSP29AIR,ERGON ASPHALT & EMULSIONS INC. - MT. PLEASANT,324121,issues,issues,issues,issues,issues,ERGON INC.,110005166676.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4844,62812MRTHN42SPA,MARATHON PETROLEUM CO - BENTON IL ASPHALT TERMINAL,324121,issues,issues,issues,issues,issues,MARATHON PETROLEUM CORP,110041201749.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4856,06480TLCNC231AI,TILCON CONNECTICUT INC,324121,issues,issues,issues,issues,issues,CRH AMERICAS INC,110008053934.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4860,8200WCRFCN325RA,CRAFCO INC. - CHEYENNE,324121,issues,issues,issues,issues,issues,ERGON INC,110043694794.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
4897,0062WPRTRCCARRE,TALLABOA PUERTO RICO LLC,324121,issues,issues,issues,issues,issues,issues,110070234789.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
