FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHG_NAME,GHG_QUANTITY
1001781,2011,INVISTA S.a r.l.,Nitrous Oxide,1810.0
1001818,2011,US ARMY RADFORD ARMY AMMUNITION PLANT,Nitrous Oxide,57.816
1001908,2011,APACHE NITROGEN PRODUCTS - PLANT,Nitrous Oxide,1454.87
1002170,2011,COFFEYVILLE RESOURCES NITROGEN FERT.,Nitrous Oxide,574.06
1002188,2011,"Trammo Nitrogen Products, Inc.",Nitrous Oxide,418.32
1002212,2011,INVISTA ORANGE SITE,Nitrous Oxide,576.516
1002229,2011,"PCS Nitrogen Ohio, L.P.",Nitrous Oxide,891.237
1002263,2011,ANGUS CHEMICAL CO,Nitrous Oxide,30.406
1002275,2011,VERDIGRIS PLT,Nitrous Oxide,3529.0
1002301,2011,"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX",Nitrous Oxide,3724.134
1002407,2011,KOCH FERITLIZER ENID LLC ENID NITROGEN PLT,Nitrous Oxide,2.1
1002589,2011,FIRST CHEMICAL CORP,Nitrous Oxide,473.7
1002830,2011,EL DORADO NITROGEN LLC,Nitrous Oxide,576.95
1003007,2011,Air Products LLC - Pasadena Plant,Nitrous Oxide,43.3
1003489,2011,PCS NITROGEN FERTILIZER LP - GEISMAR AGRICULTURAL NITROGEN & PHOSPHATE PLANT,Nitrous Oxide,4142.5
1003636,2011,J R SIMPLOT COMPANY,Nitrous Oxide,19.524
1003993,2011,EL DORADO CHEMICAL COMPANY,Nitrous Oxide,2798.03
1004058,2011,"Yara West Sacramento Terminal, LLC",Nitrous Oxide,80.847
1004183,2011,"CF Industries Nitrogen, LLC - Yazoo City Facility",Nitrous Oxide,3763.7
1004236,2011,AGRIUM US INC - KFO,Nitrous Oxide,350.9
1004340,2011,"PCS NITROGEN FERTILIZER, L.P.",Nitrous Oxide,1698.0
1004962,2011,Ascend Performance Materials LLC,Nitrous Oxide,1844.119
1005502,2011,"East Dubuque Nitrogen Fertilizers, LLC",Nitrous Oxide,761.38
1005506,2011,TRADEMARK NITROGEN CORP.,Nitrous Oxide,243.0
1005766,2011,Dyno Nobel,Nitrous Oxide,1.396
1005788,2011,TERRA INTERNATIONAL (OKLAHOMA) INC,Nitrous Oxide,1276.0
1005867,2011,PRYOR CHEMICAL COMPANY,Nitrous Oxide,30.53
1005924,2011,Cheyenne Plant,Nitrous Oxide,84.59
1006005,2011,"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex",Nitrous Oxide,2271.0
1006037,2011,"KOCH FERTILIZER DODGE CITY, LLC",Nitrous Oxide,25.279
1006067,2011,DYNO NOBEL INC (DONORA PLANT),Nitrous Oxide,238.8
1006100,2011,DYNO NOBEL INCORPORATED NITROGEN DIVISION (FORMERLY IRECO),Nitrous Oxide,1315.497
1006272,2011,GENEVA NITROGEN LLC,Nitrous Oxide,285.57
1006575,2011,"KOCH FERTILIZER BEATRICE, LLC",Nitrous Oxide,4.698
1007046,2011,"Koch Fertilizer Ft. Dodge, LLC",Nitrous Oxide,753.47
1007770,2011,CHEROKEE NITROGEN,Nitrous Oxide,387.0
