FACILITY_ID,REPORTING_YEAR,OTHER_GHG_NAME,GHG_QUANTITY_OVERRIDE_INDICATR,GHG_QUANTITY_UNIT_OF_MEASURE,GHG_QUANTITY,GHG_NAME,FACILITY_NAME
1004424,2011,,,METRIC TONS,217208.0,CARBON DIOXIDE,HORSEHEAD CORP. MONACA SMELTER
1004427,2011,,,METRIC TONS,115275.2,CARBON DIOXIDE,HORSEHEAD CORP. - CHICAGO
1004723,2011,,,METRIC TONS,186520.2,CARBON DIOXIDE,HORSEHEAD CORP. - PALMERTON
1004997,2011,,,METRIC TONS,74492.9,CARBON DIOXIDE,HORSEHEAD CORP. - ROCKWOOD
1005338,2011,,,METRIC TONS,102735.9,CARBON DIOXIDE,STEEL DUST RECYCLING LLC
1005814,2011,,,METRIC TONS,120388.9,CARBON DIOXIDE,HORSEHEAD CORP. - BARNWELL
