FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,SPENT_LIQUOR_CO2_EMISSIONS,SPENT_LIQUOR_CH4_EMISSIONS,UNIT_NAME,UNIT_TYPE,SPENT_LIQUOR_N2O_EMISSIONS,BIOMASS_CH4_EMISSIONS_FACTOR,BIOMASS_N2O_EMISSIONS_FACTOR
1000166,2011,KapStone Paper and Packaging Corp,558059.0,177.35,08-PU-012,Chemical Recovery Furnace,29.558,,
1000166,2011,KapStone Paper and Packaging Corp,,,09-PU-004,Pulp Mill Lime Kiln,,,
1000183,2011,P H Glatfelter Company - Chillicothe Fac,519720.0,166.4,B011,Chemical Recovery Furnace,27.7,,
1000183,2011,P H Glatfelter Company - Chillicothe Fac,,,P001,Pulp Mill Lime Kiln,,,
1000196,2011,International Paper - Pensacola Mill,350892.4,111.51,No. 2 Recovery Boiler,Chemical Recovery Furnace,18.59,,
1000196,2011,International Paper - Pensacola Mill,353550.1,112.36,#1 Recovery Boiler,Chemical Recovery Furnace,18.73,,
1000196,2011,International Paper - Pensacola Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1000228,2011,International Paper - New Bern Mill,749588.0,238.22,Recovery Furnace,Chemical Recovery Furnace,39.703,,
1000228,2011,International Paper - New Bern Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1000229,2011,Domtar Paper Company LLC - Plymouth,1021680.9,324.69,No. 5 Recovery Furnace,Chemical Recovery Furnace,54.114,,
1000229,2011,Domtar Paper Company LLC - Plymouth,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1000230,2011,Blue Ridge Paper Products Inc.,492222.3,157.09,Recovery Furnace No.11,Chemical Recovery Furnace,26.181,0.0019,0.00042
1000230,2011,Blue Ridge Paper Products Inc.,537424.3,171.51,Recovery Furnace No.10,Chemical Recovery Furnace,28.586,0.0019,0.00042
1000230,2011,Blue Ridge Paper Products Inc.,,,Lime Kiln No.4,Pulp Mill Lime Kiln,,,
1000230,2011,Blue Ridge Paper Products Inc.,,,Lime Kiln No.5,Pulp Mill Lime Kiln,,,
1000256,2011,"WestRock Virginia, Covington",518531.7,165.79,No. 1 Recovery Furnace REC001,Chemical Recovery Furnace,27.632,,
1000256,2011,"WestRock Virginia, Covington",876743.3,280.32,No. 2 Recovery Furnace REC010,Chemical Recovery Furnace,46.72,,
1000256,2011,"WestRock Virginia, Covington",,,No. 2 Lime Kiln REC047,Pulp Mill Lime Kiln,,,
1000262,2011,"WestRock Coated Board, LLC",533695.8,169.79,No 1. Recovery Furnace,Chemical Recovery Furnace,28.298,,
1000262,2011,"WestRock Coated Board, LLC",740207.8,235.49,No. 2 Recovery Furnace,Chemical Recovery Furnace,39.248,,
1000262,2011,"WestRock Coated Board, LLC",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
1000262,2011,"WestRock Coated Board, LLC",,,No. 2 Lime Kiln,Pulp Mill Lime Kiln,,,
1000273,2011,"GP Big Island, LLC",66746.0,20.03,REC 13,Chemical Recovery Combustion Unit,3.338,,
1000305,2011,Resolute Forest Product - Coosa Pines Operation,614074.8,195.15,Z003,Chemical Recovery Furnace,32.525,,
1000305,2011,Resolute Forest Product - Coosa Pines Operation,,,Z032,Pulp Mill Lime Kiln,,,
1000311,2011,Resolute Forest Products Calhoun Operation,646683.0,206.73,No. 3 Recovery Furnace,Chemical Recovery Furnace,34.45,,
1000311,2011,Resolute Forest Products Calhoun Operation,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1000319,2011,"WestRock CP, LLC - Florence Mill",819336.0,260.0,RF1,Chemical Recovery Furnace,43.0,,
1000319,2011,"WestRock CP, LLC - Florence Mill",,,LK1,Pulp Mill Lime Kiln,,,
1000319,2011,"WestRock CP, LLC - Florence Mill",,,LK2,Pulp Mill Lime Kiln,,,
1000324,2011,Marlboro Paper Mill,773489.0,246.0,Recovery Boiler,Chemical Recovery Furnace,41.0,,
1000324,2011,Marlboro Paper Mill,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1000345,2011,"Foley Cellulose, LLC",378400.4,120.25,No. 2 Recovery Boiler,Chemical Recovery Furnace,20.042,,
1000345,2011,"Foley Cellulose, LLC",400945.7,127.42,No. 3 Recovery Boiler,Chemical Recovery Furnace,21.237,,
1000345,2011,"Foley Cellulose, LLC",570513.9,181.31,No. 4 Recovery Boiler,Chemical Recovery Furnace,30.218,,
1000345,2011,"Foley Cellulose, LLC",,,No. 4 Lime Kiln,Pulp Mill Lime Kiln,,,
1000348,2011,Resolute FP US Inc. - Catawba Operations,364848.6,115.95,07-2505,Chemical Recovery Furnace,19.325,,
1000348,2011,Resolute FP US Inc. - Catawba Operations,698284.1,221.91,07-5105,Chemical Recovery Furnace,36.985,,
1000348,2011,Resolute FP US Inc. - Catawba Operations,,,07-2723,Pulp Mill Lime Kiln,,,
1000353,2011,Sonoco Products Co.,12100.0,3.11,Chemical Recovery Kiln,Chemical Recovery Combustion Unit,0.518,,
1000377,2011,International Paper-Courtland Mill,674335.0,215.0,Recovery 2,Chemical Recovery Furnace,36.0,,
1000377,2011,International Paper-Courtland Mill,851325.0,272.0,Recovery 3,Chemical Recovery Furnace,45.0,,
1000377,2011,International Paper-Courtland Mill,,,Lime Kiln 1,Pulp Mill Lime Kiln,,,
1000377,2011,International Paper-Courtland Mill,,,Lime Kiln 2,Pulp Mill Lime Kiln,,,
1000377,2011,International Paper-Courtland Mill,,,Lime Kiln 3,Pulp Mill Lime Kiln,,,
1000426,2011,KapStone Charleston Kraft LLC,410022.9,130.79,No. 9 Recovery Boiler/REC007,Chemical Recovery Furnace,21.8,,
1000426,2011,KapStone Charleston Kraft LLC,583106.6,186.0,No. 1 Recovery Boiler/REC004,Chemical Recovery Furnace,31.0,,
1000426,2011,KapStone Charleston Kraft LLC,,,No. 4 Lime Kiln/CP001,Pulp Mill Lime Kiln,,,
1000426,2011,KapStone Charleston Kraft LLC,,,No. 5 Lime Kiln/CP002,Pulp Mill Lime Kiln,,,
1000434,2011,International Paper - Vicksburg Mill,489555.8,155.99,RB1 (AA005),Chemical Recovery Furnace,26.0,,
1000434,2011,International Paper - Vicksburg Mill,,,LK1 (AA003),Pulp Mill Lime Kiln,,,
1000593,2011,VERSO ANDROSCOGGIN LLC,363168.0,115.8,Recovery Boiler 1,Chemical Recovery Furnace,19.3,,
1000593,2011,VERSO ANDROSCOGGIN LLC,511226.0,166.7,Recovery Boiler 2,Chemical Recovery Furnace,27.8,,
1000593,2011,VERSO ANDROSCOGGIN LLC,,,A Lime Kiln,Pulp Mill Lime Kiln,,,
1000593,2011,VERSO ANDROSCOGGIN LLC,,,B Lime Kiln,Pulp Mill Lime Kiln,,,
1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",365080.0,116.02,No. 5 Recovery Boiler (L03007/L03008),Chemical Recovery Furnace,19.337,,
1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",431733.6,137.2,No. 4 Recovery Boiler (L03004/L03005),Chemical Recovery Furnace,22.867,,
1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 1 Lime Kiln (L04002),Pulp Mill Lime Kiln,,,
1000602,2011,"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",,,No. 2 Lime Kiln (L04003),Pulp Mill Lime Kiln,,,
1000624,2011,WestRock Tacoma Mill,656120.0,209.0,Recovery Boiler #4,Chemical Recovery Furnace,35.0,,
1000624,2011,WestRock Tacoma Mill,,,Lime kilns,Pulp Mill Lime Kiln,,,
1000961,2011,DOMTAR PAPER CO LLC HAWESVILLE MILL,355904.4,113.95,No. 3 Recovery Furnace,Chemical Recovery Furnace,18.992,,
1000961,2011,DOMTAR PAPER CO LLC HAWESVILLE MILL,560743.4,179.53,No. 4 Recovery Furnace,Chemical Recovery Furnace,29.922,,
1000961,2011,DOMTAR PAPER CO LLC HAWESVILLE MILL,,,No. 3 Lime Kiln,Pulp Mill Lime Kiln,,,
1001237,2011,Verso Luke LLC,12548.3,3.0,Recovery Boiler #2,Chemical Recovery Furnace,0.5,,
1001237,2011,Verso Luke LLC,722223.0,172.8,Recovery Boiler #3,Chemical Recovery Furnace,28.8,,
1001237,2011,Verso Luke LLC,,,Lime Kiln,Pulp Mill Lime Kiln,,,
1001733,2011,International Paper - Red River Mill,610692.0,194.1,RB3 (NA-41-41),Chemical Recovery Furnace,32.4,,
1001733,2011,International Paper - Red River Mill,,,LK (1224-06-06),Pulp Mill Lime Kiln,,,
1001807,2011,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",582194.0,186.0,No. 5 Recovery Furnace,Chemical Recovery Furnace,31.0,,
1001807,2011,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",1070342.0,335.0,No. 6 Recovery Furnace,Chemical Recovery Furnace,56.0,,
1001807,2011,"RAYONIER PERFORMANCE FIBERS LLC, JESUP MILL",,,D Lime Kiln,Pulp Mill Lime Kiln,,,
1001889,2011,WOODLAND PULP LLC,760817.3,243.59,Unit 02,Chemical Recovery Furnace,40.59,0.0019,0.00042
1001889,2011,WOODLAND PULP LLC,,,Unit 15,Pulp Mill Lime Kiln,,,
1001892,2011,"Verso Quinnesec, LLC",753591.5,241.28,Recovery Boiler,Chemical Recovery Furnace,40.21,,
1001892,2011,"Verso Quinnesec, LLC",,,Lime Kiln,Pulp Mill Lime Kiln,,,
1001906,2011,RAYONIER PERFORMANCE FIBERS LLC Fernandina Mill,395528.9,130.62,Recovery Boiler,Chemical Recovery Combustion Unit,21.77,,
1001995,2011,SAPPI CLOQUET LLC,850200.0,272.0,EU 005,Chemical Recovery Furnace,45.4,0.0019,0.00042
1001995,2011,SAPPI CLOQUET LLC,,,EU 033,Pulp Mill Lime Kiln,,,
1002024,2011,KIMBERLY CLARK WORLD WIDE,243700.0,81.0,No 10 Recovery Boiler,Chemical Recovery Furnace,13.0,,
1002098,2011,GREEN BAY PACKAGING/ARK KRAFT,413000.0,131.0,Unit 1 (Recover Boiler  SN-05A),Chemical Recovery Furnace,21.9,,
1002098,2011,GREEN BAY PACKAGING/ARK KRAFT,,,Unit 2 (#2 Lime Kiln  SN-08),Pulp Mill Lime Kiln,,,
1002113,2011,International Paper - Pine Hill Mill,699179.8,222.72,RB1,Chemical Recovery Furnace,37.12,,
1002113,2011,International Paper - Pine Hill Mill,,,LK1,Pulp Mill Lime Kiln,,,
1002149,2011,International Paper - Springfield Mill,498539.7,158.4,#4 Kraft Recovery Furnace EU445C,Chemical Recovery Furnace,26.4,,
1002149,2011,International Paper - Springfield Mill,,,"Lime Kilns, Combined, EU 455",Pulp Mill Lime Kiln,,,
1002253,2011,LINCOLN PAPER AND TISSUE,317135.6,101.16,RB2,Chemical Recovery Furnace,16.86,,
1002253,2011,LINCOLN PAPER AND TISSUE,,,LK,Pulp Mill Lime Kiln,,,
1002272,2011,"WestRock CP, LLC - Fernandina Beach Mill (Formerly Smurfit-Stone)",533988.0,170.0,RB4,Chemical Recovery Furnace,28.0,,
1002272,2011,"WestRock CP, LLC - Fernandina Beach Mill (Formerly Smurfit-Stone)",545096.0,173.0,RB5,Chemical Recovery Furnace,29.0,,
1002272,2011,"WestRock CP, LLC - Fernandina Beach Mill (Formerly Smurfit-Stone)",,,LK4,Lime Kiln,,,
1002305,2011,"WESTROCK TEXAS, L.P.",443762.0,141.57,No. 3 Recovery Boiler,Chemical Recovery Furnace,23.595,,
1002305,2011,"WESTROCK TEXAS, L.P.",818120.6,261.0,No. 4 Recovery Boiler,Chemical Recovery Furnace,43.499,,
1002305,2011,"WESTROCK TEXAS, L.P.",,,No. 1 Lime Kiln,Pulp Mill Lime Kiln,,,
1002305,2011,"WESTROCK TEXAS, L.P.",,,No. 7 Lime Kiln,Pulp Mill Lime Kiln,,,
1002339,2011,THILMANY MILL,113189.7,36.05,8 Kraft Recovery Furnace/B08,Chemical Recovery Furnace,6.009,,
