FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHG_NAME,GHG_QUANTITY
1000601,2011,EXIDE CORP READING SMELTER DIV,Carbon Dioxide,12373.3
1002231,2011,"Quemetco, Inc.",Carbon Dioxide,55838.0
1003508,2011,SANDERS LEAD COMPANY INCORPORATED,Carbon Dioxide,179675.0
1003590,2011,REVERE SMELTING & REFINING CORP,Carbon Dioxide,31254.0
1003794,2011,QUEMETCO INC,Carbon Dioxide,37723.5
1004345,2011,EXIDE CORP,Carbon Dioxide,31717.5
1004989,2011,EXIDE TECHNOLOGIES-CANON HOLLOW,Carbon Dioxide,38120.8
1005999,2011,FRISCO RECYCLING FACILITY,Carbon Dioxide,16367.2
1006427,2011,EXIDE TECHNOLOGIES,Carbon Dioxide,7751.3
1006536,2011,DOE RUN COMPANY,Carbon Dioxide,119236.6
1006784,2011,BUICK RESOURCE RECYCLING FACILITY,Carbon Dioxide,103825.2
1006818,2011,EAST PENN LYONS SMELTER & BATTERY PLT,Carbon Dioxide,42077.0
1007731,2011,GOPHER RESOURCE LLC,Carbon Dioxide,48814.0
