FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,COMMON_STACK_COMBINED_HEAT_UOM,TIER_123_SORBENT_CO2_EMISSIONS,TIER123_BIOGENIC_CO2_EMISSIONS,TIER_1_2_3_FOSSIL_CO2_EMISSION,TIER_4_OPERATING_HOURS,TIER_4_OP_HRS_CO2_CONC_SUB,TIER_4_OP_HRS_STACK_FLOWRT_SUB,TIER_4_OP_HRS_STACK_MOIST_SUB,UNIT_NAME,UNIT_TYPE,UNIT_TYPE_OTHER,IND_UNIT_HEAT_INPUT_CAPACITY,IND_UNIT_HEATINPUTCAPACITY_UOM,IND_UNIT_HEATCAPACITY_UOM_OTHR,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,COMMON_PIPE_HEAT_CAPACITY,COMMON_PIPE_HEAT_CAPACITY_UOM,COMMON_STACK_NUMBER_OF_UNITS,TIER4_V_TOTAL,TIER4_V_BIO,TIER4_ANNUAL_BIO_CO2_EMISSION,PART_75_CO2_EMISSIONS_METHOD,PART_75_METHOD_STARTDATE,PART_75_METHODOLOGY_ENDDATE,PART_75_HEAT_INPUT_METHOD,PART_75_CO2_METHOD,PART_75_OP_HRS_FUEL_FLOWRATE,PART_75_OP_HRS_HHV_SUB,PART_75_OP_HRS_CO2_CONC_SUB,PART_75_OP_HRS_FLOWRATE_SUB,TIER4_NONBIOGENIC_CO2EMISSION,TIER_4_BIOGENIC_CO2_EMISSIONS,TIER_4_TOTAL_CO2_EMISSIONS,TIER_4_METHODOLOGY_START_DATE,TIER_4_METHODOLOGY_END_DATE,TIER4_VFF,PART_75_OP_HRS_MOISTURE_SUB,BIOGENIC_CO2_MASS_EMISS_MSW,TOTAL_AMT_SORBENT_USED,PLANT_CODE,CP_USEIVTIND,CS_USEIVTIND,IND_USE_IVT_IND,AGG_USEIVTIND,CP_CUMULATIVE_MAXHEAT_INPUTCAP,COMMON_STACK_COMBINED_HEAT,AGG_CUMULATIVE_HEAT_INPUTCAP,SORBENT_MOLECULAR_WEIGHT,SORBENT_RATIO
1000001,2011,PSE Ferndale Generating Station,,0.0,0.0,,,,,,GT-1A,"CCCT (CC (Turbine, combined cycle))",,1019.7,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000001,2011,PSE Ferndale Generating Station,,0.0,0.0,,,,,,GT-1B,"CCCT (CC (Turbine, combined cycle))",,1019.7,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000002,2011,Ardagh Glass Inc. (Dunkirk),,0.0,0.0,79781.2,,,,,GP-1,OCS (Other combustion source),,,,,84.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000003,2011,Ardagh Glass Inc. (Henderson),,0.0,0.0,55278.3,,,,,GP-1,OCS (Other combustion source),,,,,55.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000004,2011,Ardagh Glass Inc. (Lincoln),,0.0,0.0,36612.6,,,,,GP-1,OCS (Other combustion source),,,,,65.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000005,2011,Ardagh Glass Inc. (Madera),,196.2,0.0,60660.3,,,,,GP-1,OCS (Other combustion source),,,,,85.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,519.23,,,,,,,,,105.99,1.0
1000006,2011,Ardagh Glass Inc. (Milford),,0.0,0.0,37814.9,,,,,GP-1,OCS (Other combustion source),,,,,58.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000007,2011,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,,,0.0,0.0,,,,,CP-01,OCS (Other combustion source),,,,,,,110.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000010,2011,SANTA ROSA CENTRAL LANDFILL,,0.0,0.0,,,,,,Air Curtain Cummins Engine #1,RICE (Reciprocating internal combustion engine),,0.609,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000015,2011,"TYSON FARMS, INC.",,,0.0,25075.2,,,,,CP- 1-2-3-4,OCS (Other combustion source),,,,,,,33.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000016,2011,TYSON FARMS INCORPORATED HARMONY,,0.0,0.0,,,,,,CP-21,S (Stoker Boiler),,142.3,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000016,2011,TYSON FARMS INCORPORATED HARMONY,,,0.0,0.0,,,,,"CP-39NSPS, 26NSPS, 20",OCS (Other combustion source),,,,,,,85.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000017,2011,BASF CORPORATION,,,0.0,59569.7,,,,,GP_UTIL_02_03,,,,,,142.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000017,2011,BASF CORPORATION,,,0.0,82620.5,,,,,GP_UTIL_07,,,,,,232.5,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019,2011,WESTERN SUGAR COMPANY,,0.0,0.0,227953.3,,,,,GP-Boilers,OCS (Other combustion source),,,,,196.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019,2011,WESTERN SUGAR COMPANY,,0.0,0.0,281.5,,,,,"GP-Office, Misc. Space Heaters",OCS (Other combustion source),,,,,0.155,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019,2011,WESTERN SUGAR COMPANY,,0.0,0.0,300.7,,,,,GP-Temp Generators,OCS (Other combustion source),,,,,15.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000019,2011,WESTERN SUGAR COMPANY,,0.0,0.0,,,,,,Lime Kiln,OCS (Other combustion source),Lime Kiln,30.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000020,2011,Ardagh Glass Inc. (Port Allegany),,0.0,0.0,48325.0,,,,,GP-1,OCS (Other combustion source),,,,,52.15,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000021,2011,Ardagh Glass Inc. (Ruston),,0.0,0.0,64858.8,,,,,GP-1,OCS (Other combustion source),,,,,80.0,mmBtu/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
