FACILITY_ID,REPORTING_YEAR,GHG_NAME,GHG_QUANTITY,FACILITY_NAME
1000049,2011,Biogenic Carbon dioxide,0.0,Lange
1000049,2011,Carbon Dioxide,2675.8,Lange
1000049,2011,Methane,0.05,Lange
1000049,2011,Nitrous Oxide,0.005,Lange
1000050,2011,Biogenic Carbon dioxide,0.0,Wygen I
1000050,2011,Carbon Dioxide,850014.1,Wygen I
1000050,2011,Methane,8.93,Wygen I
1000050,2011,Nitrous Oxide,14.294,Wygen I
1000052,2011,Biogenic Carbon dioxide,0.0,Mesquite Generating Station
1000052,2011,Carbon Dioxide,2456732.7,Mesquite Generating Station
1000052,2011,Methane,45.57,Mesquite Generating Station
1000052,2011,Nitrous Oxide,4.557,Mesquite Generating Station
1000057,2011,Biogenic Carbon dioxide,0.0,Tri-Center Naniwa Energy
1000057,2011,Carbon Dioxide,0.0,Tri-Center Naniwa Energy
1000057,2011,Methane,0.0,Tri-Center Naniwa Energy
1000057,2011,Nitrous Oxide,0.0,Tri-Center Naniwa Energy
1000058,2011,Biogenic Carbon dioxide,0.0,CalPeak Power - Vaca Dixon LLC
1000058,2011,Carbon Dioxide,8050.7,CalPeak Power - Vaca Dixon LLC
1000058,2011,Methane,0.15,CalPeak Power - Vaca Dixon LLC
1000058,2011,Nitrous Oxide,0.015,CalPeak Power - Vaca Dixon LLC
1000059,2011,Biogenic Carbon dioxide,0.0,Tenaska Kiamichi Generating Station
1000059,2011,Carbon Dioxide,1260773.1,Tenaska Kiamichi Generating Station
1000059,2011,Methane,23.38,Tenaska Kiamichi Generating Station
1000059,2011,Nitrous Oxide,2.338,Tenaska Kiamichi Generating Station
1000060,2011,Biogenic Carbon dioxide,0.0,Limon Generating Station
1000060,2011,Carbon Dioxide,11960.6,Limon Generating Station
1000060,2011,Methane,0.29,Limon Generating Station
1000060,2011,Nitrous Oxide,0.041,Limon Generating Station
1000061,2011,Biogenic Carbon dioxide,0.0,Frank Knutson Station
1000061,2011,Carbon Dioxide,6473.9,Frank Knutson Station
1000061,2011,Methane,0.14,Frank Knutson Station
1000061,2011,Nitrous Oxide,0.018,Frank Knutson Station
1000065,2011,Biogenic Carbon dioxide,0.0,CalPeak Power - Border LLC
1000065,2011,Carbon Dioxide,16998.0,CalPeak Power - Border LLC
1000065,2011,Methane,0.32,CalPeak Power - Border LLC
1000065,2011,Nitrous Oxide,0.032,CalPeak Power - Border LLC
1000067,2011,Biogenic Carbon dioxide,0.0,Cuyamaca Energy Facility
1000067,2011,Carbon Dioxide,11845.4,Cuyamaca Energy Facility
1000067,2011,Methane,0.22,Cuyamaca Energy Facility
1000067,2011,Nitrous Oxide,0.022,Cuyamaca Energy Facility
1000068,2011,Biogenic Carbon dioxide,0.0,Apex Generating Station
1000068,2011,Carbon Dioxide,396344.3,Apex Generating Station
1000068,2011,Methane,7.35,Apex Generating Station
1000068,2011,Nitrous Oxide,0.735,Apex Generating Station
1000069,2011,Biogenic Carbon dioxide,0.0,"Wallingford Energy, LLC"
1000069,2011,Carbon Dioxide,95406.9,"Wallingford Energy, LLC"
1000069,2011,Methane,1.78,"Wallingford Energy, LLC"
1000069,2011,Nitrous Oxide,0.178,"Wallingford Energy, LLC"
1000070,2011,Biogenic Carbon dioxide,0.0,High Desert Power Project
1000070,2011,Carbon Dioxide,740582.0,High Desert Power Project
1000070,2011,Methane,13.74,High Desert Power Project
1000070,2011,Nitrous Oxide,1.374,High Desert Power Project
1000071,2011,Biogenic Carbon dioxide,0.0,York Energy Center
1000071,2011,Carbon Dioxide,394740.1,York Energy Center
1000071,2011,Methane,7.47,York Energy Center
1000071,2011,Nitrous Oxide,0.762,York Energy Center
1000074,2011,Biogenic Carbon dioxide,0.0,"Escondido Energy Center, LLC"
1000074,2011,Carbon Dioxide,1448.5,"Escondido Energy Center, LLC"
1000074,2011,Methane,0.03,"Escondido Energy Center, LLC"
1000074,2011,Nitrous Oxide,0.003,"Escondido Energy Center, LLC"
1000075,2011,Biogenic Carbon dioxide,0.0,Chula Vista Energy Center
1000075,2011,Carbon Dioxide,1293.0,Chula Vista Energy Center
1000075,2011,Methane,0.02,Chula Vista Energy Center
1000075,2011,Nitrous Oxide,0.002,Chula Vista Energy Center
1000076,2011,Biogenic Carbon dioxide,0.0,Klamath Energy LLC
1000076,2011,Carbon Dioxide,15267.4,Klamath Energy LLC
1000076,2011,Methane,0.29,Klamath Energy LLC
1000076,2011,Nitrous Oxide,0.029,Klamath Energy LLC
1000078,2011,Biogenic Carbon dioxide,0.0,"Combined Locks Energy Center, LLC"
1000078,2011,Carbon Dioxide,11630.3,"Combined Locks Energy Center, LLC"
1000078,2011,Methane,0.22,"Combined Locks Energy Center, LLC"
1000078,2011,Nitrous Oxide,0.022,"Combined Locks Energy Center, LLC"
1000080,2011,Biogenic Carbon dioxide,0.0,Creed Energy Center
1000080,2011,Carbon Dioxide,3135.2,Creed Energy Center
1000080,2011,Methane,0.06,Creed Energy Center
1000080,2011,Nitrous Oxide,0.006,Creed Energy Center
1000081,2011,Biogenic Carbon dioxide,0.0,Lambie Energy Center
