FACILITY_ID,REPORTING_YEAR,GHG_NAME,GHG_QUANTITY
1000002,2011,Biogenic Carbon dioxide,0.0
1000002,2011,Carbon Dioxide,30000.2
1000002,2011,Methane,0.0
1000002,2011,Nitrous Oxide,0.0
1000003,2011,Biogenic Carbon dioxide,0.0
1000003,2011,Carbon Dioxide,21862.2
1000003,2011,Methane,0.0
1000003,2011,Nitrous Oxide,0.0
1000004,2011,Biogenic Carbon dioxide,0.0
1000004,2011,Carbon Dioxide,15844.2
1000004,2011,Methane,0.0
1000004,2011,Nitrous Oxide,0.0
1000005,2011,Biogenic Carbon dioxide,0.0
1000005,2011,Carbon Dioxide,15050.5
1000005,2011,Methane,0.0
1000005,2011,Nitrous Oxide,0.0
1000006,2011,Biogenic Carbon dioxide,0.0
1000006,2011,Carbon Dioxide,5580.6
1000006,2011,Methane,0.0
1000006,2011,Nitrous Oxide,0.0
1000020,2011,Biogenic Carbon dioxide,0.0
1000020,2011,Carbon Dioxide,13627.1
1000020,2011,Methane,0.0
1000020,2011,Nitrous Oxide,0.0
1000021,2011,Biogenic Carbon dioxide,0.0
1000021,2011,Carbon Dioxide,29296.3
1000021,2011,Methane,0.0
1000021,2011,Nitrous Oxide,0.0
1000023,2011,Biogenic Carbon dioxide,0.0
1000023,2011,Carbon Dioxide,37152.9
1000023,2011,Methane,0.0
1000023,2011,Nitrous Oxide,0.0
1000024,2011,Biogenic Carbon dioxide,0.0
1000024,2011,Carbon Dioxide,22665.2
1000024,2011,Methane,0.0
1000024,2011,Nitrous Oxide,0.0
1000026,2011,Biogenic Carbon dioxide,0.0
1000026,2011,Carbon Dioxide,33364.9
1000026,2011,Methane,0.0
1000026,2011,Nitrous Oxide,0.0
1000028,2011,Biogenic Carbon dioxide,0.0
1000028,2011,Carbon Dioxide,25916.4
1000028,2011,Methane,0.0
1000028,2011,Nitrous Oxide,0.0
1000105,2011,Biogenic Carbon dioxide,0.0
1000105,2011,Carbon Dioxide,25308.6
1000105,2011,Methane,0.0
1000105,2011,Nitrous Oxide,0.0
1000329,2011,Biogenic Carbon dioxide,0.0
1000329,2011,Carbon Dioxide,31360.9
1000329,2011,Methane,0.0
1000329,2011,Nitrous Oxide,0.0
1000351,2011,Biogenic Carbon dioxide,0.0
1000351,2011,Carbon Dioxide,9889.7
1000351,2011,Methane,0.0
1000351,2011,Nitrous Oxide,0.0
1000622,2011,Biogenic Carbon dioxide,0.0
1000622,2011,Carbon Dioxide,6971.0
1000622,2011,Methane,0.0
1000622,2011,Nitrous Oxide,0.0
1000789,2011,Biogenic Carbon dioxide,0.0
1000789,2011,Carbon Dioxide,8436.8
1000789,2011,Methane,0.0
1000789,2011,Nitrous Oxide,0.0
1001718,2011,Biogenic Carbon dioxide,0.0
1001718,2011,Carbon Dioxide,41582.3
1001718,2011,Methane,0.0
1001718,2011,Nitrous Oxide,0.0
1001961,2011,Biogenic Carbon dioxide,0.0
1001961,2011,Carbon Dioxide,19783.4
1001961,2011,Methane,0.0
1001961,2011,Nitrous Oxide,0.0
1001975,2011,Biogenic Carbon dioxide,0.0
1001975,2011,Carbon Dioxide,40449.9
1001975,2011,Methane,0.0
1001975,2011,Nitrous Oxide,0.0
1001978,2011,Biogenic Carbon dioxide,0.0
1001978,2011,Carbon Dioxide,30053.3
1001978,2011,Methane,0.0
1001978,2011,Nitrous Oxide,0.0
1001980,2011,Biogenic Carbon dioxide,0.0
1001980,2011,Carbon Dioxide,4605.7
1001980,2011,Methane,0.0
1001980,2011,Nitrous Oxide,0.0
1001983,2011,Biogenic Carbon dioxide,0.0
1001983,2011,Carbon Dioxide,16686.0
1001983,2011,Methane,0.0
1001983,2011,Nitrous Oxide,0.0
1001987,2011,Biogenic Carbon dioxide,0.0
1001987,2011,Carbon Dioxide,19247.4
1001987,2011,Methane,0.0
1001987,2011,Nitrous Oxide,0.0
1002007,2011,Biogenic Carbon dioxide,0.0
1002007,2011,Carbon Dioxide,20250.0
1002007,2011,Methane,0.0
1002007,2011,Nitrous Oxide,0.0
1002009,2011,Biogenic Carbon dioxide,0.0
1002009,2011,Carbon Dioxide,23259.0
1002009,2011,Methane,0.0
1002009,2011,Nitrous Oxide,0.0
1002019,2011,Biogenic Carbon dioxide,0.0
1002019,2011,Carbon Dioxide,978.1
1002019,2011,Methane,0.0
1002019,2011,Nitrous Oxide,0.0
1002129,2011,Biogenic Carbon dioxide,0.0
1002129,2011,Carbon Dioxide,393.0
1002129,2011,Methane,0.0
1002129,2011,Nitrous Oxide,0.0
1002143,2011,Biogenic Carbon dioxide,0.0
1002143,2011,Carbon Dioxide,1799.0
1002143,2011,Methane,0.0
1002143,2011,Nitrous Oxide,0.0
1002145,2011,Biogenic Carbon dioxide,0.0
1002145,2011,Carbon Dioxide,1596.6
1002145,2011,Methane,0.0
1002145,2011,Nitrous Oxide,0.0
1002160,2011,Biogenic Carbon dioxide,0.0
1002160,2011,Carbon Dioxide,37563.2
1002160,2011,Methane,0.0
1002160,2011,Nitrous Oxide,0.0
1002178,2011,Biogenic Carbon dioxide,0.0
1002178,2011,Carbon Dioxide,12843.9
1002178,2011,Methane,0.0
1002178,2011,Nitrous Oxide,0.0
1002180,2011,Biogenic Carbon dioxide,0.0
1002180,2011,Carbon Dioxide,21864.4
1002180,2011,Methane,0.0
1002180,2011,Nitrous Oxide,0.0
1002181,2011,Biogenic Carbon dioxide,0.0
1002181,2011,Carbon Dioxide,25761.7
1002181,2011,Methane,0.0
1002181,2011,Nitrous Oxide,0.0
1002189,2011,Biogenic Carbon dioxide,0.0
1002189,2011,Carbon Dioxide,19881.0
1002189,2011,Methane,0.0
1002189,2011,Nitrous Oxide,0.0
1002217,2011,Biogenic Carbon dioxide,0.0
1002217,2011,Carbon Dioxide,50021.8
1002217,2011,Methane,0.0
1002217,2011,Nitrous Oxide,0.0
1002226,2011,Biogenic Carbon dioxide,0.0
1002226,2011,Carbon Dioxide,25809.0
1002226,2011,Methane,0.0
1002226,2011,Nitrous Oxide,0.0
1002262,2011,Biogenic Carbon dioxide,0.0
1002262,2011,Carbon Dioxide,13323.0
1002262,2011,Methane,0.0
1002262,2011,Nitrous Oxide,0.0
1002322,2011,Biogenic Carbon dioxide,0.0
1002322,2011,Carbon Dioxide,3085.0
1002322,2011,Methane,0.0
1002322,2011,Nitrous Oxide,0.0
1002439,2011,Biogenic Carbon dioxide,0.0
1002439,2011,Carbon Dioxide,43577.8
1002439,2011,Methane,0.0
1002439,2011,Nitrous Oxide,0.0
1002448,2011,Biogenic Carbon dioxide,0.0
1002448,2011,Carbon Dioxide,8486.9
1002448,2011,Methane,0.0
1002448,2011,Nitrous Oxide,0.0
1002499,2011,Biogenic Carbon dioxide,0.0
1002499,2011,Carbon Dioxide,40827.9
1002499,2011,Methane,0.0
1002499,2011,Nitrous Oxide,0.0
1002504,2011,Biogenic Carbon dioxide,0.0
1002504,2011,Carbon Dioxide,14312.2
1002504,2011,Methane,0.0
1002504,2011,Nitrous Oxide,0.0
1002636,2011,Biogenic Carbon dioxide,0.0
1002636,2011,Carbon Dioxide,5965.0
1002636,2011,Methane,0.0
1002636,2011,Nitrous Oxide,0.0
1002640,2011,Biogenic Carbon dioxide,0.0
1002640,2011,Carbon Dioxide,2999.3
1002640,2011,Methane,0.0
1002640,2011,Nitrous Oxide,0.0
1002770,2011,Biogenic Carbon dioxide,0.0
1002770,2011,Carbon Dioxide,29404.4
1002770,2011,Methane,0.0
1002770,2011,Nitrous Oxide,0.0
1002864,2011,Biogenic Carbon dioxide,0.0
1002864,2011,Carbon Dioxide,32649.8
1002864,2011,Methane,0.0
1002864,2011,Nitrous Oxide,0.0
1002905,2011,Biogenic Carbon dioxide,0.0
1002905,2011,Carbon Dioxide,44872.5
1002905,2011,Methane,0.0
1002905,2011,Nitrous Oxide,0.0
1002907,2011,Biogenic Carbon dioxide,0.0
1002907,2011,Carbon Dioxide,16309.0
1002907,2011,Methane,0.0
1002907,2011,Nitrous Oxide,0.0
1002911,2011,Biogenic Carbon dioxide,0.0
1002911,2011,Carbon Dioxide,21144.9
1002911,2011,Methane,0.0
1002911,2011,Nitrous Oxide,0.0
1002921,2011,Biogenic Carbon dioxide,0.0
1002921,2011,Carbon Dioxide,14802.8
1002921,2011,Methane,0.0
1002921,2011,Nitrous Oxide,0.0
1002922,2011,Biogenic Carbon dioxide,0.0
1002922,2011,Carbon Dioxide,27.8
1002922,2011,Methane,0.0
1002922,2011,Nitrous Oxide,0.0
1002924,2011,Biogenic Carbon dioxide,0.0
1002924,2011,Carbon Dioxide,38097.7
1002924,2011,Methane,0.0
1002924,2011,Nitrous Oxide,0.0
1002929,2011,Biogenic Carbon dioxide,0.0
1002929,2011,Carbon Dioxide,10631.3
1002929,2011,Methane,0.0
1002929,2011,Nitrous Oxide,0.0
1003188,2011,Biogenic Carbon dioxide,0.0
1003188,2011,Carbon Dioxide,197.8
1003188,2011,Methane,0.0
1003188,2011,Nitrous Oxide,0.0
1003258,2011,Biogenic Carbon dioxide,0.0
1003258,2011,Carbon Dioxide,16471.0
1003258,2011,Methane,0.0
1003258,2011,Nitrous Oxide,0.0
1003348,2011,Biogenic Carbon dioxide,0.0
1003348,2011,Carbon Dioxide,1385.2
1003348,2011,Methane,0.0
1003348,2011,Nitrous Oxide,0.0
1003349,2011,Biogenic Carbon dioxide,0.0
1003349,2011,Carbon Dioxide,1672.4
1003349,2011,Methane,0.0
1003349,2011,Nitrous Oxide,0.0
1003459,2011,Biogenic Carbon dioxide,0.0
1003459,2011,Carbon Dioxide,22797.8
1003459,2011,Methane,0.0
1003459,2011,Nitrous Oxide,0.0
1003465,2011,Biogenic Carbon dioxide,0.0
1003465,2011,Carbon Dioxide,24586.0
1003465,2011,Methane,0.0
1003465,2011,Nitrous Oxide,0.0
1003520,2011,Biogenic Carbon dioxide,0.0
1003520,2011,Carbon Dioxide,2689.0
1003520,2011,Methane,0.0
1003520,2011,Nitrous Oxide,0.0
1003658,2011,Biogenic Carbon dioxide,0.0
1003658,2011,Carbon Dioxide,6439.9
