TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
68869BNGBN35955,KAAPA ETHANOL RAVENNA LLC,325193,issues,issues,issues,issues,issues,issues,110031127126.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
52655BGRVR15211,BIG RIVER RESOURCES WEST BURLINGTON LLC,325193,issues,issues,issues,issues,issues,BIG RIVER RESOURCES LLC,110014396858.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
66032STKNS134SM,EAST KANSAS AGRI-ENERGY,325193,issues,issues,issues,issues,issues,issues,110025333734.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
5047WBSLTN1372S,ABSOLUTE ENERGY LLC,325193,issues,issues,issues,issues,issues,issues,110027236621.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
68743SXLND151KN,SIOUXLAND ETHANOL LLC,325193,issues,issues,issues,issues,issues,issues,110029535171.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
5604WGRDNN47453,GUARDIAN ENERGY LLC,325193,issues,issues,issues,issues,issues,issues,110037061988.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
68301NRGYD13238,E ENERGY ADAMS,325193,issues,issues,issues,issues,issues,issues,110030484107.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
51020QDCNT65915,QUAD COUNTY CORN PROCESSORS,325193,issues,issues,issues,issues,issues,issues,110007390340.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
55924LCRNCHWY14,AL-CORN CLEAN FUEL,325193,issues,issues,issues,issues,issues,issues,110000594642.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
68701LKHRN32NVI,ELKHORN VALLEY ETHANOL LLC,325193,issues,issues,issues,issues,issues,LOUIS DREYFUS CO,110018859467.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
