,FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID,CO2Amount,CO2Source,TotalFlowAmountminusCO2,Total_Flue_Gas_Amount,Concentration,FlowChemIdentifier
0,110022411530.0,Carbon Dioxide,air,1058430900.0,1058523843.3445748,kg,0.9999121953226096,GHGRP,2011.0,PRAXAIR Texas City Hydrogen Complex,TX,29.365859,-94.936113,GALVESTON,325120,,1000043,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,0.9999111954982112,18923-20-1
1,110022411530.0,Carbon Monoxide,air,37008.964342196,1058523843.3445748,kg,3.49628065299505e-05,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,3.496277157021386e-05,50-00-0
2,110022411530.0,Hexane,air,13.698489574,1058523843.3445748,kg,1.2941125190640428e-08,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,1.2941112250651529e-08,92112-69-1
3,110022411530.0,Methanol,air,8577.340998226,1058523843.3445748,kg,8.103115534105046e-06,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,8.103107431701002e-06,54841-71-3
4,110022411530.0,Nitrogen Oxides,air,19679.195690924,1058523843.3445748,kg,1.859116902718454e-05,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,1.8591150437647903e-05,
5,110022411530.0,PM10-PM2.5,air,484.5636570236002,1058523843.3445748,kg,4.577730204853431e-07,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,4.577725627525172e-07,
6,110022411530.0,PM2.5 Primary (Filt + Cond),air,9511.7957115104,1058523843.3445748,kg,8.98590595886472e-06,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,8.985896973747765e-06,
7,110022411530.0,Sulfur Dioxide,air,897.9314556520001,1058523843.3445748,kg,8.482864711056886e-07,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,8.482856228937009e-07,12396-99-5
8,110022411530.0,Volatile Organic Compounds,air,3062.20208987,1058523843.3445748,kg,2.892898548411044e-06,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,2.8928956557665054e-06,
9,110022411530.0,Ammonia,air,13707.652139874,1058523843.3445748,kg,1.2949781175039468e-05,NEI,2011.0,TEXAS CITY HYDROGEN COMPLEX,TX,29.3664,-94.9348,Galveston,325120,,9132211,1058430900.0,GHGRP,92943.34457485,1058524901.7765332,1.2949768226395342e-05,15194-15-7
