,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
206,9075WRDYMX9EPAT,A&A READY MIXED CONCRETE INC.,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110041409393,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
275,90201CSTMB6511S,CUSTOM BUILDING PRODUCTS INC.,327999,issues,issues,issues,issues,issues,CUSTOM BUILDING PRODUCTS INC,110000474193,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
296,3737WPSRDY21HAR,P & S READY MIX CONCRETE,327310,issues,issues,issues,issues,issues,issues,110006691348,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
328,3732WPSRDY22HUR,P & S READY MIX DBA P & S PLANT 2,327310,issues,issues,issues,issues,issues,issues,110043977872,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
344,9303WSSCTD392SD,ASSOCIATED READY MIXED CONCRETE INC.,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110055680892,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
817,99206PYRTKE9601,PYROTEK INC,327999,issues,issues,issues,issues,issues,PYROTEK INC,110002151180,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
960,42240SPRRG4021C,SUPERIOR GRAPHITE CO,327999,issues,issues,issues,issues,issues,SUPERIOR GRAPHITE CO,110000380711,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
980,46041CSTMB3800W,CUSTOM BUILDING PRODUCTS INC,327999,327390.0,327420.0,issues,issues,issues,CUSTOM BUILDING PRODUCTS INC,110015680379,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1008,9002WSSCTD273EW,ASSOCIATED READY MIXED CONCRETE INC.,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110063002156,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1040,9597WCNCRT3578E,A&A CONCRETE SUPPLY INC CHICO PLANT,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110021137134,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1063,14020MRCNS102CE,ANCHOR AN OLDCASTLE CO,327999,issues,issues,issues,issues,issues,CRH AMERICAS INC,110001570130,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1072,3732WPSRDY1768H,P & S READY MIX - PLANT 3,327310,issues,issues,issues,issues,issues,issues,110064239104,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1100,48164MRCNS36506,NORTHFIELD,327999,issues,issues,issues,issues,issues,OLDCASTLE INC,110008058387,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1101,9458WCNCRT389BI,A&A CONCRETE SUPPLY INC,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110038095824,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1104,37401DMSTW1200E,STEWARD ADVANCED MATERIALS LLC,327999,issues,issues,issues,issues,issues,issues,110042060462,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1109,92665HMLTN345WE,WESTPAC MATERIALS,327999,issues,issues,issues,issues,issues,issues,110000480131,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1111,9237WSLMNC1371L,SOLOMON COLORS INC.,327999,issues,issues,issues,issues,issues,SOLOMON COLORS INC,110070071470,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1112,9261WSSCTD2591T,ASSOCIATED READY MIXED CONCRETE INC.,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110041408893,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1114,75050CSTMB17131,CUSTOM BUILDING PRODUCTS,327999,issues,issues,issues,issues,issues,CUSTOM BUILDING PRODUCTS INC,110000456382,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1119,49946CLTXC200SO,CERTAINTEED CEILINGS CORP,327999,issues,issues,issues,issues,issues,SAINT-GOBAIN CORP,110001825231,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1128,30331STCRP6175R,STO CORP,327999,issues,issues,issues,issues,issues,STO AG,110005692054,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1131,95828CNCRT8272B,A&A CONCRETE SUPPLY INC SACRAMENTO PLANT,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110022811741,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1136,08014CSTMB210HI,CUSTOM BUILDING PRODUCTS,327999,issues,issues,issues,issues,issues,CUSTOM BUILDING PRODUCTS INC,110041598731,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1137,8908WCSTMB3115E,CUSTOM BUILDING PRODUCTS,327999,issues,issues,issues,issues,issues,CUSTOM BUILDING PRODUCTS INC,110027842397,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1138,01540MRCNSOLDWE,ANCHOR AN OLDCASTLE CO,327999,issues,issues,issues,issues,issues,CRH AMERICAS INC,110010327066,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1139,00733PRTRCPUBLI,CEMEX DE PUERTO RICO INC,327310,issues,issues,issues,issues,issues,issues,110022868413,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1142,9135WSSCTD8946B,ASSOCIATED READY MIXED CONCRETE INC.,327310,issues,issues,issues,issues,issues,CAILLIER INVESTMENTS INC,110063002227,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
