FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier
Carbon Dioxide,air,182191000.0,kg,1.987612450669901,GHGRP,2011,110037615694.0,ANDERSONS MARATHON ETHANOL LLC,5728 E SEBRING WARNER RD,GREENVILLE,OH,45331,40.081111,-84.591667,DARKE,325193,,1000035,18923-20-1
Methane,air,15230.0,kg,4.312541037426133,GHGRP,2011,110037615694.0,ANDERSONS MARATHON ETHANOL LLC,5728 E SEBRING WARNER RD,GREENVILLE,OH,45331,40.081111,-84.591667,DARKE,325193,,1000035,74-82-8
Nitrous Oxide,air,349.0,kg,2.0,GHGRP,2011,110037615694.0,ANDERSONS MARATHON ETHANOL LLC,5728 E SEBRING WARNER RD,GREENVILLE,OH,45331,40.081111,-84.591667,DARKE,325193,,1000035,126386-65-0
Carbon Dioxide,air,164156000.0,kg,2.0,GHGRP,2011,110000448409.0,CHIEF ETHANOL FUELS INC,4225 E SOUTH ST,HASTINGS,NE,68901,40.585,-98.318889,ADAMS,325193,,1000063,18923-20-1
Methane,air,8830.0,kg,2.0,GHGRP,2011,110000448409.0,CHIEF ETHANOL FUELS INC,4225 E SOUTH ST,HASTINGS,NE,68901,40.585,-98.318889,ADAMS,325193,,1000063,74-82-8
Nitrous Oxide,air,1200.0,kg,2.0,GHGRP,2011,110000448409.0,CHIEF ETHANOL FUELS INC,4225 E SOUTH ST,HASTINGS,NE,68901,40.585,-98.318889,ADAMS,325193,,1000063,126386-65-0
Carbon Dioxide,air,122368700.0,kg,1.980186109683277,GHGRP,2011,110022409883.0,GREEN PLAINS CENTRAL CITY LLC,214 20TH ST,CENTRAL CITY,NE,68826,41.109722,-97.971389,MERRICK,325193,,1000344,18923-20-1
Methane,air,8010.0,kg,4.116104868913857,GHGRP,2011,110022409883.0,GREEN PLAINS CENTRAL CITY LLC,214 20TH ST,CENTRAL CITY,NE,68826,41.109722,-97.971389,MERRICK,325193,,1000344,74-82-8
Nitrous Oxide,air,241.0,kg,2.0,GHGRP,2011,110022409883.0,GREEN PLAINS CENTRAL CITY LLC,214 20TH ST,CENTRAL CITY,NE,68826,41.109722,-97.971389,MERRICK,325193,,1000344,126386-65-0
Carbon Dioxide,air,61025800.0,kg,1.989720741063616,GHGRP,2011,110034091729.0,"Green Plains Hereford, LLC",4300 CR 8,Hereford,TX,79045,34.84998,-102.28679,DEAF SMITH COUNTY,325193,,1000352,18923-20-1
Methane,air,5290.0,kg,4.342155009451796,GHGRP,2011,110034091729.0,"Green Plains Hereford, LLC",4300 CR 8,Hereford,TX,79045,34.84998,-102.28679,DEAF SMITH COUNTY,325193,,1000352,74-82-8
Nitrous Oxide,air,118.0,kg,2.0,GHGRP,2011,110034091729.0,"Green Plains Hereford, LLC",4300 CR 8,Hereford,TX,79045,34.84998,-102.28679,DEAF SMITH COUNTY,325193,,1000352,126386-65-0
Carbon Dioxide,air,45261100.0,kg,2.0,GHGRP,2011,110016798768.0,WESTERN PLAINS ENERGY LLC,3022 COUNTY ROAD 18,OAKLEY,KS,67748,39.12461,-100.738037,GOVE COUNTY,325193,,1000405,18923-20-1
Methane,air,850.0,kg,2.0,GHGRP,2011,110016798768.0,WESTERN PLAINS ENERGY LLC,3022 COUNTY ROAD 18,OAKLEY,KS,67748,39.12461,-100.738037,GOVE COUNTY,325193,,1000405,74-82-8
Nitrous Oxide,air,85.0,kg,2.0,GHGRP,2011,110016798768.0,WESTERN PLAINS ENERGY LLC,3022 COUNTY ROAD 18,OAKLEY,KS,67748,39.12461,-100.738037,GOVE COUNTY,325193,,1000405,126386-65-0
Carbon Dioxide,air,591994400.0,kg,3.158530384746882,GHGRP,2011,110000438036.0,"PACIFIC ETHANOL PEKIN, LLC",1300 SOUTH 2ND STREET,PEKIN,IL,61554,40.555,-89.6628,Tazewell,325193,,1000413,18923-20-1
Methane,air,89900.0,kg,3.941490545050056,GHGRP,2011,110000438036.0,"PACIFIC ETHANOL PEKIN, LLC",1300 SOUTH 2ND STREET,PEKIN,IL,61554,40.555,-89.6628,Tazewell,325193,,1000413,74-82-8
Nitrous Oxide,air,8128.0,kg,3.32689468503937,GHGRP,2011,110000438036.0,"PACIFIC ETHANOL PEKIN, LLC",1300 SOUTH 2ND STREET,PEKIN,IL,61554,40.555,-89.6628,Tazewell,325193,,1000413,126386-65-0
Carbon Dioxide,air,225428200.0,kg,4.954763423564576,GHGRP,2011,110000399970.0,"South Bend Ethanol, LLC.",3201 W CALVERT ST,SOUTH BEND,IN,46613,41.6552,-86.2962,St. Joseph,325193,,1000415,18923-20-1
Methane,air,25070.0,kg,4.992820103709613,GHGRP,2011,110000399970.0,"South Bend Ethanol, LLC.",3201 W CALVERT ST,SOUTH BEND,IN,46613,41.6552,-86.2962,St. Joseph,325193,,1000415,74-82-8
Nitrous Oxide,air,3336.0,kg,4.994604316546763,GHGRP,2011,110000399970.0,"South Bend Ethanol, LLC.",3201 W CALVERT ST,SOUTH BEND,IN,46613,41.6552,-86.2962,St. Joseph,325193,,1000415,126386-65-0
Carbon Dioxide,air,748698700.0,kg,2.398309894220465,GHGRP,2011,110071162387.0,Archer Daniels Midland Co. - Peoria,FOOT OF EDMUND ST,PEORIA,IL,61602,40.6776,-89.6069,Peoria,325193,,1000466,18923-20-1
Methane,air,20490.0,kg,3.20497803806735,GHGRP,2011,110071162387.0,Archer Daniels Midland Co. - Peoria,FOOT OF EDMUND ST,PEORIA,IL,61602,40.6776,-89.6069,Peoria,325193,,1000466,74-82-8
Nitrous Oxide,air,2391.0,kg,3.4579673776662485,GHGRP,2011,110071162387.0,Archer Daniels Midland Co. - Peoria,FOOT OF EDMUND ST,PEORIA,IL,61602,40.6776,-89.6069,Peoria,325193,,1000466,126386-65-0
Carbon Dioxide,air,99522800.0,kg,2.000048230154296,GHGRP,2011,110000376502.0,"Ergon Biofuels, LLC",1833 Haining Road,Vicksburg,MS,39183,32.388258,-90.888467,WARREN,325193,,1000634,18923-20-1
Methane,air,1880.0,kg,2.0,GHGRP,2011,110000376502.0,"Ergon Biofuels, LLC",1833 Haining Road,Vicksburg,MS,39183,32.388258,-90.888467,WARREN,325193,,1000634,74-82-8
Nitrous Oxide,air,188.0,kg,2.0,GHGRP,2011,110000376502.0,"Ergon Biofuels, LLC",1833 Haining Road,Vicksburg,MS,39183,32.388258,-90.888467,WARREN,325193,,1000634,126386-65-0
Carbon Dioxide,air,50868000.0,kg,5.0,GHGRP,2011,110032967957.0,Agra Resources LLC dba POET BIOREFINING - GLENVILLE,15300 780TH AVE,ALBERT LEA,MN,56007,43.576024,-93.301823,FREEBORN,325193,,1000857,18923-20-1
Methane,air,960.0,kg,5.0,GHGRP,2011,110032967957.0,Agra Resources LLC dba POET BIOREFINING - GLENVILLE,15300 780TH AVE,ALBERT LEA,MN,56007,43.576024,-93.301823,FREEBORN,325193,,1000857,74-82-8
Nitrous Oxide,air,96.0,kg,5.0,GHGRP,2011,110032967957.0,Agra Resources LLC dba POET BIOREFINING - GLENVILLE,15300 780TH AVE,ALBERT LEA,MN,56007,43.576024,-93.301823,FREEBORN,325193,,1000857,126386-65-0
Carbon Dioxide,air,167199700.0,kg,2.0,GHGRP,2011,110037061988.0,GUARDIAN ENERGY LLC,4745 380TH AVE,JANESVILLE,MN,56048,44.111944,-93.678611,WASECA COUNTY,325193,,1000872,18923-20-1
Methane,air,6610.0,kg,3.5703479576399397,GHGRP,2011,110037061988.0,GUARDIAN ENERGY LLC,4745 380TH AVE,JANESVILLE,MN,56048,44.111944,-93.678611,WASECA COUNTY,325193,,1000872,74-82-8
Nitrous Oxide,air,315.0,kg,2.0,GHGRP,2011,110037061988.0,GUARDIAN ENERGY LLC,4745 380TH AVE,JANESVILLE,MN,56048,44.111944,-93.678611,WASECA COUNTY,325193,,1000872,126386-65-0
Carbon Dioxide,air,76733600.0,kg,5.0,GHGRP,2011,110033219078.0,DIDION ETHANOL LLC,N7088 HWY 146,CAMBRIA,WI,53923,43.53731,-89.10315,COLUMBIA,325193,,1001071,18923-20-1
Methane,air,1450.0,kg,5.0,GHGRP,2011,110033219078.0,DIDION ETHANOL LLC,N7088 HWY 146,CAMBRIA,WI,53923,43.53731,-89.10315,COLUMBIA,325193,,1001071,74-82-8
Nitrous Oxide,air,140.0,kg,5.0,GHGRP,2011,110033219078.0,DIDION ETHANOL LLC,N7088 HWY 146,CAMBRIA,WI,53923,43.53731,-89.10315,COLUMBIA,325193,,1001071,126386-65-0
Carbon Dioxide,air,74714200.0,kg,2.466465544702346,GHGRP,2011,110000427075.0,CHIPPEWA VALLEY ETHANOL COMPANY,270 20TH STREET NORTHWEST,BENSON,MN,56215,45.3268,-95.6378,SWIFT,325193,,1001143,18923-20-1
Methane,air,1640.0,kg,2.731707317073171,GHGRP,2011,110000427075.0,CHIPPEWA VALLEY ETHANOL COMPANY,270 20TH STREET NORTHWEST,BENSON,MN,56215,45.3268,-95.6378,SWIFT,325193,,1001143,74-82-8
Nitrous Oxide,air,170.0,kg,2.7058823529411766,GHGRP,2011,110000427075.0,CHIPPEWA VALLEY ETHANOL COMPANY,270 20TH STREET NORTHWEST,BENSON,MN,56215,45.3268,-95.6378,SWIFT,325193,,1001143,126386-65-0
Carbon Dioxide,air,129144300.0,kg,2.117287406412826,GHGRP,2011,110027922602.0,"RED TRAIL ENERGY, LLC",3682 HWY 8 SOUTH,RICHARDTON,ND,58652,46.878642,-102.296038,STARK,325193,,1001157,18923-20-1
Methane,air,15740.0,kg,2.343074968233799,GHGRP,2011,110027922602.0,"RED TRAIL ENERGY, LLC",3682 HWY 8 SOUTH,RICHARDTON,ND,58652,46.878642,-102.296038,STARK,325193,,1001157,74-82-8
Nitrous Oxide,air,2026.0,kg,2.0,GHGRP,2011,110027922602.0,"RED TRAIL ENERGY, LLC",3682 HWY 8 SOUTH,RICHARDTON,ND,58652,46.878642,-102.296038,STARK,325193,,1001157,126386-65-0
Carbon Dioxide,air,59343100.0,kg,2.0,GHGRP,2011,110017358811.0,KAAPA ETHANOL LLC,8450 KAPPA LANE,MINDEN,NE,68959,40.483268,-99.075345,KEARNEY,325193,,1001677,18923-20-1
Methane,air,3610.0,kg,4.069252077562327,GHGRP,2011,110017358811.0,KAAPA ETHANOL LLC,8450 KAPPA LANE,MINDEN,NE,68959,40.483268,-99.075345,KEARNEY,325193,,1001677,74-82-8
Nitrous Oxide,air,110.0,kg,2.0,GHGRP,2011,110017358811.0,KAAPA ETHANOL LLC,8450 KAPPA LANE,MINDEN,NE,68959,40.483268,-99.075345,KEARNEY,325193,,1001677,126386-65-0
Carbon Dioxide,air,65200400.0,kg,1.9984585984135064,GHGRP,2011,110001448498.0,ICM Biofuels LLC,2811 SOUTH 11TH STREET,SAINT JOSEPH,MO,64503,39.74025,-94.846817,BUCHANAN,325193,,1001678,18923-20-1
Methane,air,1940.0,kg,3.097938144329897,GHGRP,2011,110001448498.0,ICM Biofuels LLC,2811 SOUTH 11TH STREET,SAINT JOSEPH,MO,64503,39.74025,-94.846817,BUCHANAN,325193,,1001678,74-82-8
Nitrous Oxide,air,123.0,kg,2.0,GHGRP,2011,110001448498.0,ICM Biofuels LLC,2811 SOUTH 11TH STREET,SAINT JOSEPH,MO,64503,39.74025,-94.846817,BUCHANAN,325193,,1001678,126386-65-0
Carbon Dioxide,air,71471000.0,kg,2.0,GHGRP,2011,110033218881.0,REDFIELD ENERGY LLC,38650 171ST ST,REDFIELD,SD,57469,44.91167,-98.50145,SPINK COUNTY,325193,,1001723,18923-20-1
Methane,air,4300.0,kg,4.058139534883721,GHGRP,2011,110033218881.0,REDFIELD ENERGY LLC,38650 171ST ST,REDFIELD,SD,57469,44.91167,-98.50145,SPINK COUNTY,325193,,1001723,74-82-8
Nitrous Oxide,air,135.0,kg,2.0,GHGRP,2011,110033218881.0,REDFIELD ENERGY LLC,38650 171ST ST,REDFIELD,SD,57469,44.91167,-98.50145,SPINK COUNTY,325193,,1001723,126386-65-0
Carbon Dioxide,air,80734900.0,kg,1.9894320795591496,GHGRP,2011,110070028928.0,MARYSVILLE ETHANOL LLC,2510 BUSHA HIGWAY,MARYSVILLE,MI,48040,42.88335,-82.491547,ST. CLAIR COUNTY,325193,,1001809,18923-20-1
Methane,air,3700.0,kg,3.75945945945946,GHGRP,2011,110070028928.0,MARYSVILLE ETHANOL LLC,2510 BUSHA HIGWAY,MARYSVILLE,MI,48040,42.88335,-82.491547,ST. CLAIR COUNTY,325193,,1001809,74-82-8
Nitrous Oxide,air,154.0,kg,2.0,GHGRP,2011,110070028928.0,MARYSVILLE ETHANOL LLC,2510 BUSHA HIGWAY,MARYSVILLE,MI,48040,42.88335,-82.491547,ST. CLAIR COUNTY,325193,,1001809,126386-65-0
Carbon Dioxide,air,66394100.00000001,kg,2.0,GHGRP,2011,110041014586.0,PINAL ENERGY,38585 W COWTOWN RD,MARICOPA,AZ,85138,33.01552,-111.9826,PINAL COUNTY,325193,,1001831,18923-20-1
Methane,air,1250.0,kg,2.0,GHGRP,2011,110041014586.0,PINAL ENERGY,38585 W COWTOWN RD,MARICOPA,AZ,85138,33.01552,-111.9826,PINAL COUNTY,325193,,1001831,74-82-8
Nitrous Oxide,air,125.0,kg,2.0,GHGRP,2011,110041014586.0,PINAL ENERGY,38585 W COWTOWN RD,MARICOPA,AZ,85138,33.01552,-111.9826,PINAL COUNTY,325193,,1001831,126386-65-0
Carbon Dioxide,air,31395000.0,kg,2.0,GHGRP,2011,110041626194.0,SOUTHWEST IOWA RENEWABLE ENERGY,10868 189TH ST,COUNCIL BLUFFS,IA,51503,41.16747,-95.82403,POTTAWATTAMIE COUNTY,325193,,1001865,18923-20-1
Methane,air,590.0,kg,2.0,GHGRP,2011,110041626194.0,SOUTHWEST IOWA RENEWABLE ENERGY,10868 189TH ST,COUNCIL BLUFFS,IA,51503,41.16747,-95.82403,POTTAWATTAMIE COUNTY,325193,,1001865,74-82-8
