FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID,Concentration kg/kg,FlowChemIdentifier
110070081820.0,Carbon Dioxide,air,720501400.0,720511235.6976016,kg,GHGRP,2017.0,Linde Facility 0497,TX,29.89018,-93.948251,JEFFERSON COUNTY,325120,,1002023,0.9999863490017723,18923-20-1
110070081820.0,Ammonia,air,9835.6976016,720511235.6976016,kg,TRI,2017.0,LINDE PORT ARTHUR HYDROGEN FACILITY 497,TX,29.884818,-93.965355,JEFFERSON,325120,,77642PRXRN21HUS,1.3650998227775093e-05,15194-15-7
110043814726.0,Carbon Dioxide,air,172272500.0,172272500.0,kg,GHGRP,2017.0,"Linde Hydrogen, c/o Chevron Refinery",UT,40.82147,-111.92162,SALT LAKE COUNTY,325120,,1002041,1.0,18923-20-1
110011942862.0,Carbon Dioxide,air,95741000.0,95849323.84446812,kg,GHGRP,2017.0,Matheson - LIMA I PLANT,OH,40.72211,-84.11329,ALLEN COUNTY,325120,,1002042,0.998869852805181,18923-20-1
110011942862.0,Sulfur Dioxide,air,426.3768278,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,4.4484072573309875e-06,12396-99-5
110011942862.0,Ammonia,air,3229.5776744,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,3.369431880020918e-05,15194-15-7
110011942862.0,Carbon Monoxide,air,21627.2842016,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,0.00022563835960589518,50-00-0
110011942862.0,PM2.5 Primary (Filt + Cond),air,9204.83977569926,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,9.603447793367519e-05,
110011942862.0,PM10-PM2.5,air,1614.7888372000016,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,1.6847159400104606e-05,
110011942862.0,Volatile Organic Compounds,air,17726.3898196,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,0.00018494016554946276,
110011942862.0,Nitrogen Oxides,air,54494.5873318,95849323.84446812,kg,NEI,2017.0,"Matheson Tri-Gas, Inc. (0302020242)",OH,40.715,-84.12361,Allen,325120,,16535711,0.0005685443062720689,
110071160496.0,Carbon Dioxide,air,232264200.0,232264618.0,kg,GHGRP,2017.0,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",CA,38.026667,-122.067222,CONTRA COSTA COUNTY,325120,,1002122,0.999998200328558,18923-20-1
110071160496.0,Methane,air,380.0,232264618.0,kg,GHGRP,2017.0,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",CA,38.026667,-122.067222,CONTRA COSTA COUNTY,325120,,1002122,1.6360649472663115e-06,74-82-8
110071160496.0,Nitrous Oxide,air,38.0,232264618.0,kg,GHGRP,2017.0,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",CA,38.026667,-122.067222,CONTRA COSTA COUNTY,325120,,1002122,1.6360649472663117e-07,126386-65-0
110012267965.0,Carbon Dioxide,air,555967100.0,555967100.0,kg,GHGRP,2017.0,Linde Inc,LA,30.139164,-93.526936,CALCASIEU PARISH,325120,,1002608,1.0,18923-20-1
110042061238.0,Carbon Dioxide,air,1143634100.0,1144915111.2001286,kg,GHGRP,2017.0,Marathon El Paso Refinery,TX,31.76945,-106.41426,EL PASO COUNTY,324110,,1003564,0.9988811299740941,18923-20-1
110042061238.0,Methane,air,123250.0,1144915111.2001286,kg,GHGRP,2017.0,Marathon El Paso Refinery,TX,31.76945,-106.41426,EL PASO COUNTY,324110,,1003564,0.00010764990242010719,74-82-8
110042061238.0,Nitrous Oxide,air,9216.0,1144915111.2001286,kg,GHGRP,2017.0,Marathon El Paso Refinery,TX,31.76945,-106.41426,EL PASO COUNTY,324110,,1003564,8.04950507670351e-06,126386-65-0
110042061238.0,"1,1,2-Trichloroethane",air,2.177243376,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.9016635859734257e-09,79-00-5
110042061238.0,"1,3-Dichloropropene",air,1.81436948,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.5847196549778548e-09,10061-01-5
110042061238.0,"2,2,4-Trimethylpentane",air,686.103818862,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.992617375298758e-07,31921-36-5
110042061238.0,Acetaldehyde,air,506.20908492,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,4.421367837388215e-07,75-07-0
110042061238.0,Acrolein,air,320.961961012,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.8033690696558255e-07,25314-61-8
110042061238.0,Arsenic,air,0.997903214,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,8.715958102378201e-10,7784-42-1
110042061238.0,Biphenyl,air,46.357140214000005,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,4.0489587184684196e-08,81846-81-3
110042061238.0,Cadmium,air,6.622448602,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.7842267406691704e-09,81271-94-5
110042061238.0,Carbon Monoxide,air,139748.089739566,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,0.00012205978274937656,50-00-0
110042061238.0,Carbon Tetrachloride,air,2.5401172720000003,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.218607516968997e-09,56-23-5
110042061238.0,Chlorobenzene,air,1.81436948,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.5847196549778548e-09,68411-45-0
110042061238.0,Chloroform,air,1.905087954,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.6639556377267475e-09,67-66-3
110042061238.0,Chromium (VI),air,1.7055073112,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.4896364756791837e-09,18540-29-9
110042061238.0,Chromium III,air,6.8220292448,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.958545902716735e-09,
110042061238.0,Cobalt,air,0.090718474,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,7.923598274889273e-11,7440-48-4
110042061238.0,Cresol/Cresylic Acid (Mixed Isomers),air,7.983225712,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,6.972766481902561e-09,
110042061238.0,Cumene,air,18.869442592,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.648108441176969e-08,51609-83-7
110042061238.0,Ethylene Dibromide,air,2.993709642,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.6147874307134604e-09,624-61-3
110042061238.0,Ethylene Dichloride,air,1.723651006,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.505483672228962e-09,107-06-2
110042061238.0,Ethylidene Dichloride,air,1.632932532,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.4262476894800694e-09,75-34-3
110042061238.0,Formaldehyde,air,3520.7839759400003,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,3.0751484904845278e-06,50-00-0
110042061238.0,Hydrochloric Acid,air,2560.801084072,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.236673321035744e-06,113962-65-5
110042061238.0,Manganese,air,2.3586803240000003,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.0601355514712116e-09,22325-60-6
110042061238.0,Mercury,air,1.36077711,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.188539741233391e-09,7439-97-6
110042061238.0,Methanol,air,157.39655239,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.374744300693289e-07,54841-71-3
110042061238.0,Methylene Chloride,air,6.078137758,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.308810844175813e-09,1605-72-7
110042061238.0,Nickel,air,13.517052626000002,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.180616142958502e-08,21595-53-9
110042061238.0,Nitrogen Oxides,air,382448.493290402,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,0.0003340409167012478,
110042061238.0,PM10-PM2.5,air,47890.826735444,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,4.1829150709036975e-05,
110042061238.0,PM2.5 Primary (Filt + Cond),air,62047.263166196,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.419376734503618e-05,
110042061238.0,Phenanthrene,air,0.181436948,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.5847196549778547e-10,85-01-8
110042061238.0,Phenol,air,5.8967008100000005,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.150338878678029e-09,1336-35-2
110042061238.0,Propylene Dichloride,air,1.81436948,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.5847196549778548e-09,78-87-5
110042061238.0,Selenium,air,0.181436948,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.5847196549778547e-10,7/5/83
110042061238.0,Styrene,air,25.038298824,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.1869131238694398e-08,79637-11-9
110042061238.0,Sulfur Dioxide,air,90088.252761122,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,7.868553037673618e-05,12396-99-5
110042061238.0,Vinyl Chloride,air,0.997903214,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,8.715958102378201e-10,75-01-4
110042061238.0,Volatile Organic Compounds,air,358976.1268694293,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,0.0003135395134169743,
110042061238.0,Polycyclic aromatic compounds (includes 25 specific compounds),air,5.9239163522,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,5.174109673502696e-09,
110042061238.0,Lead,air,3.265865064,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,2.8524953789601388e-09,15875-18-0
110042061238.0,Hydrogen Sulfide,air,203.1095914386,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,1.7740144177649596e-07,11144-15-3
110042061238.0,Xylenes (Mixed Isomers),air,5717.894697746,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,4.994164756679961e-06,
110042061238.0,Diethanolamine,air,3893.274030184,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,3.400491435651481e-06,61791-44-4
110042061238.0,Toluene,air,5090.304294613999,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,4.44601022802312e-06,8/4/01
110042061238.0,"1,3-Butadiene",air,113.216655552,1144915111.2001286,kg,NEI,2017.0,MARATHON EL PASO REFINERY,TX,31.766622,-106.401514,El Paso,324110,,6476111,9.888650647061815e-08,130983-70-9
