FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,GHG_QUANTITY,GHG_NAME
1000198,2020,LEHIGH WHITE CEMENT CO LLC,0.0,Biogenic Carbon dioxide
1000198,2020,LEHIGH WHITE CEMENT CO LLC,0.113,Nitrous Oxide
1000198,2020,LEHIGH WHITE CEMENT CO LLC,1.14,Methane
1000198,2020,LEHIGH WHITE CEMENT CO LLC,79601.0,Carbon Dioxide
1000243,2020,Holcim (US) INC JOPPA PLANT,0.0,Biogenic Carbon dioxide
1000243,2020,Holcim (US) INC JOPPA PLANT,1.3,Nitrous Oxide
1000243,2020,Holcim (US) INC JOPPA PLANT,338902.0,Carbon Dioxide
1000243,2020,Holcim (US) INC JOPPA PLANT,7.73,Methane
1000247,2020,SIGNAL MOUNTAIN CEMENT CO,0.0,Biogenic Carbon dioxide
1000247,2020,SIGNAL MOUNTAIN CEMENT CO,0.0,Methane
1000247,2020,SIGNAL MOUNTAIN CEMENT CO,0.0,Nitrous Oxide
1000247,2020,SIGNAL MOUNTAIN CEMENT CO,413436.1,Carbon Dioxide
1000290,2020,Heidelberg Materials US Cement LLC,0.0,Biogenic Carbon dioxide
1000290,2020,Heidelberg Materials US Cement LLC,0.12,Nitrous Oxide
1000290,2020,Heidelberg Materials US Cement LLC,1.2,Methane
1000290,2020,Heidelberg Materials US Cement LLC,183327.0,Carbon Dioxide
1000533,2020,SUWANNEE AMERICAN CEMENT,0.0,Biogenic Carbon dioxide
1000533,2020,SUWANNEE AMERICAN CEMENT,1.112,Nitrous Oxide
1000533,2020,SUWANNEE AMERICAN CEMENT,554551.0,Carbon Dioxide
1000533,2020,SUWANNEE AMERICAN CEMENT,8.32,Methane
1000633,2020,ROANOKE CEMENT CO - CLOVERDALE,2444.0,Biogenic Carbon dioxide
1000633,2020,ROANOKE CEMENT CO - CLOVERDALE,24.56,Methane
1000633,2020,ROANOKE CEMENT CO - CLOVERDALE,3.52,Nitrous Oxide
1000633,2020,ROANOKE CEMENT CO - CLOVERDALE,860189.0,Carbon Dioxide
1001689,2020,Drake Cement,0.0,Biogenic Carbon dioxide
1001689,2020,Drake Cement,13.34,Methane
1001689,2020,Drake Cement,1.893,Nitrous Oxide
1001689,2020,Drake Cement,480602.0,Carbon Dioxide
1001701,2020,MONARCH CEMENT COMPANY (THE),0.0,Biogenic Carbon dioxide
1001701,2020,MONARCH CEMENT COMPANY (THE),0.0,Methane
1001701,2020,MONARCH CEMENT COMPANY (THE),0.0,Nitrous Oxide
1001701,2020,MONARCH CEMENT COMPANY (THE),822593.0,Carbon Dioxide
1001835,2020,HEIDELBERG MATERIALS US CEMENT LLC/ NAZARETH,0.0,Biogenic Carbon dioxide
1001835,2020,HEIDELBERG MATERIALS US CEMENT LLC/ NAZARETH,0.38,Nitrous Oxide
1001835,2020,HEIDELBERG MATERIALS US CEMENT LLC/ NAZARETH,3.63,Methane
1001835,2020,HEIDELBERG MATERIALS US CEMENT LLC/ NAZARETH,635585.0,Carbon Dioxide
1002049,2020,LEHIGH CEMENT CO LLC / WACO PLANT,0.0,Biogenic Carbon dioxide
1002049,2020,LEHIGH CEMENT CO LLC / WACO PLANT,0.0,Methane
1002049,2020,LEHIGH CEMENT CO LLC / WACO PLANT,0.0,Nitrous Oxide
1002049,2020,LEHIGH CEMENT CO LLC / WACO PLANT,104417.4,Carbon Dioxide
1002055,2020,HOLCIM (US) Inc,0.0,Biogenic Carbon dioxide
1002055,2020,HOLCIM (US) Inc,1214043.0,Carbon Dioxide
1002055,2020,HOLCIM (US) Inc,35.63,Methane
1002055,2020,HOLCIM (US) Inc,4.56,Nitrous Oxide
1002102,2020,TEXAS LEHIGH CEMENT COMPANY LP,0.0,Biogenic Carbon dioxide
1002102,2020,TEXAS LEHIGH CEMENT COMPANY LP,1020532.0,Carbon Dioxide
1002102,2020,TEXAS LEHIGH CEMENT COMPANY LP,38.58,Methane
1002102,2020,TEXAS LEHIGH CEMENT COMPANY LP,5.57,Nitrous Oxide
1002204,2020,HOLCIM INCORPORATED,0.0,Biogenic Carbon dioxide
1002204,2020,HOLCIM INCORPORATED,17.3,Methane
1002204,2020,HOLCIM INCORPORATED,2.2,Nitrous Oxide
1002204,2020,HOLCIM INCORPORATED,372151.0,Carbon Dioxide
1002308,2020,CEMEX Construction Materials Pacific LLC,2028744.3,Carbon Dioxide
1002308,2020,CEMEX Construction Materials Pacific LLC,46970.0,Biogenic Carbon dioxide
1002308,2020,CEMEX Construction Materials Pacific LLC,55.7,Methane
