GHGAS_LINEAR_CHEMICAL_FORMULA,FACILITY_ID,OTHER_GHGAS_LINEAR_CHEMFORM,GROUP_OF_FLUORINATED_GHG,OTHER_GHGAS_CAS_REGISTRY_NUM,OTHERGHGASNAME,GHGASNAME,REPORTING_YEAR,FACILITY_NAME,GHGASQUANTITY,GHGAS_CAS_REGISTRY_NUMBER
blend,1008930,,,,,FC-77 (Blend - Perfluoro-2-butyltetrahydrofuran + C8F18),2020,LA Semiconductor,0.6645,"335-36-4, 307-34-6"
blend,1010241,,,,,"HFE-72DA (1,2-Trans-dichloroethylene + Ethyl nonafluorobutyl ether + Ethyl nonafluoroisobutyl ether + Methyl nonafluorobutyl ether + Methyl nonafluoroisobutyl ether + Isopropyl alcohol)",2020,Honeywell Aerospace - Plymouth,0.2642,"156-60-5, 163702-05-4, 163702-06-5, 163702-07-6, 163702-08-7, 67-63-0"
C2F6,1000354,,,,,PFC-116 (Perfluoroethane),2020,SKYWATER TECHNOLOGY INC,3.3792,76-16-4
C2F6,1003726,,,,,PFC-116 (Perfluoroethane),2020,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,4.2457,76-16-4
C2F6,1003759,,,,,PFC-116 (Perfluoroethane),2020,"Analog Devices, Inc./ Wilmington Manufacturing",0.9994,76-16-4
C2F6,1003945,,,,,PFC-116 (Perfluoroethane),2020,TEXAS INSTRUMENTS NORTH CAMPUS,11.2932,76-16-4
C2F6,1003997,,,,,PFC-116 (Perfluoroethane),2020,INTEL CORPORATION - RIO RANCHO FACILITY,0.176,76-16-4
C2F6,1004006,,,,,PFC-116 (Perfluoroethane),2020,INTEL CORPORATION RONLER ACRES CAMPUS,2.299,76-16-4
C2F6,1004300,,,,,PFC-116 (Perfluoroethane),2020,Onsemi East Fishkill Facility,0.0294,76-16-4
C2F6,1004325,,,,,PFC-116 (Perfluoroethane),2020,"MICRON TECHNOLOGY, INC.",0.0016,76-16-4
C2F6,1004371,,,,,PFC-116 (Perfluoroethane),2020,INTEL CORPORATION - Ocotillo Campus,2.744,76-16-4
C2F6,1004746,,,,,PFC-116 (Perfluoroethane),2020,ANALOG DEVICES,0.0507,76-16-4
C2F6,1004883,,,,,PFC-116 (Perfluoroethane),2020,MICROCHIP TECHNOLOGY INC,0.679,76-16-4
C2F6,1005759,,,,,PFC-116 (Perfluoroethane),2020,"Wolfspeed, Inc",0.297,76-16-4
C2F6,1007527,,,,,PFC-116 (Perfluoroethane),2020,ON Semiconductor,4.7754,76-16-4
C2F6,1008059,,,,,PFC-116 (Perfluoroethane),2020,Texas Instruments Richardson,0.6422,76-16-4
C2F6,1008262,,,,,PFC-116 (Perfluoroethane),2020,"Jireh Semiconductor, Inc.",2.57,76-16-4
C2F6,1008734,,,,,PFC-116 (Perfluoroethane),2020,Avago Technologies,0.9352,76-16-4
C2F6,1008768,,,,,PFC-116 (Perfluoroethane),2020,Microchip Technology Inc.,1.7547,76-16-4
C2F6,1008930,,,,,PFC-116 (Perfluoroethane),2020,LA Semiconductor,0.1273,76-16-4
C2F6,1009361,,,,,PFC-116 (Perfluoroethane),2020,WaferTech LLC,0.4243,76-16-4
C2F6,1009556,,,,,PFC-116 (Perfluoroethane),2020,Texas Instruments- Lehi Fab,1.2426,76-16-4
C2F6,1009580,,,,,PFC-116 (Perfluoroethane),2020,Fairchild Semiconductor,0.141,76-16-4
C2F6,1009581,,,,,PFC-116 (Perfluoroethane),2020,Diodes US Manufacturing Incorporated,0.07,76-16-4
C2F6,1009606,,,,,PFC-116 (Perfluoroethane),2020,INTEL CORPORATION ALOHA CAMPUS,0.07,76-16-4
