FACILITY_ID,MSHA_IDENTIFICATION_NUMBER,REPORTING_YEAR,FACILITY_NAME,GHG_QUANTITY,GHG_NAME
1001682,503836,2020,TWENTYMILE MINE,0.0,CARBON DIOXIDE
1001682,503836,2020,TWENTYMILE MINE,1910.48,METHANE
1001684,1202295,2020,FRANCISCO UNDERGROUND MINE,0.0,CARBON DIOXIDE
1001684,1202295,2020,FRANCISCO UNDERGROUND MINE,15082.5,METHANE
1001686,1103156,2020,WILDCAT HILLS MINE,0.0,CARBON DIOXIDE
1001686,1103156,2020,WILDCAT HILLS MINE,1208.73,METHANE
1001687,15-09636,2020,BLUE DIAMOND MINING MINE 77,0.0,CARBON DIOXIDE
1001687,15-09636,2020,BLUE DIAMOND MINING MINE 77,2886.69,METHANE
1001887,11-03193,2020,PRAIRIE STATE GENERATING STATION,0.0,CARBON DIOXIDE
1001887,11-03193,2020,PRAIRIE STATE GENERATING STATION,2775.45,METHANE
1003058,M85951826,2020,OAKTOWN FUELS MINE NO.1,0.0,CARBON DIOXIDE
1003058,M85951826,2020,OAKTOWN FUELS MINE NO.1,24498.31,METHANE
1003751,M85951826,2020,CARLISLE MINE,0.0,CARBON DIOXIDE
1003751,M85951826,2020,CARLISLE MINE,5715.44,METHANE
1004421,33-00968,2020,"LEESVILLE LAND, LLC",0.0,CARBON DIOXIDE
1004421,33-00968,2020,"LEESVILLE LAND, LLC",3950.85,METHANE
1004512,01-00851,2020,OAK GROVE MINE,0.0,CARBON DIOXIDE
1004512,01-00851,2020,OAK GROVE MINE,37452.63,METHANE
1005761,3607230,2020,BAILEY MINE-CRABAPPLE PORTAL,0.0,CARBON DIOXIDE
1005761,3607230,2020,BAILEY MINE-CRABAPPLE PORTAL,86372.85,METHANE
1005764,4601968,2020,MONONGALIA COUNTY MINE,0.0,CARBON DIOXIDE
1005764,4601968,2020,MONONGALIA COUNTY MINE,62308.02,METHANE
1007168,1519535,2020,GENESIS MINE,0.0,CARBON DIOXIDE
