TIER123_BIOGENIC_CO2_EMISSIONS,AGGR_HIGH_HEAT_CAPACITY_UOM,IND_UNIT_HEATINPUTCAPACITY_UOM,PART_75_CO2_EMISSIONS_METHOD,PART_75_CO2_METHOD,TIER_4_TOTAL_CO2_EMISSIONS,TOTAL_AMT_SORBENT_USED,CS_USEIVTIND,AGG_USEIVTIND,PART_75_METHODOLOGY_ENDDATE,UNIT_TYPE_OTHER,CP_USEIVTIND,REPORTING_YEAR,TIER_4_OP_HRS_STACK_MOIST_SUB,UNIT_TYPE,PART_75_HEAT_INPUT_METHOD,TIER_4_OPERATING_HOURS,TIER4_NONBIOGENIC_CO2EMISSION,TIER_4_OP_HRS_CO2_CONC_SUB,PLANT_CODE,PART_75_METHOD_STARTDATE,FACILITY_NAME,TIER_4_BIOGENIC_CO2_EMISSIONS,TIER4_ANNUAL_BIO_CO2_EMISSION,FACILITY_ID,AGGR_HIGH_HEAT_CAPACITY,AGG_CUMULATIVE_HEAT_INPUTCAP,IND_USE_IVT_IND,SORBENT_RATIO,PART_75_OP_HRS_FLOWRATE_SUB,COMMON_STACK_COMBINED_HEAT_UOM,TIER4_V_BIO,TIER4_VFF,BIOGENIC_CO2_MASS_EMISS_MSW,TIER_4_OP_HRS_STACK_FLOWRT_SUB,TIER4_V_TOTAL,TIER_4_METHODOLOGY_START_DATE,SORBENT_MOLECULAR_WEIGHT,PART_75_OP_HRS_HHV_SUB,UNIT_NAME,COMMON_PIPE_HEAT_CAPACITY,TIER_4_METHODOLOGY_END_DATE,PART_75_OP_HRS_MOISTURE_SUB,TIER_123_SORBENT_CO2_EMISSIONS,COMMON_PIPE_HEAT_CAPACITY_UOM,COMMON_STACK_NUMBER_OF_UNITS,TIER_1_2_3_FOSSIL_CO2_EMISSION,IND_UNIT_HEAT_INPUT_CAPACITY,IND_UNIT_HEATCAPACITY_UOM_OTHR,CP_CUMULATIVE_MAXHEAT_INPUTCAP,PART_75_OP_HRS_FUEL_FLOWRATE,PART_75_OP_HRS_CO2_CONC_SUB,COMMON_STACK_COMBINED_HEAT
0.0,mmBtu/hr,,,,,0.0,,Y,,,,2020,,OCS (Other combustion source),,,,,,,CARBO Ceramics Inc. - McIntyre Plant,,,1004075,60.0,225.0,,0.0,,,,,,,,,44.1,,GP-McIntyre,,,,0.0,,,0.0,,,,,,
0.0,mmBtu/hr,,,,,10.2,,Y,,,,2020,,OCS (Other combustion source),,,,,,,"PHARMACIA & UPJOHN COMPANY, LLC",,,1002606,110.81,443.23,,0.5,,,,,,,,,100.1,,GP-COALBOILERS,,,,2.0,,,32412.8,,,,,,
0.0,mmBtu/hr,,,,,149.0,,N,,,,2020,,OCS (Other combustion source),,,,,,,UNIVERSITY OF ILLINOIS,,,1001893,243.0,643.0,,1.0,,,,,,,,,100.0,,"GP-Coal Boilers 5, 6 & 7",,,,59.7,,,0.0,,,,,,
0.0,mmBtu/hr,,,,,161.87,,N (EGU),,,,2020,,OCS (Other combustion source),,,,,,,"Granges Americas, Inc",,,1012375,54.0,671.694,,0.667,,,,,,,,,226.03,,GP-Site,,,,19.1,,,99000.6,,,,,,
0.0,mmBtu/hr,,,,,1740.37,,Y,,,,2020,,OCS (Other combustion source),,,,,,,Forest City Facility LLC,,,1004989,9.0,,,1.0,,,,,,,,,56.007,,GP-Natural Gas Units,,,,1242.7,,,6043.7,,,,,,
0.0,mmBtu/hr,,,,,264.64,,Y,,,,2020,,OCS (Other combustion source),,,,,,,Ardagh Glass Inc. (Madera),,,1000005,85.0,182.0,,1.0,,,,,,,,,105.99,,GP-1,,,,100.0,,,59191.7,,,,,,
0.0,mmBtu/hr,,,,,27304.0,,N (EGU),,,,2020,,OCS (Other combustion source),,,,,,,"Ecobat Resources New York, LLC",,,1003590,30.0,92.0,,1.0,,,,,,,,,105.99,,GP- General Fuel Combustion,,,,10314.7,,,25341.3,,,,,,
0.0,mmBtu/hr,,,,,29582.6,,N,,,,2020,,OCS (Other combustion source),,,,,,,QUEMETCO INC,,,1003794,32.0,57.0,,1.0,,,,,,,,,105.99,,GP-Natural Gas,,,,11175.5,,,18119.5,,,,,,
0.0,mmBtu/hr,,,,,296.3,,N,,,,2020,,OCS (Other combustion source),,,,,327120,,THE BELDEN BRICK COMPANY (0679000118),,,1005773,92.66,193.52,,1.0,,,,,,,,,84.0,,GP-BELDENBRICK,,,,141.2,,,50552.1,,,,,,
0.0,mmBtu/hr,,,,,34.55,,Y,,,,2020,,OCS (Other combustion source),,,,,,,MICHIGAN SUGAR CO - CARO FACTORY,,,1006312,18.0,18.0,,1.0,,,,,,,,,100.0,,GP-LIME KILNS,,,,13.8,,,4523.4,,,,,,
