FACILITY_ID,OTHER_GREENHOUSE_GAS_NAME,REPORTING_YEAR,FACILITY_NAME,OTHER_GAS_GHG_GROUP,GHG_QUANTITY,GHG_NAME
1000030,,2020,US MAGNESIUM LLC,,33.11,HFC-134A
1000030,,2020,US MAGNESIUM LLC,,650.0,CARBON DIOXIDE
1002358,,2020,CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,,0.699,SULFUR HEXAFLUORIDE
1002358,,2020,CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,,92.23,CARBON DIOXIDE
1009864,,2020,"SPARTAN LIGHT METAL PRODUCTS, INC.",,4.6178,SULFUR HEXAFLUORIDE
1009927,,2020,CHICAGO WHITE METAL CASTINGS INC,,0.6663,SULFUR HEXAFLUORIDE
1010145,,2020,MAGRETECH LLC,,126.225,CARBON DIOXIDE
1010145,,2020,MAGRETECH LLC,,2.484,SULFUR HEXAFLUORIDE
1010145,,2020,MAGRETECH LLC,,7.25,HFC-134A
1010185,,2020,ADVANCED MAGNESIUM ALLOYS CORPORATION,,10.79,SULFUR HEXAFLUORIDE
1012081,,2020,TAC MANUFACTURING,,2.138,SULFUR HEXAFLUORIDE
1013263,,2020,TG MISSOURI CORPORATION,,0.626,SULFUR HEXAFLUORIDE
1013267,,2020,TERVES INC,,0.37,SULFUR HEXAFLUORIDE
1013267,,2020,TERVES INC,,7.15,CARBON DIOXIDE
