FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier
Carbon Dioxide,air,46535700.0,kg,2.0,GHGRP,2017,110016798768.0,WESTERN PLAINS ENERGY LLC,3022 COUNTY ROAD 18,OAKLEY,KS,67748.0,39.12461,-100.738037,GOVE COUNTY,325193,,1000405,18923-20-1
Methane,air,880.0,kg,2.0,GHGRP,2017,110016798768.0,WESTERN PLAINS ENERGY LLC,3022 COUNTY ROAD 18,OAKLEY,KS,67748.0,39.12461,-100.738037,GOVE COUNTY,325193,,1000405,74-82-8
Nitrous Oxide,air,88.0,kg,2.0,GHGRP,2017,110016798768.0,WESTERN PLAINS ENERGY LLC,3022 COUNTY ROAD 18,OAKLEY,KS,67748.0,39.12461,-100.738037,GOVE COUNTY,325193,,1000405,126386-65-0
Carbon Dioxide,air,567442300.0,kg,4.999993655742619,GHGRP,2017,110071162387.0,BioUrja Renewables LLC,FOOT OF EDMUND ST,PEORIA,IL,61602.0,40.6776,-89.6069,Peoria,325193,,1000466,18923-20-1
Methane,air,10690.0,kg,5.0,GHGRP,2017,110071162387.0,BioUrja Renewables LLC,FOOT OF EDMUND ST,PEORIA,IL,61602.0,40.6776,-89.6069,Peoria,325193,,1000466,74-82-8
Nitrous Oxide,air,1069.0,kg,5.0,GHGRP,2017,110071162387.0,BioUrja Renewables LLC,FOOT OF EDMUND ST,PEORIA,IL,61602.0,40.6776,-89.6069,Peoria,325193,,1000466,126386-65-0
Carbon Dioxide,air,74830900.0,kg,2.0,GHGRP,2017,110033219078.0,DIDION ETHANOL LLC,N7088 HWY 146,CAMBRIA,WI,53923.0,43.53731,-89.10315,COLUMBIA COUNTY,325193,,1001071,18923-20-1
Methane,air,1410.0,kg,2.0,GHGRP,2017,110033219078.0,DIDION ETHANOL LLC,N7088 HWY 146,CAMBRIA,WI,53923.0,43.53731,-89.10315,COLUMBIA COUNTY,325193,,1001071,74-82-8
Nitrous Oxide,air,141.0,kg,2.0,GHGRP,2017,110033219078.0,DIDION ETHANOL LLC,N7088 HWY 146,CAMBRIA,WI,53923.0,43.53731,-89.10315,COLUMBIA COUNTY,325193,,1001071,126386-65-0
Carbon Dioxide,air,82219900.0,kg,2.0,GHGRP,2017,110056968651.0,MARYSVILLE ETHANOL LLC,2512 BUSHA HIGWAY,MARYSVILLE,MI,48040.0,42.88335,-82.491547,ST. CLAIR COUNTY,325193,,1001809,18923-20-1
Carbon Dioxide,air,68409000.0,kg,5.0,GHGRP,2017,110071159502.0,Hub City Energy,PO Box 933,Watertown,SD,57201.0,45.459806,-98.532833,BROWN COUNTY,325193,,1002047,18923-20-1
Methane,air,1290.0,kg,5.0,GHGRP,2017,110071159502.0,Hub City Energy,PO Box 933,Watertown,SD,57201.0,45.459806,-98.532833,BROWN COUNTY,325193,,1002047,74-82-8
Nitrous Oxide,air,129.0,kg,5.0,GHGRP,2017,110071159502.0,Hub City Energy,PO Box 933,Watertown,SD,57201.0,45.459806,-98.532833,BROWN COUNTY,325193,,1002047,126386-65-0
Carbon Dioxide,air,169242300.0,kg,1.991495034042908,GHGRP,2017,110069501024.0,"POET- Biorefining Fairmont, LLC",1214 Road G,Fairmont,NE,68354.0,40.61125,-97.60154,FILLMORE COUNTY,325193,,1002073,18923-20-1
Methane,air,6920.0,kg,3.6040462427745674,GHGRP,2017,110069501024.0,"POET- Biorefining Fairmont, LLC",1214 Road G,Fairmont,NE,68354.0,40.61125,-97.60154,FILLMORE COUNTY,325193,,1002073,74-82-8
Nitrous Oxide,air,325.0,kg,2.0,GHGRP,2017,110069501024.0,"POET- Biorefining Fairmont, LLC",1214 Road G,Fairmont,NE,68354.0,40.61125,-97.60154,FILLMORE COUNTY,325193,,1002073,126386-65-0
Carbon Dioxide,air,69012400.0,kg,2.0,GHGRP,2017,110059672705.0,Green Plains Hopewell LLC,701 S. 6th Ave,Hopewell,VA,23860.0,37.294726,-77.290025,HOPEWELL CITY,325193,,1002926,18923-20-1
Methane,air,1300.0,kg,2.0,GHGRP,2017,110059672705.0,Green Plains Hopewell LLC,701 S. 6th Ave,Hopewell,VA,23860.0,37.294726,-77.290025,HOPEWELL CITY,325193,,1002926,74-82-8
Nitrous Oxide,air,130.0,kg,2.0,GHGRP,2017,110059672705.0,Green Plains Hopewell LLC,701 S. 6th Ave,Hopewell,VA,23860.0,37.294726,-77.290025,HOPEWELL CITY,325193,,1002926,126386-65-0
Carbon Dioxide,air,92460200.0,kg,2.0,GHGRP,2017,110031262407.0,HERON LAKE BIOENERGY LLC,91246 390TH AVENUE,HERON LAKE,MN,56137.0,43.862199,-95.300983,COTTONWOOD COUNTY,325193,,1005929,18923-20-1
Methane,air,1740.0,kg,2.0,GHGRP,2017,110031262407.0,HERON LAKE BIOENERGY LLC,91246 390TH AVENUE,HERON LAKE,MN,56137.0,43.862199,-95.300983,COTTONWOOD COUNTY,325193,,1005929,74-82-8
Nitrous Oxide,air,174.0,kg,2.0,GHGRP,2017,110031262407.0,HERON LAKE BIOENERGY LLC,91246 390TH AVENUE,HERON LAKE,MN,56137.0,43.862199,-95.300983,COTTONWOOD COUNTY,325193,,1005929,126386-65-0
Carbon Dioxide,air,53265500.0,kg,2.0,GHGRP,2017,110022421912.0,"STERLING ETHANOL, LLC",450 ANGUS AVENUE,STERLING,CO,80751.0,40.6375,-103.190556,LOGAN COUNTY,325193,,1006055,18923-20-1
Methane,air,1000.0,kg,2.0,GHGRP,2017,110022421912.0,"STERLING ETHANOL, LLC",450 ANGUS AVENUE,STERLING,CO,80751.0,40.6375,-103.190556,LOGAN COUNTY,325193,,1006055,74-82-8
Nitrous Oxide,air,100.0,kg,2.0,GHGRP,2017,110022421912.0,"STERLING ETHANOL, LLC",450 ANGUS AVENUE,STERLING,CO,80751.0,40.6375,-103.190556,LOGAN COUNTY,325193,,1006055,126386-65-0
Carbon Dioxide,air,172817800.0,kg,5.0,GHGRP,2017,110000746211.0,Equistar Tuscola Plant,625 EAST US HIGHWAY 36,TUSCOLA,IL,61953.0,39.7983,-88.3501,Douglas,325193,,1007110,18923-20-1
Methane,air,3530.0,kg,5.0,GHGRP,2017,110000746211.0,Equistar Tuscola Plant,625 EAST US HIGHWAY 36,TUSCOLA,IL,61953.0,39.7983,-88.3501,Douglas,325193,,1007110,74-82-8
Carbon Dioxide,air,117512400.0,kg,2.0,GHGRP,2017,110032592317.0,"POET Biorefining - North Manchester, LLC",868 E 800 N,NORTH MANCHESTER,IN,46962.0,40.9461,-85.7834,WABASH COUNTY,325193,,1007525,18923-20-1
Methane,air,2210.0,kg,2.0,GHGRP,2017,110032592317.0,"POET Biorefining - North Manchester, LLC",868 E 800 N,NORTH MANCHESTER,IN,46962.0,40.9461,-85.7834,WABASH COUNTY,325193,,1007525,74-82-8
Nitrous Oxide,air,221.0,kg,2.0,GHGRP,2017,110032592317.0,"POET Biorefining - North Manchester, LLC",868 E 800 N,NORTH MANCHESTER,IN,46962.0,40.9461,-85.7834,WABASH COUNTY,325193,,1007525,126386-65-0
Carbon Dioxide,air,216811100.0,kg,2.0,GHGRP,2017,110071160116.0,"Cargill, Incorporated",1950 Harvest Avenue,Fort Dodge,IA,50501.0,42.50911,-94.31383,WEBSTER COUNTY,325193,,1011065,18923-20-1
Methane,air,4090.0,kg,2.0,GHGRP,2017,110071160116.0,"Cargill, Incorporated",1950 Harvest Avenue,Fort Dodge,IA,50501.0,42.50911,-94.31383,WEBSTER COUNTY,325193,,1011065,74-82-8
Nitrous Oxide,air,409.0,kg,2.0,GHGRP,2017,110071160116.0,"Cargill, Incorporated",1950 Harvest Avenue,Fort Dodge,IA,50501.0,42.50911,-94.31383,WEBSTER COUNTY,325193,,1011065,126386-65-0
Carbon Dioxide,air,79373800.0,kg,2.0,GHGRP,2017,110056339902.0,Three Rivers Energy LLC,18137 County Road 271,Coshocton,OH,43812.0,40.2154,-81.86021,COSHOCTON COUNTY,325193,,1011627,18923-20-1
Methane,air,1500.0,kg,2.0,GHGRP,2017,110056339902.0,Three Rivers Energy LLC,18137 County Road 271,Coshocton,OH,43812.0,40.2154,-81.86021,COSHOCTON COUNTY,325193,,1011627,74-82-8
Nitrous Oxide,air,150.0,kg,2.0,GHGRP,2017,110056339902.0,Three Rivers Energy LLC,18137 County Road 271,Coshocton,OH,43812.0,40.2154,-81.86021,COSHOCTON COUNTY,325193,,1011627,126386-65-0
Carbon Dioxide,air,22952000.0,kg,5.0,GHGRP,2017,110059809881.0,POET DSM Project Liberty LLC,3848 470th Ave,Emmetsburg,IA,50536.0,43.089625,-94.646632,PALO ALTO COUNTY,325193,,1011694,18923-20-1
Methane,air,4780.0,kg,5.0,GHGRP,2017,110059809881.0,POET DSM Project Liberty LLC,3848 470th Ave,Emmetsburg,IA,50536.0,43.089625,-94.646632,PALO ALTO COUNTY,325193,,1011694,74-82-8
Nitrous Oxide,air,622.0,kg,5.0,GHGRP,2017,110059809881.0,POET DSM Project Liberty LLC,3848 470th Ave,Emmetsburg,IA,50536.0,43.089625,-94.646632,PALO ALTO COUNTY,325193,,1011694,126386-65-0
Carbon Dioxide,air,10741800.0,kg,2.0,GHGRP,2017,110067327146.0,"AltEn, LLC",1344 County Road 10,Mead,NE,68041.0,41.1972,-96.4808,SAUNDERS COUNTY,325193,,1012036,18923-20-1
Methane,air,390050.0,kg,4.998461735674914,GHGRP,2017,110067327146.0,"AltEn, LLC",1344 County Road 10,Mead,NE,68041.0,41.1972,-96.4808,SAUNDERS COUNTY,325193,,1012036,74-82-8
