,FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID,CO2Amount,CO2Source,TotalFlowAmountminusCO2,Total_Flue_Gas_Amount,Concentration,FlowChemIdentifier
10,110071162506.0,Carbon Dioxide,air,1085674200.0,1090244845.0,kg,0.9958076894186094,GHGRP,2017.0,"CF Industries Nitrogen, LLC - Yazoo City Facility",MS,32.928056,-90.407222,YAZOO COUNTY,325311,,1004183,1085674200.0,GHGRP,4570645.0,1103556677.0779204,0.9837955970460248,18923-20-1
11,110071162506.0,Methane,air,8420.0,1090244845.0,kg,7.723035828708734e-06,GHGRP,2017.0,"CF Industries Nitrogen, LLC - Yazoo City Facility",MS,32.928056,-90.407222,YAZOO COUNTY,325311,,1004183,1085674200.0,GHGRP,4570645.0,1103556677.0779204,7.629875451703217e-06,74-82-8
12,110071162506.0,Nitrous Oxide,air,4562225.0,1090244845.0,kg,0.0041845875455618,GHGRP,2017.0,"CF Industries Nitrogen, LLC - Yazoo City Facility",MS,32.928056,-90.407222,YAZOO COUNTY,325311,,1004183,1085674200.0,GHGRP,4570645.0,1103556677.0779204,0.0041341102770364,126386-65-0
47,110038344002.0,"1,4-Dichlorobenzene",air,0.544310844,2015553723.662093,kg,2.7005523971399407e-10,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,2.6679153867621737e-10,106-46-7
48,110038344002.0,Acetaldehyde,air,540.863541988,2015553723.662093,kg,2.6834488986247217e-07,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,2.65101858931268e-07,75-07-0
49,110038344002.0,Acrolein,air,70.125380402,2015553723.662093,kg,3.4792116716486246e-08,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,3.4371643232786015e-08,25314-61-8
50,110038344002.0,Antimony,air,7.71107029,2015553723.662093,kg,3.825782562614917e-09,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,3.7795467979130804e-09,35734-21-5
51,110038344002.0,Arsenic,air,6.259574706,2015553723.662093,kg,3.1056352567109326e-09,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,3.0681026947765e-09,7784-42-1
52,110038344002.0,Benzene,air,234.144381394,2015553723.662093,kg,1.161687622836365e-07,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,1.1476482688721953e-07,27271-55-2
53,110038344002.0,Beryllium,air,1.995806428,2015553723.662093,kg,9.902025456179786e-10,NEI,2017.0,"MISSISSIPPI POWER COMPANY, DAVID M RATCL",MS,32.6538,-88.7574,Kemper,221112,,16908111,2010918100.0,GHGRP,4635623.662092859,2040210295.651785,9.78235641812797e-10,7440-41-7
