FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID
110040566633.0,Carbon Dioxide,air,1580135500.0,1580167741.0,kg,0.9999795964699421,GHGRP,2017.0,Washington Power Generation LLC,OH,39.5798,-81.6571,Washington,221112,,1000168
110015836069.0,Carbon Dioxide,air,79090200.0,79091817.0,kg,0.9999795554071036,GHGRP,2017.0,DTE East China,MI,42.774,-82.4818,Saint Clair,221112,,1000173
110022531606.0,Carbon Dioxide,air,90763200.0,90765059.0,kg,0.9999795185501945,GHGRP,2017.0,"Buchanan Units 1, 2",VA,37.1753,-81.9617,Buchanan,221112,,1000174
110067391067.0,Carbon Dioxide,air,11087500.0,11087731.0,kg,0.9999791661612282,GHGRP,2017.0,Kalkaska Ct Project #1,MI,44.6889,-85.2019,Kalkaska,221112,,1000182
110058928424.0,Carbon Dioxide,air,15088100500.0,15090098587.0,kg,0.999867589533065,GHGRP,2017.0,Labadie,MO,38.5583,-90.8361,Franklin,221112,,1000192
110071161799.0,Carbon Dioxide,air,32100.0,1097500.0,kg,0.029248291571753987,GHGRP,2017.0,Okaloosa Gas District,FL,30.50967,-86.49619,OKALOOSA COUNTY,221210,,1000205
110070560439.0,Carbon Dioxide,air,965302800.0,965421220.8993288,kg,0.9998773375840874,GHGRP,2017.0,Grant Town Power Plant,WV,39.5611,-80.1642,Marion,221112,,1000251
110053267059.0,Carbon Dioxide,air,193233500.0,193257238.0,kg,0.9998771688954802,GHGRP,2017.0,Mecklenburg Power Station,VA,36.6009,-78.53,Mecklenburg,221112,,1000257
110071160660.0,Carbon Dioxide,air,106601400.0,106607005.0,kg,0.9999474237176066,GHGRP,2017.0,Gordonsville Power Station,VA,38.1245,-78.2031,Louisa,221112,,1000263
110071160661.0,Carbon Dioxide,air,40786400.0,40787236.0,kg,0.9999795033916983,GHGRP,2017.0,Edgewood Energy,NY,40.7861,-73.2931,Suffolk,221112,,1000267
110070696981.0,Carbon Dioxide,air,3239200.0,3239356.0,kg,0.9999518422797617,GHGRP,2017.0,Shoreham Energy,NY,40.9572,-72.8664,Suffolk,221112,,1000268
110071160662.0,Carbon Dioxide,air,47687100.0,47688068.0,kg,0.9999797014213283,GHGRP,2017.0,Valencia Power Plant,NM,34.6063,-106.732,Valencia,221112,,1000270
110071160664.0,Carbon Dioxide,air,899450600.0,899468959.0,kg,0.9999795890677312,GHGRP,2017.0,Rocky Mountain Energy Center,CO,40.0911,-104.5947,Weld,221112,,1000271
110061870701.0,Carbon Dioxide,air,45782400.0,45783655.0,kg,0.9999725884707108,GHGRP,2017.0,Gravel Neck Combustion Turbine,VA,37.1575,-76.6911,Surry,221112,,1000302
110071160543.0,Carbon Dioxide,air,66902700.0,66904552.0,kg,0.9999723187743638,GHGRP,2017.0,Elizabeth River Combustion Turbine Sta,VA,36.7743,-76.3119,Chesapeake (City),221112,,1000312
110015375280.0,Carbon Dioxide,air,193395100.0,193399038.0,kg,0.999979637954559,GHGRP,2017.0,"Ocean Peaking Power, LP",NJ,40.0606,-74.1672,Ocean,221112,,1000373
110071161675.0,Carbon Dioxide,air,5847700700.0,5848475097.0,kg,0.9998675899294849,GHGRP,2017.0,Welsh Power Plant,TX,33.0583,-94.844,Titus,221112,,1000375
110071160900.0,Carbon Dioxide,air,115800.0,173960.0,kg,0.6656702690273626,GHGRP,2017.0,Middleborough Gas & Electric Department,MA,41.89142,-70.91059,PLYMOUTH COUNTY,221210,,1000388
110071161585.0,Carbon Dioxide,air,45356300.0,45357224.0,kg,0.999979628382901,GHGRP,2017.0,J Robert Massengale Generating Station,TX,33.6039,-101.8408,Lubbock,221112,,1000395
110061429342.0,Carbon Dioxide,air,192965700.0,192969649.0,kg,0.9999795356418978,GHGRP,2017.0,University of Florida Cogeneration Plant,FL,29.6397,-82.3486,Alachua,221112,,1000402
110071159476.0,Carbon Dioxide,air,9910900.0,9911124.0,kg,0.9999773991325303,GHGRP,2017.0,Alsey Station,IL,39.5697,-90.4362,Scott,221112,,1000417
110071159477.0,Carbon Dioxide,air,35773900.0,35774637.0,kg,0.9999793988126281,GHGRP,2017.0,C. R. Wing Cogeneration Plant,TX,32.2722,-101.4222,Howard,221112,,1000419
110000508745.0,Carbon Dioxide,air,2294700.0,2298111.561886838,kg,0.998515493354014,GHGRP,2017.0,Carson Hybrid Energy Storage,CA,33.8759,-118.2491,Los Angeles,221112,,1000422
110017841601.0,Carbon Dioxide,air,504793000.0,504803307.0,kg,0.9999795821464379,GHGRP,2017.0,Currant Creek Power Project,UT,39.8223,-111.894,Juab,221112,,1000436
110065828652.0,Carbon Dioxide,air,35709300.0,35766607.0,kg,0.9983977512879542,GHGRP,2017.0,PG&E BURNEY COMPRESSOR STATION,CA,41.0249681,-121.6932437,None,221210,,1000439
110028051523.0,Carbon Dioxide,air,143257800.0,143260726.0,kg,0.9999795757003214,GHGRP,2017.0,Nebo Power Station,UT,40.0614,-111.7294,Utah,221112,,1000444
110071160633.0,Carbon Dioxide,air,193178100.0,193182049.0,kg,0.9999795581420715,GHGRP,2017.0,Sheboygan Falls Energy Facility,WI,43.7519,-87.8783,Sheboygan,221112,,1000445
110000609994.0,Carbon Dioxide,air,60840000.0,60866550.60180018,kg,0.9995637899381898,GHGRP,2017.0,Miramar Energy Facility,CA,32.8769,-117.1664,San Diego,221112,,1000447
110028014529.0,Carbon Dioxide,air,1507400.0,1507473.0,kg,0.9999515745887323,GHGRP,2017.0,Dayton Avenue Substation,IA,42.0269,-93.5828,Story,221112,,1000448
110071160634.0,Carbon Dioxide,air,897364600.0,897382861.0,kg,0.9999796508259812,GHGRP,2017.0,Caithness Long Island Energy Center,NY,40.8142,-72.9403,Suffolk,221112,,1000450
110040566919.0,Carbon Dioxide,air,42371000.0,42371858.0,kg,0.9999797507109554,GHGRP,2017.0,Groton Generating Station,SD,45.3718,-98.1032,Brown,221112,,1000451
110063611890.0,Carbon Dioxide,air,1354779000.0,1354806632.0,kg,0.9999796044694886,GHGRP,2017.0,Lake Side Power Plant,UT,40.3311,-111.7547,Utah,221112,,1000454
110037786465.0,Carbon Dioxide,air,904220600.0,904239091.0,kg,0.9999795507624211,GHGRP,2017.0,Port Westward,OR,46.1792,-123.1717,Columbia,221112,,1000455
110071160714.0,Carbon Dioxide,air,3374868100.0,3374936960.0,kg,0.9999795966559328,GHGRP,2017.0,McIntosh Combined Cycle Facility,GA,32.3478,-81.1828,Effingham,221112,,1000460
110071160716.0,Carbon Dioxide,air,177809400.0,177813030.0,kg,0.9999795852981078,GHGRP,2017.0,Bluffview Power Plant,NM,36.7164,-108.2153,San Juan,221112,,1000463
110071160717.0,Carbon Dioxide,air,913484400.0,913503292.0,kg,0.9999793191768815,GHGRP,2017.0,Poletti 500 MW CC,NY,40.7881,-73.9056,Queens,221112,,1000467
110028022869.0,Carbon Dioxide,air,14097900.0,14517309.0,kg,0.971109728393878,GHGRP,2017.0,Cambridge Station,MN,45.601,-93.2081,Isanti,221112,,1000468
110040565242.0,Carbon Dioxide,air,54363800.0,54364900.0,kg,0.9999797663566015,GHGRP,2017.0,Riverside Energy Resource Center,CA,33.9636,-117.4528,Riverside,221112,,1000471
110071160718.0,Carbon Dioxide,air,237574300.0,237590360.0,kg,0.9999324046649031,GHGRP,2017.0,Quail Run Energy Center,TX,31.8414,-102.315,Ector,221112,,1000481
110071160719.0,Carbon Dioxide,air,993440500.0,993460773.0,kg,0.9999795935576411,GHGRP,2017.0,Colorado Bend I,TX,29.2878,-96.0683,Wharton,221112,,1000483
110070090551.0,Carbon Dioxide,air,15864900.0,15865230.0,kg,0.9999791997972926,GHGRP,2017.0,Roseville Energy Park,CA,38.7926,-121.3823,Placer,221112,,1000485
110071160722.0,Carbon Dioxide,air,30059200.0,30059816.0,kg,0.9999795075259277,GHGRP,2017.0,Black Mountain Generating Station,AZ,35.0361,-114.1594,Mohave,221112,,1000489
110070813491.0,Carbon Dioxide,air,7423464200.0,7423667107.0,kg,0.9999726675513496,GHGRP,2017.0,Elm Road Generating Station,WI,42.8445,-87.829,Milwaukee,221112,,1000491
110071161442.0,Carbon Dioxide,air,8897198300.0,8898332583.0,kg,0.9998725285901128,GHGRP,2017.0,Sandow Station,TX,30.5681,-97.0614,Milam,221112,,1000499
110035420719.0,Carbon Dioxide,air,66629700.0,66631064.0,kg,0.9999795290677033,GHGRP,2017.0,Salinas River Cogeneration Facility,CA,35.9515,-120.8679,Monterey,221112,,1000507
110064081096.0,Carbon Dioxide,air,9432600.0,9432831.154362416,kg,0.9999754946994562,GHGRP,2017.0,Electrifarm,IA,42.4407,-92.4205,Black Hawk,221112,,1000521
110040575106.0,Carbon Dioxide,air,49684700.0,49688000.0,kg,0.9999335855739816,GHGRP,2017.0,Hardin County Peaking Facility,TX,30.3039,-94.2527,Hardin,221112,,1000530
110040575099.0,Carbon Dioxide,air,118646400.0,118648820.0,kg,0.9999796036741031,GHGRP,2017.0,San Jacinto County Peaking Facility,TX,30.42,-95.0114,San Jacinto,221112,,1000531
110071161444.0,Carbon Dioxide,air,602965000.0,630957436.080537,kg,0.9556349850563233,GHGRP,2017.0,TES Filer City Station,MI,44.217,-86.2906,Manistee,221112,,1000534
110071161132.0,Carbon Dioxide,air,145602100.0,145605081.0,kg,0.9999795268133534,GHGRP,2017.0,Greenland Energy Center,FL,30.1603,-81.5164,Duval,221112,,1000544
110040575981.0,Carbon Dioxide,air,40366800.0,40381970.85133372,kg,0.9996243162229607,GHGRP,2017.0,"Midway Peaking, LLC",CA,36.654,-120.5797,Fresno,221112,,1000545
110071161134.0,Carbon Dioxide,air,273409400.0,273414977.0,kg,0.9999796024341417,GHGRP,2017.0,Panoche Energy Center,CA,36.6513,-120.5833,Fresno,221112,,1000546
110043815538.0,Carbon Dioxide,air,25482100.0,25482617.0,kg,0.9999797116599131,GHGRP,2017.0,Orange Grove Project,CA,33.359,-117.111,San Diego,221112,,1000548
110024471908.0,Carbon Dioxide,air,163528700.0,163532088.0,kg,0.9999792823534425,GHGRP,2017.0,North Island,CA,32.705,-117.189,San Diego,221112,,1000549
110071161135.0,Carbon Dioxide,air,2950973200.0,3156947838.0,kg,0.9347551342088408,GHGRP,2017.0,Virginia City Hybrid Energy Center,VA,36.9161,-82.3381,Wise,221112,,1000552
110055506527.0,Carbon Dioxide,air,526175500.0,526186258.0,kg,0.9999795547682281,GHGRP,2017.0,Pueblo Airport Generating Station,CO,38.322,-104.533,Pueblo,221112,,1000558
110071161138.0,Carbon Dioxide,air,193535700.0,193539649.0,kg,0.9999795959121534,GHGRP,2017.0,J.M. Shafer Generating Station,CO,40.0979,-104.7745,Weld,221112,,1000559
110039526377.0,Carbon Dioxide,air,511004000.0,511077719.60577774,kg,0.9998557565650982,GHGRP,2017.0,Spiritwood Station,ND,46.925,-98.5,Stutsman,221112,,1000561
110039589585.0,Carbon Dioxide,air,3282713300.0,3283157436.087246,kg,0.9998647228785424,GHGRP,2017.0,Dry Fork Station,WY,44.3901,-105.4591,Campbell,221112,,1000562
110061155707.0,Carbon Dioxide,air,26010700.0,26011228.0,kg,0.9999797010737056,GHGRP,2017.0,Culbertson Station,MT,48.2104,-104.3919,Roosevelt,221112,,1000563
110071159504.0,Carbon Dioxide,air,7837400.0,7837565.0,kg,0.9999789475430187,GHGRP,2017.0,Spring Creek Energy Center,OK,35.7422,-97.655,LOGAN COUNTY,221112,,1000586
110071160542.0,Carbon Dioxide,air,17700.0,605390.0,kg,0.029237351129024265,GHGRP,2017.0,UNS Gas,AZ,35.13778,-111.68052,COCONINO COUNTY,221210,,1000600
110067080456.0,Carbon Dioxide,air,30841000.0,30841650.0,kg,0.9999789246035798,GHGRP,2017.0,LUBRIZOL CORPORATION,OH,41.72107,-81.2755,LAKE COUNTY,325199,,1000618
110056537804.0,Carbon Dioxide,air,108788000.0,108813384.28705674,kg,0.9997667172359075,GHGRP,2017.0,LUBRIZOL DEER PARK PLANT,TX,29.71747,-95.11328,HARRIS COUNTY,325199,,1000620
110003266849.0,Carbon Dioxide,air,21823500.0,22848904.524787534,kg,0.9551223769316761,GHGRP,2017.0,HONEYWELL INTERNATIONAL INC - BATON ROUGE PLANT,LA,30.474444,-91.183056,EAST BATON ROUGE PARISH,325120,,1000625
110070737782.0,Carbon Dioxide,air,1040131500.0,1046001555.0,kg,0.9943881010769625,GHGRP,2017.0,ADVANSIX INCORPORATED - HOPEWELL,VA,37.1815,-77.1621,HOPEWELL CITY,325199,,1000630
110071162479.0,Carbon Dioxide,air,17624400.0,17624764.0,kg,0.9999793472411886,GHGRP,2017.0,HONEYWELL INTERNATIONAL INC,IL,37.171278,-88.756667,MASSAC COUNTY,325188,,1000631
110071161628.0,Carbon Dioxide,air,600400.0,600425.0,kg,0.9999583628263313,GHGRP,2017.0,Riverside,MD,39.2369,-76.5133,Baltimore,221112,,1000645
110071160047.0,Carbon Dioxide,air,18050800.0,18051163.0,kg,0.9999798904923743,GHGRP,2017.0,Westport,MD,39.2719,-76.6186,Baltimore,221112,,1000646
