,FRS_ID,FlowName,Compartment,FlowAmount,FlowSum,Unit,Concentration kg/kg,Source,Year,FacilityName,State,Latitude,Longitude,County,NAICS,SIC,FacilityID,CO2Amount,CO2Source,TotalFlowAmountminusCO2,Total_Flue_Gas_Amount,Concentration,FlowChemIdentifier
0,110070737782.0,Carbon Dioxide,air,1040131500.0,1046001555.0,kg,0.9943881010769624,GHGRP,2017.0,ADVANSIX INCORPORATED - HOPEWELL,VA,37.1815,-77.1621,HOPEWELL CITY,325199,,1000630,1040131500.0,GHGRP,5870055.0,1058754972.0628312,0.982410026347696,18923-20-1
1,110070737782.0,Methane,air,8200.0,1046001555.0,kg,7.839376491175484e-06,GHGRP,2017.0,ADVANSIX INCORPORATED - HOPEWELL,VA,37.1815,-77.1621,HOPEWELL CITY,325199,,1000630,1040131500.0,GHGRP,5870055.0,1058754972.0628312,7.744945918906509e-06,74-82-8
2,110070737782.0,Nitrous Oxide,air,855.0,1046001555.0,kg,8.173984024335413e-07,GHGRP,2017.0,ADVANSIX INCORPORATED - HOPEWELL,VA,37.1815,-77.1621,HOPEWELL CITY,325199,,1000630,1040131500.0,GHGRP,5870055.0,1058754972.0628312,8.075522878859837e-07,126386-65-0
3,110070737782.0,Biogenic CO2,air,5861000.0,1046001555.0,kg,0.0056032421481438,GHGRP,2017.0,ADVANSIX INCORPORATED - HOPEWELL,VA,37.1815,-77.1621,HOPEWELL CITY,325199,,1000630,1040131500.0,GHGRP,5870055.0,1058754972.0628312,0.0055357473208184,
4,110067123865.0,Carbon Dioxide,air,1253835000.0,1254699692.0,kg,0.9993108374812608,GHGRP,2017.0,"PCS Nitrogen Ohio, L.P.",OH,40.711256,-84.138157,ALLEN COUNTY,325311,,1002229,1253835000.0,GHGRP,864692.0,1270073402.6154125,0.9872145951706622,18923-20-1
5,110067123865.0,Methane,air,9190.0,1254699692.0,kg,7.324461828273088e-06,GHGRP,2017.0,"PCS Nitrogen Ohio, L.P.",OH,40.711256,-84.138157,ALLEN COUNTY,325311,,1002229,1253835000.0,GHGRP,864692.0,1270073402.6154125,7.235802262353807e-06,74-82-8
6,110067123865.0,Nitrous Oxide,air,855502.0,1254699692.0,kg,0.0006818380569109,GHGRP,2017.0,"PCS Nitrogen Ohio, L.P.",OH,40.711256,-84.138157,ALLEN COUNTY,325311,,1002229,1253835000.0,GHGRP,864692.0,1270073402.6154125,0.0006735846906472,126386-65-0
7,110070288634.0,Carbon Dioxide,air,852058000.0,852067317.0,kg,0.999989065417938,GHGRP,2017.0,AGRIUM US BORGER NITROGEN OPERATIONS,TX,35.6411,-101.4203,HUTCHINSON COUNTY,325311,,1002380,852058000.0,GHGRP,9317.0,862514698.9278829,0.9878764977096846,18923-20-1
8,110070288634.0,Methane,air,8470.0,852067317.0,kg,9.940529147182392e-06,GHGRP,2017.0,AGRIUM US BORGER NITROGEN OPERATIONS,TX,35.6411,-101.4203,HUTCHINSON COUNTY,325311,,1002380,852058000.0,GHGRP,9317.0,862514698.9278829,9.820122498234894e-06,74-82-8
9,110070288634.0,Nitrous Oxide,air,847.0,852067317.0,kg,9.940529147182393e-07,GHGRP,2017.0,AGRIUM US BORGER NITROGEN OPERATIONS,TX,35.6411,-101.4203,HUTCHINSON COUNTY,325311,,1002380,852058000.0,GHGRP,9317.0,862514698.9278829,9.820122498234896e-07,126386-65-0
