,mean,median,emissions,sector,minimum,maximum
0,2.5901E-5,1.9671E-5,Volatile Organic Compounds,w/o outliers,0.0000E+4,1.3095E-4
0,1.1934E-4,2.1042E-5,Volatile Organic Compounds,w. outliers,0.0000E+4,1.8915E-3
0,1.0048E-4,2.2981E-6,Sulfur Dioxide,w/o outliers,1.0985E-6,1.4377E-3
0,4.6731E-4,2.4245E-6,Sulfur Dioxide,w. outliers,1.0985E-6,7.5365E-3
0,3.3775E-4,3.3628E-4,Nitrogen Oxides,w/o outliers,3.4601E-5,7.8923E-4
0,6.0798E-4,3.5592E-4,Nitrogen Oxides,w. outliers,3.4601E-5,4.4199E-3
0,4.7597E-6,1.7380E-6,PM10-PM2.5,w/o outliers,0.0000E+4,2.3243E-5
0,8.7688E-6,1.8675E-6,PM10-PM2.5,w. outliers,0.0000E+4,7.3111E-5
0,6.8992E-6,7.3012E-6,Methane,w/o outliers,7.2685E-7,1.1018E-5
0,1.0935E-5,7.2891E-6,Methane,w. outliers,4.3863E-7,1.3541E-4
0,9.8597E-1,9.8599E-1,Carbon Dioxide,w/o outliers,9.8241E-1,9.8788E-1
0,9.8519E-1,9.8571E-1,Carbon Dioxide,w. outliers,9.7794E-1,9.8788E-1
0,6.3356E-4,1.3321E-4,Nitrous Oxide,w/o outliers,3.1223E-7,2.4141E-3
0,6.9539E-4,6.0606E-5,Nitrous Oxide,w. outliers,5.1173E-8,4.1341E-3
