FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier_x,FlowChemIdentifier_y
Carbon Dioxide,air,3603247300.0,kg,2.701571080064363,GHGRP,2017.0,110071161108.0,US Steel (Edgar Thomson),13th Street and Braddock Avenue,Braddock,PA,15104.0,40.3925,-79.8564,Allegheny,331111,,1000233,18923-20-1,18923-20-1
Methane,air,3250.0,kg,2.036923076923077,GHGRP,2017.0,110071161108.0,US Steel (Edgar Thomson),13th Street and Braddock Avenue,Braddock,PA,15104.0,40.3925,-79.8564,Allegheny,331111,,1000233,74-82-8,74-82-8
Nitrous Oxide,air,1750.0,kg,2.334285714285714,GHGRP,2017.0,110071161108.0,US Steel (Edgar Thomson),13th Street and Braddock Avenue,Braddock,PA,15104.0,40.3925,-79.8564,Allegheny,331111,,1000233,126386-65-0,126386-65-0
Carbon Dioxide,air,365713000.0,kg,2.304647906965298,GHGRP,2017.0,110071159536.0,US STEEL - IRVIN WORKS,None,West Mifflin,PA,15122.0,40.3372,-79.9108,ALLEGHENY COUNTY,331111,,1000802,18923-20-1,18923-20-1
Methane,air,4400.0,kg,2.2590909090909093,GHGRP,2017.0,110071159536.0,US STEEL - IRVIN WORKS,None,West Mifflin,PA,15122.0,40.3372,-79.9108,ALLEGHENY COUNTY,331111,,1000802,74-82-8,74-82-8
Nitrous Oxide,air,763.0,kg,2.3184796854521625,GHGRP,2017.0,110071159536.0,US STEEL - IRVIN WORKS,None,West Mifflin,PA,15122.0,40.3372,-79.9108,ALLEGHENY COUNTY,331111,,1000802,126386-65-0,126386-65-0
Carbon Dioxide,air,77846700.0,kg,2.8122386690765317,GHGRP,2017.0,110041343267.0,GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,384 OLD GRASSDALE RD NE,CARTERSVILLE,GA,30121.0,34.242779,-84.797775,BARTOW COUNTY,331111,,1001103,18923-20-1,18923-20-1
Methane,air,1070.0,kg,2.0,GHGRP,2017.0,110041343267.0,GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,384 OLD GRASSDALE RD NE,CARTERSVILLE,GA,30121.0,34.242779,-84.797775,BARTOW COUNTY,331111,,1001103,74-82-8,74-82-8
Nitrous Oxide,air,107.0,kg,2.0,GHGRP,2017.0,110041343267.0,GERDAU AMERISTEEL CARTERSVILLE STEEL MILL,384 OLD GRASSDALE RD NE,CARTERSVILLE,GA,30121.0,34.242779,-84.797775,BARTOW COUNTY,331111,,1001103,126386-65-0,126386-65-0
Carbon Dioxide,air,41438300.0,kg,2.774790471616837,GHGRP,2017.0,110010957857.0,ELLWOOD QUALITY STEELS,700 MORAVIA STREET,NEW CASTLE,PA,16101.0,40.99341,-80.34696,LAWRENCE COUNTY,331111,,1001669,18923-20-1,18923-20-1
