FACILITY_ID,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural
1000011,65,1.33,470,36.6666,26.4,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,,,,,,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,150,26,250,25000.0005,47.1,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,150.5,21.75,250,25000.0005,68.3,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,65.5,1.33,470,36.6666,26.4,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,75,6.5,70,700.0,21.4,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,150,4,1350,633.3333,50.42,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,213,4.5,320,397.6666,25.01,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,70,2,150,116.6666,37.15,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,67.5,2,160,151.2333,48.16,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1000011,70,2,140,191.6666,61.04,1000011,Nucor Steel Decatur LLC,4301 Iverson Rd,Trinity,AL,35609,34.638906,-87.089036,Morgan,331110,,
1001311,1,,,,,1001311,"NUCOR STEEL BIRMINGHAM,INC.",2301 Shuttlesworth DR,Birmingham,AL,35234,33.54495,-86.80547,Jefferson,331110,,
1001311,2,48,6,523.0,428.0333,1001311,"NUCOR STEEL BIRMINGHAM,INC.",2301 Shuttlesworth DR,Birmingham,AL,35234,33.54495,-86.80547,Jefferson,331110,,
1001311,3,99,29,125.0,3333.3334,1001311,"NUCOR STEEL BIRMINGHAM,INC.",2301 Shuttlesworth DR,Birmingham,AL,35234,33.54495,-86.80547,Jefferson,331110,,
1002411,1,,,,,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1002411,2,8,.7,500.0,13.3333,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1002411,3,51,1,70.0,10.6666,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1002411,2,30,29,417.0,,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1002411,2,30,2,150.0,490.55,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1002411,2,75,4,600.0,750,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1002411,2,90,11.8,165.0,3661.8,1002411,"SMI STEEL, INC.",101 50th ST S,Birmingham,AL,35232,33.534104,-86.757929,Jefferson,331110,,
1003711,180,20,220,31666.6673,100.84,1003711,Nucor Tuscaloosa,1700 Holt Rd,Tuscaloosa,AL,35404,33.233603,-87.508751,Tuscaloosa,331110,,
1003711,160,7.3,150,2500.0,59.73,1003711,Nucor Tuscaloosa,1700 Holt Rd,Tuscaloosa,AL,35404,33.233603,-87.508751,Tuscaloosa,331110,,
1003711,,,,,,1003711,Nucor Tuscaloosa,1700 Holt Rd,Tuscaloosa,AL,35404,33.233603,-87.508751,Tuscaloosa,331110,,
1003711,31,2.3,200,208.3333,48,1003711,Nucor Tuscaloosa,1700 Holt Rd,Tuscaloosa,AL,35404,33.233603,-87.508751,Tuscaloosa,331110,,
1003711,150.5,8,915,2677.2333,53.28,1003711,Nucor Tuscaloosa,1700 Holt Rd,Tuscaloosa,AL,35404,33.233603,-87.508751,Tuscaloosa,331110,,
1008911,179,10,800,1822.12,23.2,1008911,NUCOR-YAMATO STEEL COMPANY,5929 EAST STATE HWY 18,BLYTHEVILLE,AR,72316,35.899166,-89.774723,Mississippi,331110,,
1008911,,,,,,1008911,NUCOR-YAMATO STEEL COMPANY,5929 EAST STATE HWY 18,BLYTHEVILLE,AR,72316,35.899166,-89.774723,Mississippi,331110,,
1008911,170,6.5,187,3086.03,93,1008911,NUCOR-YAMATO STEEL COMPANY,5929 EAST STATE HWY 18,BLYTHEVILLE,AR,72316,35.899166,-89.774723,Mississippi,331110,,
1008911,138,1.8,505,101.79,40,1008911,NUCOR-YAMATO STEEL COMPANY,5929 EAST STATE HWY 18,BLYTHEVILLE,AR,72316,35.899166,-89.774723,Mississippi,331110,,
1008911,138,2,1832,103.04,32.8,1008911,NUCOR-YAMATO STEEL COMPANY,5929 EAST STATE HWY 18,BLYTHEVILLE,AR,72316,35.899166,-89.774723,Mississippi,331110,,
