,mean,median,emissions,sector,minimum,maximum
0,1.1216E-3,1.1216E-3,Volatile Organic Compounds,w/o outliers,1.1216E-3,1.1216E-3
0,6.1979E-4,7.0924E-4,Volatile Organic Compounds,w. outliers,2.8492E-5,1.1216E-3
0,1.0140E-4,1.0140E-4,Sulfur Dioxide,w/o outliers,1.0140E-4,1.0140E-4
0,3.6279E-3,1.0140E-4,Sulfur Dioxide,w. outliers,5.9213E-6,1.0777E-2
0,3.7379E-3,3.7379E-3,Nitrogen Oxides,w/o outliers,3.7379E-3,3.7379E-3
0,3.4710E-3,3.7379E-3,Nitrogen Oxides,w. outliers,3.0305E-4,6.3720E-3
0,0.0000E+4,0.0000E+4,PM10-PM2.5,w/o outliers,0.0000E+4,0.0000E+4
0,0.0000E+4,0.0000E+4,PM10-PM2.5,w. outliers,0.0000E+4,0.0000E+4
0,5.3814E-3,2.5457E-3,Methane,w/o outliers,1.1793E-5,2.2533E-2
0,6.1203E-3,2.6393E-3,Methane,w. outliers,1.1793E-5,2.5922E-2
0,9.8992E-1,9.9151E-1,Carbon Dioxide,w/o outliers,9.7344E-1,9.9587E-1
0,9.8801E-1,9.9151E-1,Carbon Dioxide,w. outliers,9.7007E-1,9.9587E-1
0,9.3900E-7,7.4611E-7,Nitrous Oxide,w/o outliers,3.2195E-7,1.8240E-6
0,9.0526E-7,7.4611E-7,Nitrous Oxide,w. outliers,8.6267E-8,1.8240E-6
