FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier_x,FlowChemIdentifier_y
Carbon Dioxide,air,1062468000.0,kg,4.408726380465106,GHGRP,2011.0,110067022518.0,Milagro Cogeneration and Gas Plant,188 CR 4900,BLOOMFIELD,NM,87413,36.7367,-107.9417,San Juan,213112,,1001286,18923-20-1,18923-20-1
Methane,air,12581.428,kg,4.058135531197253,GHGRP,2011.0,110067022518.0,Milagro Cogeneration and Gas Plant,188 CR 4900,BLOOMFIELD,NM,87413,36.7367,-107.9417,San Juan,213112,,1001286,74-82-8,74-82-8
Nitrous Oxide,air,796.0,kg,3.530150753768844,GHGRP,2011.0,110067022518.0,Milagro Cogeneration and Gas Plant,188 CR 4900,BLOOMFIELD,NM,87413,36.7367,-107.9417,San Juan,213112,,1001286,126386-65-0,126386-65-0
Carbon Dioxide,air,27600100.0,kg,2.2091405465922227,GHGRP,2011.0,110018125456.0,"NGPL Station 206 Storage, St Elmo, IL",2513 N 2125 St,St. Elmo,IL,62458,39.102213,-88.860062,FAYETTE,486210,,1002839,18923-20-1,18923-20-1
Methane,air,74813.332,kg,4.980752093757834,GHGRP,2011.0,110018125456.0,"NGPL Station 206 Storage, St Elmo, IL",2513 N 2125 St,St. Elmo,IL,62458,39.102213,-88.860062,FAYETTE,486210,,1002839,74-82-8,74-82-8
Nitrous Oxide,air,50.9677852,kg,2.056964523543785,GHGRP,2011.0,110018125456.0,"NGPL Station 206 Storage, St Elmo, IL",2513 N 2125 St,St. Elmo,IL,62458,39.102213,-88.860062,FAYETTE,486210,,1002839,126386-65-0,126386-65-0
Carbon Dioxide,air,53644100.0,kg,2.5758340619005637,GHGRP,2011.0,110071161080.0,Chandler Compressor Station/Wilburton Compressor Station,1503 SW 1050th Avenue,WILBURTON,OK,74578,34.88861,-95.40564,LATIMER,213112,,1003211,18923-20-1,18923-20-1
Methane,air,704610.476,kg,4.996508709302812,GHGRP,2011.0,110071161080.0,Chandler Compressor Station/Wilburton Compressor Station,1503 SW 1050th Avenue,WILBURTON,OK,74578,34.88861,-95.40564,LATIMER,213112,,1003211,74-82-8,74-82-8
Nitrous Oxide,air,82.0,kg,2.0,GHGRP,2011.0,110071161080.0,Chandler Compressor Station/Wilburton Compressor Station,1503 SW 1050th Avenue,WILBURTON,OK,74578,34.88861,-95.40564,LATIMER,213112,,1003211,126386-65-0,126386-65-0
Carbon Dioxide,air,221769000.0,kg,3.8208987730476314,GHGRP,2011.0,110071161289.0,Clear Lake Amine Plant,211 Yearwood Road,Williams,LA,71052,32.239218,-93.520564,CADDO,213112,,1003475,18923-20-1,18923-20-1
Methane,air,5133530.9520000005,kg,4.99903575140653,GHGRP,2011.0,110071161289.0,Clear Lake Amine Plant,211 Yearwood Road,Williams,LA,71052,32.239218,-93.520564,CADDO,213112,,1003475,74-82-8,74-82-8
Nitrous Oxide,air,166.0,kg,2.0,GHGRP,2011.0,110071161289.0,Clear Lake Amine Plant,211 Yearwood Road,Williams,LA,71052,32.239218,-93.520564,CADDO,213112,,1003475,126386-65-0,126386-65-0
Carbon Dioxide,air,431439100.0,kg,4.452124065714026,GHGRP,2011.0,110071161837.0,Magnolia Amine Plant,5052 Highway 371,Ringgold,LA,71068,32.267848,-93.298611,BIENVILLE,213112,,1003483,18923-20-1,18923-20-1
Methane,air,428213.812,kg,4.989561289536359,GHGRP,2011.0,110071161837.0,Magnolia Amine Plant,5052 Highway 371,Ringgold,LA,71068,32.267848,-93.298611,BIENVILLE,213112,,1003483,74-82-8,74-82-8
Nitrous Oxide,air,200.6127517,kg,2.771826585238948,GHGRP,2011.0,110071161837.0,Magnolia Amine Plant,5052 Highway 371,Ringgold,LA,71068,32.267848,-93.298611,BIENVILLE,213112,,1003483,126386-65-0,126386-65-0
