FACILITY_ID,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC
1003211,1,,,,,1003211,"ALLWORTH, INC.",500 Medco RD,Birmingham,AL,35217,33.5937,-86.76999999999998,Jefferson,325998,
1003211,2,18,1,435.0,,1003211,"ALLWORTH, INC.",500 Medco RD,Birmingham,AL,35217,33.5937,-86.76999999999998,Jefferson,325998,
1003211,2,21,.17,80.0,.1166,1003211,"ALLWORTH, INC.",500 Medco RD,Birmingham,AL,35217,33.5937,-86.76999999999998,Jefferson,325998,
2670411,107,2.5,600,83.3333,16.98,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,29,1.35,420,33.0,23.0452,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,37,1.84,430,55.0,20.6758,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,30,1.6,77,10.45,5.1953,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,25,.25,1800,0.9666,19.6848,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,38,1.8,800,216.6666,85.1103,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,29,2,750,275.0,87.5,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
2670411,29,1.3,550,97.25,73.2383,2670411,Natural Gas Pipeline Co,RR 2 Box 142b,St Elmo,IL,62458,39.1019,-88.85949999999998,Fayette,486210,
