,mean,median,emissions,sector,minimum,maximum
0,1.0020E-4,6.6475E-5,Volatile Organic Compounds,w/o outliers,0.0000E+4,9.1014E-4
0,1.3342E-4,6.8328E-5,Volatile Organic Compounds,w. outliers,0.0000E+4,1.7179E-3
0,2.8017E-4,1.7685E-4,Sulfur Dioxide,w/o outliers,8.7774E-6,2.0167E-3
0,3.3181E-4,1.8231E-4,Sulfur Dioxide,w. outliers,8.7774E-6,3.0808E-3
0,5.8286E-4,3.5307E-4,Nitrogen Oxides,w/o outliers,9.9329E-5,4.3719E-3
0,6.9390E-4,3.8215E-4,Nitrogen Oxides,w. outliers,9.9329E-5,6.2095E-3
0,4.5921E-5,1.7371E-5,PM10-PM2.5,w/o outliers,0.0000E+4,3.8770E-4
0,6.2017E-5,1.8447E-5,PM10-PM2.5,w. outliers,0.0000E+4,1.3215E-3
0,4.4973E-5,3.0453E-6,Methane,w/o outliers,8.2297E-8,3.1496E-3
0,1.1854E-4,3.1159E-6,Methane,w. outliers,8.2297E-8,6.5334E-3
0,3.5043E-1,3.5069E-1,Carbon Dioxide,w/o outliers,3.4531E-1,3.5150E-1
0,3.5025E-1,3.5065E-1,Carbon Dioxide,w. outliers,3.4398E-1,3.5150E-1
0,3.2460E-7,3.0504E-7,Nitrous Oxide,w/o outliers,6.2196E-10,1.1982E-6
0,4.1387E-7,3.0677E-7,Nitrous Oxide,w. outliers,6.2196E-10,6.1738E-6
