FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,FlowChemIdentifier_x,FlowChemIdentifier_y
Carbon Dioxide,air,134314000.0,kg,5.0,GHGRP,2011.0,110015969941.0,NUCOR STEEL SEATTLE INC,2424 SOUTHWEST ANDOVER STREET,SEATTLE,WA,98106,47.569331,-122.367332,KING,331111,,1000029,18923-20-1,18923-20-1
Methane,air,740.0,kg,5.0,GHGRP,2011.0,110015969941.0,NUCOR STEEL SEATTLE INC,2424 SOUTHWEST ANDOVER STREET,SEATTLE,WA,98106,47.569331,-122.367332,KING,331111,,1000029,74-82-8,74-82-8
Nitrous Oxide,air,7.0,kg,5.0,GHGRP,2011.0,110015969941.0,NUCOR STEEL SEATTLE INC,2424 SOUTHWEST ANDOVER STREET,SEATTLE,WA,98106,47.569331,-122.367332,KING,331111,,1000029,126386-65-0,126386-65-0
Carbon Dioxide,air,648359500.0,kg,2.1466223599715897,GHGRP,2011.0,110042043384.0,US Steel (Clairton Coke),400 STATE ST,CLAIRTON,PA,15025,40.3097,-79.8819,Allegheny,324199,,1000124,18923-20-1,18923-20-1
Methane,air,11150.0,kg,2.0,GHGRP,2011.0,110042043384.0,US Steel (Clairton Coke),400 STATE ST,CLAIRTON,PA,15025,40.3097,-79.8819,Allegheny,324199,,1000124,74-82-8,74-82-8
Nitrous Oxide,air,2220.0,kg,2.0,GHGRP,2011.0,110042043384.0,US Steel (Clairton Coke),400 STATE ST,CLAIRTON,PA,15025,40.3097,-79.8819,Allegheny,324199,,1000124,126386-65-0,126386-65-0
Carbon Dioxide,air,4519321500.0,kg,3.0220702377558224,GHGRP,2011.0,110000392557.0,AK Steel Corporation - Middletown,1801 CRAWFORD STREET,MIDDLETOWN,OH,45043,39.4968,-84.3901,Butler,331111,,1000274,18923-20-1,18923-20-1
Methane,air,29160.0,kg,2.0185185185185186,GHGRP,2011.0,110000392557.0,AK Steel Corporation - Middletown,1801 CRAWFORD STREET,MIDDLETOWN,OH,45043,39.4968,-84.3901,Butler,331111,,1000274,74-82-8,74-82-8
Nitrous Oxide,air,4404.0,kg,2.438010899182561,GHGRP,2011.0,110000392557.0,AK Steel Corporation - Middletown,1801 CRAWFORD STREET,MIDDLETOWN,OH,45043,39.4968,-84.3901,Butler,331111,,1000274,126386-65-0,126386-65-0
Carbon Dioxide,air,99331600.0,kg,2.36109354928341,GHGRP,2011.0,110002097766.0,CHAPARRAL STEEL,25801 HOFHEIMER WAY,PETERSBURG,VA,23803,37.179193,-77.447791,PETERSBURG CITY,331111,,1000394,18923-20-1,18923-20-1
Methane,air,1650.0,kg,2.0,GHGRP,2011.0,110002097766.0,CHAPARRAL STEEL,25801 HOFHEIMER WAY,PETERSBURG,VA,23803,37.179193,-77.447791,PETERSBURG CITY,331111,,1000394,74-82-8,74-82-8
Nitrous Oxide,air,165.0,kg,2.0,GHGRP,2011.0,110002097766.0,CHAPARRAL STEEL,25801 HOFHEIMER WAY,PETERSBURG,VA,23803,37.179193,-77.447791,PETERSBURG CITY,331111,,1000394,126386-65-0,126386-65-0
Carbon Dioxide,air,31994800.0,kg,2.0563247777763887,GHGRP,2011.0,110000582977.0,UNION ELEC HARMON CREEK PLT,31 UNION ELECTRIC STEEL ROAD ROUTE 18 NORTH,BURGETTSTOWN,PA,15021,40.411247,-80.408185,WASHINGTON COUNTY,333516,,1000399,18923-20-1,18923-20-1
Methane,air,160.0,kg,2.0,GHGRP,2011.0,110000582977.0,UNION ELEC HARMON CREEK PLT,31 UNION ELECTRIC STEEL ROAD ROUTE 18 NORTH,BURGETTSTOWN,PA,15021,40.411247,-80.408185,WASHINGTON COUNTY,333516,,1000399,74-82-8,74-82-8
Nitrous Oxide,air,40.0,kg,2.0,GHGRP,2011.0,110000582977.0,UNION ELEC HARMON CREEK PLT,31 UNION ELECTRIC STEEL ROAD ROUTE 18 NORTH,BURGETTSTOWN,PA,15021,40.411247,-80.408185,WASHINGTON COUNTY,333516,,1000399,126386-65-0,126386-65-0
Carbon Dioxide,air,11369260200.0,kg,2.6761404581100185,GHGRP,2011.0,110000398374.0,US Steel Corp - Gary Works,1 NORTH BROADWAY,GARY,IN,46402,41.6133,-87.3281,Lake,331111,,1000418,18923-20-1,18923-20-1
Methane,air,2752890.0,kg,4.967372470385667,GHGRP,2011.0,110000398374.0,US Steel Corp - Gary Works,1 NORTH BROADWAY,GARY,IN,46402,41.6133,-87.3281,Lake,331111,,1000418,74-82-8,74-82-8
Nitrous Oxide,air,7119.0,kg,2.2473662031184154,GHGRP,2011.0,110000398374.0,US Steel Corp - Gary Works,1 NORTH BROADWAY,GARY,IN,46402,41.6133,-87.3281,Lake,331111,,1000418,126386-65-0,126386-65-0
Carbon Dioxide,air,3934892400.0,kg,2.759292477730776,GHGRP,2011.0,110000397794.0,ArcelorMittal Indiana Harbor LLC,3001 Dickey Road,East Chicago,IN,46312,41.651165,-87.459167,LAKE,331111,,1000588,18923-20-1,18923-20-1
Methane,air,9460.0,kg,2.0158562367864694,GHGRP,2011.0,110000397794.0,ArcelorMittal Indiana Harbor LLC,3001 Dickey Road,East Chicago,IN,46312,41.651165,-87.459167,LAKE,331111,,1000588,74-82-8,74-82-8
Nitrous Oxide,air,2215.0,kg,2.3372460496614,GHGRP,2011.0,110000397794.0,ArcelorMittal Indiana Harbor LLC,3001 Dickey Road,East Chicago,IN,46312,41.651165,-87.459167,LAKE,331111,,1000588,126386-65-0,126386-65-0
Carbon Dioxide,air,19284000.0,kg,2.670970752955818,GHGRP,2011.0,110000342889.0,ROANOKE ELECTRIC STEEL CORPORATION,102 WESTSIDE BOULEVARD,ROANOKE,VA,24017,37.27251,-79.99861,ROANOKE CITY,331111,,1000714,18923-20-1,18923-20-1
