,mean,median,emissions,sector,minimum,maximum
0,5.2224E-4,3.5533E-4,Volatile Organic Compounds,w/o outliers,1.3603E-7,3.3259E-3
0,5.9291E-4,3.7157E-4,Volatile Organic Compounds,w. outliers,1.3603E-7,5.2313E-3
0,8.7482E-4,2.9058E-5,Sulfur Dioxide,w/o outliers,6.4182E-9,1.2399E-2
0,1.1982E-3,3.4259E-5,Sulfur Dioxide,w. outliers,6.4182E-9,2.6996E-2
0,2.0750E-3,1.0009E-3,Nitrogen Oxides,w/o outliers,3.0165E-8,1.3378E-2
0,2.2123E-3,1.1114E-3,Nitrogen Oxides,w. outliers,3.0165E-8,1.4291E-2
0,7.2729E-7,0.0000E+4,PM10-PM2.5,w/o outliers,0.0000E+4,1.3916E-5
0,1.0407E-6,0.0000E+4,PM10-PM2.5,w. outliers,0.0000E+4,2.9236E-5
0,4.9743E-3,1.6026E-3,Methane,w/o outliers,7.4747E-6,1.5902E-1
0,8.3619E-3,1.6990E-3,Methane,w. outliers,7.4747E-6,3.5918E-1
0,9.8935E-1,9.9318E-1,Carbon Dioxide,w/o outliers,8.3752E-1,9.9588E-1
0,9.8578E-1,9.9297E-1,Carbon Dioxide,w. outliers,6.3818E-1,9.9588E-1
0,1.3051E-6,1.3754E-6,Nitrous Oxide,w/o outliers,2.1521E-7,3.3973E-6
0,1.3569E-6,1.3822E-6,Nitrous Oxide,w. outliers,2.1521E-7,7.9173E-6
