,mean,median,emissions,sector,minimum,maximum
0,5.1654E-4,3.5580E-4,Volatile Organic Compounds,w/o outliers,6.8616E-5,2.3857E-3
0,5.6274E-4,3.7173E-4,Volatile Organic Compounds,w. outliers,0.0000E+4,2.6975E-3
0,2.8498E-4,1.2033E-4,Sulfur Dioxide,w/o outliers,5.2694E-6,1.9757E-3
0,3.9518E-4,1.2436E-4,Sulfur Dioxide,w. outliers,5.2694E-6,5.4647E-3
0,4.9997E-4,5.0449E-4,Nitrogen Oxides,w/o outliers,1.0548E-4,1.0903E-3
0,5.7565E-4,5.1704E-4,Nitrogen Oxides,w. outliers,1.0548E-4,4.7505E-3
0,1.6529E-5,5.0038E-6,PM10-PM2.5,w/o outliers,0.0000E+4,1.0826E-4
0,1.9346E-5,5.4330E-6,PM10-PM2.5,w. outliers,0.0000E+4,1.5096E-4
0,2.3521E-4,1.3799E-4,Methane,w/o outliers,1.9548E-5,1.8257E-3
0,3.6865E-4,1.4705E-4,Methane,w. outliers,1.9548E-5,8.1154E-3
0,9.9817E-1,9.9836E-1,Carbon Dioxide,w/o outliers,9.9121E-1,9.9994E-1
0,9.9775E-1,9.9820E-1,Carbon Dioxide,w. outliers,9.7995E-1,9.9994E-1
0,6.9565E-6,7.8376E-6,Nitrous Oxide,w/o outliers,3.3567E-7,1.4072E-5
0,7.1381E-6,7.8476E-6,Nitrous Oxide,w. outliers,3.3567E-7,2.2216E-5
