TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
96950CMMNWCHALA,COMMONWEALTH UTILITIES CORP (CUC),221112,issues,issues,issues,issues,issues,COMMONWEALTH UTILITIES CORP (CUC),110055500186,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
00785SPRTRKM142,AES PUERTO RICO LP,221112,issues,issues,issues,issues,issues,AES CORP,110012141805,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
9024WSTBND1722W,STABOND CORP,325199,issues,issues,issues,issues,issues,issues,110066597542,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
26050DTCNV2567C,CAMPBELL TRANSPORTATION CO INC,325199,488390.0,488310.0,483211.0,488330.0,issues,BLUE DANUBE INC,110007886109,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
77503MCCHM1500N,PURITY ISOBUTYLENE PLANT,325199,issues,issues,issues,issues,issues,ENTERPRISE PRODUCTS OPERATING LLC,110000462678,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
6154WCRNPR831WR,INGREDION,325199,issues,issues,issues,issues,issues,INGREDION INC,110037066260,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
00693PRPVGPR2KM,PREPA-VEGA BAJA GAS TURBINES POWER PLANT,221112,221122.0,221121.0,issues,issues,issues,PUERTO RICO ELECTRIC POWER AUTHORITY,110000580719,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
96952CMMNWSANJS,COMMONWEALTH UTILITIES CORP (CUC),221112,issues,issues,issues,issues,issues,COMMONWEALTH UTILITIES CORP,110055500202,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
00751PRPGRPRO3K,PREPA - AGUIRRE POWER GENERATI ON COMPLEX,221112,221121.0,221122.0,issues,issues,issues,PUERTO RICO ELECTRIC POWER AUTHORITY,110000307800,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
00804VRGNSKRUMB,VIRGIN ISLANDS WATER & POWER AUTHORITY,221112,issues,issues,issues,issues,issues,VIRGIN ISLANDS WATER & POWER AUTHORITY,110000580960,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
