TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
68801PLTTG1035W,PLATTE GENERATING STATION,221112,issues,issues,issues,issues,issues,CITY OF GRAND ISLAND,110000448249,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
59323MNTNPWILLO,COLSTRIP STEAM ELECTRIC STATION,221112,issues,issues,issues,issues,issues,issues,110041982520,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
34428FLRDP15760,DUKE ENERGY FLORIDA LLC-CRYSTAL RIVER POWER PLANT,221112,221113.0,issues,issues,issues,issues,DUKE ENERGY CORP,110017431215,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
82637PCFCR1591T,PACIFICORP DAVE JOHNSTON PLANT,221112,issues,issues,issues,issues,issues,BERKSHIRE HATHAWAY INC,110013320245,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
47670PSNRGHWY64,DUKE ENERGY INDIANA INC. - GIBSON GENERATING STATION,221112,issues,issues,issues,issues,issues,DUKE ENERGY CORP,110000592813,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
62959STHRN11543,SOUTHERN ILLINOIS POWER COOPERATIVE,221112,issues,issues,issues,issues,issues,issues,110017420049,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
48161DTRTD3500E,DTE ELECTRIC CO - MONROE POWER PLANT,221112,issues,issues,issues,issues,issues,DTE ENERGY CO,110000405927,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
23692YRKTW1600W,YORKTOWN POWER STATION,221112,issues,issues,issues,issues,issues,DOMINION ENERGY INC,110000342371,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
96950CMMNWCHALA,COMMONWEALTH UTILITIES CORP (CUC),221112,issues,issues,issues,issues,issues,COMMONWEALTH UTILITIES CORP (CUC),110055500186,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
76629TXSNWHWY6X,TWIN OAKS,221112,issues,issues,issues,issues,issues,MAJOR OAK POWER LLC,110015666144,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
54806NRTHR122N1,XCEL ENERGY BAY FRONT PLANT,221112,issues,issues,issues,issues,issues,XCEL ENERGY,110000422846,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
28682DKNRG8320E,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,221112,issues,issues,issues,issues,issues,DUKE ENERGY CORP,110000351397,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
26134PLSNTNO1PO,PLEASANTS/WILLOW ISLAND POWER STATIONS,221112,issues,issues,issues,issues,issues,ENERGY HARBOR LLC,110038775536,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
15944CNMGHRTE20,CONEMAUGH GENERATING STATION,221112,issues,issues,issues,issues,issues,KEYSTONE-CONEMAUGH PROJECTS LLC,110000538801,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
