Facility Id,FRS Id,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Unit Name,General Fuel Type,Specific Fuel Type,Other Fuel Name,Blend Fuel Name,Fuel Methane (CH4) emissions (mt CO2e),Fuel Nitrous Oxide (N2O) emissions (mt CO2e),FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 1 Fuel Gas,Other,Fuel Gas,,,389.75,928.866,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 2 Fuel Gas,Other,Fuel Gas,,,270.5,644.574,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",EQT089,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.5,0.596,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 1 Fuel Gas,Other,Fuel Gas,,,438.0,1043.894,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 2 Fuel Gas,Other,Fuel Gas,,,330.0,787.018,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",EQT089,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.0,1.192,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 1 Fuel Gas,Other,Fuel Gas,,,471.0,1122.864,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 2 Fuel Gas,Other,Fuel Gas,,,316.25,753.94,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",EQT089,Natural Gas,Natural Gas (Weighted U.S. Average),,,0.0,0.0,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
1007622,110041023807.0,324110,"C,MM,Y","Petroleum Product Suppliers, Refineries",CP- Complex 1 Fuel Gas,Other,Fuel Gas,,,466.75,1112.732,1007622,ALON REFINING KROTZ SPRINGS INC,356 S. LEVEE RD,KROTZ SPRINGS,LA,70750.0,30.526504,-91.748383,ST. LANDRY PARISH,324110,,
