,mean,median,emissions,sector,minimum,maximum
0,2.2843E-5,1.4783E-5,Volatile Organic Compounds,w/o outliers,0.0000E+4,9.5288E-5
0,8.7643E-5,2.5145E-5,Volatile Organic Compounds,w. outliers,0.0000E+4,5.3665E-4
0,2.0638E-4,7.3121E-6,Sulfur Dioxide,w/o outliers,4.8195E-7,1.4790E-3
0,2.1377E-3,2.2390E-6,Sulfur Dioxide,w. outliers,4.8195E-7,2.1860E-2
0,6.4375E-4,5.6573E-4,Nitrogen Oxides,w/o outliers,6.0756E-5,1.3523E-3
0,1.1199E-3,8.1625E-4,Nitrogen Oxides,w. outliers,6.0756E-5,4.2332E-3
0,5.6602E-6,3.0786E-6,PM10-PM2.5,w/o outliers,0.0000E+4,2.6929E-5
0,1.0550E-5,2.3507E-6,PM10-PM2.5,w. outliers,0.0000E+4,7.0744E-5
0,6.1843E-6,7.2370E-6,Methane,w/o outliers,5.0888E-8,8.4295E-6
0,6.7042E-6,7.4191E-6,Methane,w. outliers,5.0888E-8,1.7181E-5
0,9.8642E-1,9.8688E-1,Carbon Dioxide,w/o outliers,9.8277E-1,9.8789E-1
0,9.8153E-1,9.8667E-1,Carbon Dioxide,w. outliers,9.0306E-1,9.8789E-1
0,7.7176E-4,2.5779E-4,Nitrous Oxide,w/o outliers,5.4913E-8,3.3542E-3
0,4.2905E-3,3.2397E-4,Nitrous Oxide,w. outliers,5.4913E-8,8.5847E-2
