,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
165,83705KCHMT4303G,ERGON ASPHALT & EMULSIONS INC. - BOISE,324121,issues,issues,issues,issues,issues,ERGON INC,110001805486.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
521,9170WRWNDL165FT,VULCAN MATERIALS CO - IRWINDALE,324121,212321.0,issues,issues,issues,issues,VULCAN MATERIALS CO,110001187992.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
723,7841WCRPSC6746U,VALERO CORPUS CHRISTI ASPHALT TERMINAL,324121,issues,issues,issues,issues,issues,VALERO ENERGY CORP,110031302720.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
729,15062MNSSN345DO,CLEVELAND-CLIFFS MONESSEN COKE LLC,324199,issues,issues,issues,issues,issues,CLEVELAND-CLIFFS MONESSEN COKE LLC,110000329118.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
901,3947WRNCCR863LD,RAIN CII CARBON LLC-PURVIS CALCINING PLANT,324199,issues,issues,issues,issues,issues,RAIN CII CARBON LLC,110002206611.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1687,42101CCHLD407RA,VALOR LLC,324199,issues,issues,issues,issues,issues,VALOR LLC,110000380221.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1754,8411WWSTVL6685W,WEST VALLEY,324121,327320.0,issues,issues,issues,issues,KILGORE COS LLC,110070070514.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1760,7043WFRNKL47CCR,BARRIERE CONSTRUCTION CO LLC - FRANKLINTON ASPHALT PLA,324121,issues,issues,issues,issues,issues,issues,110071043424.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1761,4900WMCHGN2GLEN,MICHIGAN PAVING & MATERIALS CO - KALAMAZOO ASPHALT,324121,issues,issues,issues,issues,issues,CRH AMERICAS INC,110001840358.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1889,7008WVLRMR1455H,VALERO DONALDSONVILLE ASPHALT TERMINAL,324121,issues,issues,issues,issues,issues,VALERO ENERGY CORP,110007278935.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1938,7701WVLRNR971MA,VALERO ENERGY PARTNERS LP,324110,issues,issues,issues,issues,issues,VALERO ENERGY PARTNERS LP,110070135386.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
1969,7754WKNDRM47CLI,KINDER MORGAN CRUDE & CONDENSATE LLC,324110,issues,issues,issues,issues,issues,KINDER MORGAN,110069234661.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2004,9343WCLPRT468SA,CALPORTLAND CO GAREY PLANT,324121,issues,issues,issues,issues,issues,TAIHEIYO CEMENT USA INC,110067124490.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2009,2290WSLWLL123RI,SL WILLIAMSON CO INC SHOP,324121,issues,issues,issues,issues,issues,issues,110060257680.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2014,03106BRXND1500H,BROX INDUSTRIES INC,324121,issues,issues,issues,issues,issues,BROX INDUSTRIES INC,110004092758.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2016,7813WRTHTM21946,ASPHALT INC HANSON GARDEN RIDGE PLANT,324121,issues,issues,issues,issues,issues,ASPHALT INC. LLC,110070071519.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2029,84770STKRP1843E,STAKER & PARSON COS ST GEORGE READY-MIX & ASPHALT,324121,issues,issues,issues,issues,issues,CRH AMERICAS INC,110022811885.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
2036,13424RSKNY9DRYR,ORISKANY,324121,issues,issues,issues,issues,issues,SUIT-KOTE CORP,110069533062.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
