FACILITY_ID,REPORTING_YEAR,GHG_QUANTITY,GHG_NAME
1000232,2017,0.0,Biogenic Carbon dioxide
1000232,2017,0.0,Methane
1000232,2017,0.0,Nitrous Oxide
1000232,2017,300562.1,Carbon Dioxide
1000342,2017,0.0,Biogenic Carbon dioxide
1000342,2017,0.122,Nitrous Oxide
1000342,2017,51.48,Methane
1000342,2017,12239.0,Carbon Dioxide
1000603,2017,0.0,Biogenic Carbon dioxide
1000603,2017,0.0,Methane
1000603,2017,0.0,Nitrous Oxide
1000603,2017,318161.0,Carbon Dioxide
1000604,2017,0.0,Biogenic Carbon dioxide
1000604,2017,0.0,Methane
1000604,2017,0.0,Nitrous Oxide
1000604,2017,321826.0,Carbon Dioxide
1000605,2017,0.0,Biogenic Carbon dioxide
1000605,2017,0.0,Methane
1000605,2017,0.0,Nitrous Oxide
1000605,2017,300272.0,Carbon Dioxide
1001705,2017,0.0,Biogenic Carbon dioxide
1001705,2017,5.24,Nitrous Oxide
1001705,2017,51.09,Methane
1001705,2017,333774.5,Carbon Dioxide
1001706,2017,0.0,Biogenic Carbon dioxide
1001706,2017,0.0,Methane
1001706,2017,0.0,Nitrous Oxide
1001706,2017,8600.1,Carbon Dioxide
1001711,2017,0.0,Biogenic Carbon dioxide
1001711,2017,0.0,Methane
1001711,2017,0.0,Nitrous Oxide
1001711,2017,20426.8,Carbon Dioxide
1001713,2017,0.0,Biogenic Carbon dioxide
1001713,2017,0.0,Methane
1001713,2017,0.0,Nitrous Oxide
1001713,2017,31648.1,Carbon Dioxide
1001936,2017,0.0,Biogenic Carbon dioxide
1001936,2017,0.0,Methane
1001936,2017,0.0,Nitrous Oxide
1001936,2017,145257.9,Carbon Dioxide
1002040,2017,0.0,Biogenic Carbon dioxide
1002040,2017,0.235,Nitrous Oxide
1002040,2017,26.33,Methane
1002040,2017,984613.6,Carbon Dioxide
1002046,2017,0.0,Biogenic Carbon dioxide
1002046,2017,0.0,Methane
1002046,2017,0.0,Nitrous Oxide
1002046,2017,265923.6,Carbon Dioxide
1002146,2017,0.0,Biogenic Carbon dioxide
