GHG_QUANTITY_UNIT_OF_MEASURE,OTHER_GHG_NAME,FACILITY_ID,REPORTING_YEAR,GHG_QUANTITY_OVERRIDE_INDICATR,FACILITY_NAME,GHG_QUANTITY,GHG_NAME
METRIC TONS,,1004427,2017,,BEFESA ZINC US INC,0.0,BIOGENIC CARBON DIOXIDE
METRIC TONS,,1004427,2017,,BEFESA ZINC US INC,0.0,METHANE
METRIC TONS,,1004427,2017,,BEFESA ZINC US INC,0.0,NITROUS OXIDE
METRIC TONS,,1004427,2017,,BEFESA ZINC US INC,80606.0,CARBON DIOXIDE
METRIC TONS,,1004723,2017,,BEFESA ZINC US INC,0.0,BIOGENIC CARBON DIOXIDE
METRIC TONS,,1004723,2017,,BEFESA ZINC US INC,0.0,METHANE
METRIC TONS,,1004723,2017,,BEFESA ZINC US INC,0.0,NITROUS OXIDE
METRIC TONS,,1004723,2017,,BEFESA ZINC US INC,139458.9,CARBON DIOXIDE
METRIC TONS,,1004997,2017,,BEFESA ZINC US INC,0.0,BIOGENIC CARBON DIOXIDE
METRIC TONS,,1004997,2017,,BEFESA ZINC US INC,0.0,METHANE
METRIC TONS,,1004997,2017,,BEFESA ZINC US INC,0.0,NITROUS OXIDE
METRIC TONS,,1004997,2017,,BEFESA ZINC US INC,99524.7,CARBON DIOXIDE
METRIC TONS,,1005338,2017,,STEEL DUST RECYCLING LLC,0.0,BIOGENIC CARBON DIOXIDE
METRIC TONS,,1005338,2017,,STEEL DUST RECYCLING LLC,0.0,METHANE
METRIC TONS,,1005338,2017,,STEEL DUST RECYCLING LLC,0.0,NITROUS OXIDE
METRIC TONS,,1005338,2017,,STEEL DUST RECYCLING LLC,130396.7,CARBON DIOXIDE
METRIC TONS,,1005814,2017,,BEFESA ZINC US INC,0.0,BIOGENIC CARBON DIOXIDE
METRIC TONS,,1005814,2017,,BEFESA ZINC US INC,0.0,METHANE
METRIC TONS,,1005814,2017,,BEFESA ZINC US INC,0.0,NITROUS OXIDE
METRIC TONS,,1005814,2017,,BEFESA ZINC US INC,115052.5,CARBON DIOXIDE
