,TRIFD,FACILITY NAME,PRIMARY NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,PARENT CO NAME,FRS ID,FRS_ID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,FacilityID,Source,_merge
0,5704WMRNNR27283,NUGEN ENERGY LLC,325193,issues,issues,issues,issues,issues,issues,110058300921.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
31,7907WPLNVW2698E,PLAINVIEW BIOENERGY LLC,325193,issues,issues,issues,issues,issues,WHITE ENERGY HOLDING CO LLC,110033218104.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
36,5010WLSDRY1149U,LOUIS DREYFUS CO GRAND JUNCTION LLC,325193,issues,issues,issues,issues,issues,LOUIS DREYFUS CO,110037637616.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
37,61953QNTMCROUTE,EQUISTAR CHEMICALS LP - TUSCOLA PLANT,325193,issues,issues,issues,issues,issues,LYONDELLBASELL INDUSTRIES,110000746211.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
40,47955SLNDN23W11,VALERO RENEWABLE FUELS CO LLC DBA VALERO LINDEN PLANT,325193,issues,issues,issues,issues,issues,VALERO ENERGY CORP,110028090606.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
41,5620WBSHML1725H,BUSHMILLS ETHANOL INC,325193,issues,issues,issues,issues,issues,issues,110024871183.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
44,06804PHRMC58VAL,GREENFIELD GLOBAL USA INC.,325193,424690.0,issues,issues,issues,issues,issues,110000317595.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
45,06804PHRMC58VAL,GREENFIELD GLOBAL USA INC.,325193,325199.0,issues,issues,issues,issues,issues,110000317595.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
54,5215WHMLND2779I,HOMELAND ENERGY SOLUTIONS LLC,325193,issues,issues,issues,issues,issues,issues,110031117716.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
76,61068LLNSR19STE,CHS ROCHELLE,325193,issues,issues,issues,issues,issues,CHS INC,110040912313.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
83,50164HWKYM3363T,POET BIOREFINING - MENLO LLC,325193,issues,issues,issues,issues,issues,POET HOLDING CO LLC,110038365685.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
86,50451MDWST16604,VALERO LAKOTA PLANT,325193,issues,issues,issues,issues,issues,VALERO ENERGY CORP,110006529729.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
90,61602RCHRDFOOTO,BIOURJA RENEWABLES LLC,325193,issues,issues,issues,issues,issues,BIOURJA GROUP,110000438107.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
101,50629HWKYR12771,POET BIOREFINING - FAIRBANK LLC,325193,issues,issues,issues,issues,issues,POET HOLDING CO LLC,110024836668.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
102,4739WCRDNL1554N,CARDINAL ETHANOL LLC,325193,issues,issues,issues,issues,issues,issues,110037115680.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
115,46120LTRND2265E,POET BIOREFINING-CLOVERDALE LLC,325193,issues,issues,issues,issues,issues,POET HOLDING CO LLC,110033219167.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
120,5103WPLYMT22234,PLYMOUTH ENERGY LLC,325193,issues,issues,issues,issues,issues,issues,110040470399.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
127,68354BFRMN1214R,POET BIOREFINING - FAIRMONT LLC,325193,issues,issues,issues,issues,issues,POET HOLDING CO LLC,110030917603.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
128,6790WRKLNT481RA,ARKALON ETHANOL LLC,325193,issues,issues,issues,issues,issues,CONESTOGA ENERGY PARTNERS LLC,110032953294.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
133,67846BNNZB283EU,BONANZA BIOENERGY LLC,325193,issues,issues,issues,issues,issues,CONESTOGA ENERGY PARTNERS LLC,110030562772.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
134,80550FRNTR31375,FRONT RANGE ENERGY,325193,issues,issues,issues,issues,issues,FRONT RANGE ENERGY LLC,110024579204.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
138,53549LDSHMEASTJ,VALERO RENEWABLE FUELS,325193,issues,issues,issues,issues,issues,VALERO ENERGY CORP,110000419789.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
153,23415NWCHRRT709,KMX CHEMICAL CORP,325193,325199.0,issues,issues,issues,issues,issues,110000342095.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
155,45804GRDNL2485H,GUARDIAN LIMA LLC,325193,issues,issues,issues,issues,issues,issues,110041946197.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
156,58576BLFLN28413,BLUE FLINT ETHANOL,325193,issues,issues,issues,issues,issues,MIDWEST AGENERY GROUP,110028279413.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
158,50670HWKYS37521,POET BIOREFINING - SHELL ROCK LLC,325193,issues,issues,issues,issues,issues,POET HOLDINGS CO LLC,110030490494.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
159,4600WPTBRF13179,POET BIOREFINING ALEXANDRIA LLC,325193,issues,issues,issues,issues,issues,POET HOLDING CO LLC,110037389224.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
163,50126HWKYR21514,POET BIOREFINING - IOWA FALLS LLC,325193,issues,issues,issues,issues,issues,POET HOLDING CO LLC,110017648982.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
165,57401HRTLN38469,HUB CITY ENERGY LLC,325193,issues,issues,issues,issues,issues,GLACIAL LAKES ENERGY LLC,110000428038.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
174,32147MNTCRENDOF,MONTCO RESEARCH PRODUCTS INC,325193,issues,issues,issues,issues,issues,issues,110001139571.0,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,issues,left_only
